,drug,cell_line,IC50,prediction
48,CHIR-99021,PC14,5.418054893,5.323697
49,CPI-637,PC14,4.707455835,4.617597
50,CZC24832,PC14,5.927456266,5.594357
51,Camptothecin,PC14,-2.260841128,-1.337234
52,Carmustine,PC14,7.381165207,6.756361
53,Cediranib,PC14,0.280926448,2.361002
54,Cisplatin,PC14,3.588262411,4.510415
55,Crizotinib,PC14,1.96535556,3.252773
56,Cyclophosphamide,PC14,6.285853967,5.82298
57,Cytarabine,PC14,1.66159322,3.594255
58,Dabrafenib,PC14,5.299505369,5.843111
59,Dacarbazine,PC14,6.574777355,6.500324
60,Dactinomycin,PC14,-3.292125595,-3.805695
61,Dactolisib,PC14,-2.311858943,-1.51676
62,Daporinad,PC14,-3.435058717,-4.858769
63,Dasatinib,PC14,-1.950497371,-0.067325
64,Dihydrorotenone,PC14,0.536772651,1.028258
65,Dinaciclib,PC14,-3.640035837,-2.707142
66,Docetaxel,PC14,-5.0370099,-3.58548
67,Doramapimod,PC14,4.747444022,6.114646
68,EHT-1864,PC14,3.722728767,4.049143
69,EPZ004777,PC14,5.557168807,5.769719
70,EPZ5676,PC14,6.716941405,6.241128
71,Elephantin,PC14,4.838855455,4.735369
72,Elesclomol,PC14,-1.92477421,-2.972637
73,Entinostat,PC14,1.38291801,2.629852
74,Entospletinib,PC14,2.503902066,3.898634
75,Epirubicin,PC14,-0.4984314,0.020635
76,Erlotinib,PC14,-2.165832793,3.026156
77,Fludarabine,PC14,6.048396735,5.770293
78,Foretinib,PC14,0.812795242,0.874691
79,Fulvestrant,PC14,4.693724507,4.165854
80,GDC0810,PC14,5.259641201,5.655315
81,GNE-317,PC14,0.14099565,0.52931
82,GSK-LSD1,PC14,2.878412232,2.783657
83,GSK1904529A,PC14,4.594171669,4.599048
84,GSK2110183B,PC14,3.174014809,3.737072
85,GSK2578215A,PC14,5.412371611,5.51902
86,GSK2606414,PC14,3.455609301,4.396962
87,GSK269962A,PC14,3.179587088,2.538362
88,GSK2801,PC14,5.237964287,5.512022
89,GSK2830371,PC14,6.605547162,6.08295
90,GSK343,PC14,3.482147461,4.38974
91,GSK591,PC14,3.997908983,4.875056
92,GW441756,PC14,4.247109572,3.733459
93,Gallibiscoquinazole,PC14,3.770780202,2.963621
94,Gefitinib,PC14,-1.397133171,3.118767
95,Gemcitabine,PC14,-1.300913851,2.796182
96,I-BET-762,PC14,4.243052321,3.916332
97,I-BRD9,PC14,5.212693391,4.974648
98,ICL-SIRT078,PC14,3.469139363,4.942031
99,IOX2,PC14,4.185974249,2.76769
100,IWP-2,PC14,3.701118342,3.020618
101,Ibrutinib,PC14,-0.027765929,4.246549
102,Ipatasertib,PC14,2.986794754,3.802885
103,Irinotecan,PC14,2.992118769,4.246392
104,JNK Inhibitor VIII,PC14,5.603030192,5.647821
105,JQ1,PC14,3.260705458,2.414418
106,KRAS (G12C) Inhibitor-12,PC14,3.51546441,5.081646
107,KU-55933,PC14,6.780179958,5.406187
108,L-Oxonoreleagnine,PC14,4.217875083,4.000031
109,LCL161,PC14,4.973770458,4.948001
110,LGK974,PC14,4.078761427,4.50073
111,LJI308,PC14,4.956674111,5.578227
112,LMP744,PC14,-0.602538222,0.898096
113,LY2109761,PC14,4.690282815,5.542926
114,Lapatinib,PC14,0.498938616,3.576816
115,Leflunomide,PC14,5.554369534,5.340161
116,Lenalidomide,PC14,6.977512133,5.924338
117,Lestaurtinib,PC14,-1.406137848,0.853233
118,Linsitinib,PC14,4.590801358,4.760929
119,Luminespib,PC14,-3.585377341,-2.335828
120,MG-132,PC14,-1.14614583,-1.177791
121,MIM1,PC14,4.727622073,4.287369
122,MIRA-1,PC14,6.455351349,6.233814
123,MK-1775,PC14,-1.029369301,0.543768
124,MK-2206,PC14,2.558907937,2.931045
125,MK-8776,PC14,2.320136094,3.941401
126,ML323,PC14,4.244610112,5.208268
127,MN-64,PC14,6.129964022,5.212439
128,Methotrexate,PC14,-0.801944977,0.620258
129,Mirin,PC14,4.978771238,5.469541
130,Mitoxantrone,PC14,0.550868068,2.278407
131,Motesanib,PC14,7.156552658,6.321453
132,Mycophenolic acid,PC14,2.339658962,2.527485
133,N-acetyl cysteine,PC14,10.31950743,10.594971
134,NU7441,PC14,3.187731608,3.269162
135,NVP-ADW742,PC14,2.746288638,3.142299
136,Navitoclax,PC14,4.962459087,2.447239
137,Nelarabine,PC14,7.574492887,6.909139
138,Nilotinib,PC14,3.915461358,4.645233
139,Niraparib,PC14,4.427266641,5.389763
140,Nutlin-3a (-),PC14,5.51428214,6.358336
141,OF-1,PC14,3.795571647,4.412826
142,OSI-027,PC14,3.290964355,2.564922
143,OTX015,PC14,3.147328265,2.550961
144,Obatoclax Mesylate,PC14,-0.445804501,0.334659
145,Olaparib,PC14,4.303406087,5.076845
146,Osimertinib,PC14,-3.304461586,1.508891
147,Oxaliplatin,PC14,5.500469001,5.631995
148,P22077,PC14,6.254024715,5.262166
149,PCI-34051,PC14,5.159948517,5.355901
150,PD0325901,PC14,0.810647917,1.579552
151,PD173074,PC14,3.861776422,4.416686
152,PF-4708671,PC14,4.080077113,4.032524
153,PFI-1,PC14,5.549545926,4.234547
154,PFI3,PC14,6.910740397,5.73851
155,PLX-4720,PC14,4.082856686,5.065098
156,POMHEX,PC14,2.759213636,2.373503
157,PRIMA-1MET,PC14,6.120826896,5.316393
158,PRT062607,PC14,2.003212097,3.454179
159,Paclitaxel,PC14,-4.324665584,-2.533358
160,Palbociclib,PC14,3.797204732,4.467782
161,Pevonedistat,PC14,1.391273735,1.818578
162,Picolinici-acid,PC14,6.493715748,5.74723
163,Pictilisib,PC14,1.123065259,0.549812
164,Piperlongumine,PC14,3.87926986,2.859129
165,Podophyllotoxin bromide,PC14,-1.11396722,0.004894
166,Pyridostatin,PC14,3.555247736,3.938189
167,RO-3306,PC14,3.365588764,4.266652
168,RVX-208,PC14,6.546116713,5.455347
169,Rapamycin,PC14,-2.392233835,-1.505723
170,Refametinib,PC14,1.632968203,2.343553
171,Remodelin,PC14,4.393664047,4.960126
172,Ribociclib,PC14,4.220373061,4.49107
173,Romidepsin,PC14,-5.638502718,-5.908598
174,Rucaparib,PC14,4.241975518,4.78198
175,Ruxolitinib,PC14,3.816595794,5.308246
176,SB216763,PC14,6.35442723,5.674393
177,SB505124,PC14,3.756378995,4.447821
178,SB590885,PC14,6.795043774,5.314047
179,SCH772984,PC14,2.200314595,2.474244
180,SGC-CBP30,PC14,4.602588159,4.862514
181,SGC0946,PC14,3.162285767,2.110125
182,SL0101,PC14,6.081524961,5.392654
183,SN-38,PC14,-2.85950655,0.435584
184,Sabutoclax,PC14,-0.551161981,0.360918
185,Sapitinib,PC14,-3.771512971,2.881971
186,Savolitinib,PC14,3.93578585,2.764651
187,Schweinfurthin A,PC14,4.451199339,2.869911
188,Selumetinib,PC14,3.661364251,4.471561
189,Sepantronium bromide,PC14,-4.080156476,-4.981953
190,Serdemetan,PC14,2.737099624,4.4644
191,Sinularin,PC14,4.726870995,3.97942
192,Sorafenib,PC14,2.915158435,3.083779
193,Staurosporine,PC14,-4.374276579,-2.737288
194,TW 37,PC14,0.612037994,2.253922
195,Talazoparib,PC14,3.008350858,4.753006
196,Tamoxifen,PC14,4.925682575,4.358904
197,Tanespimycin,PC14,-2.585902387,-0.070431
198,Taselisib,PC14,1.910559287,1.74608
199,Telomerase Inhibitor IX,PC14,1.384488028,1.252065
200,Temozolomide,PC14,6.866747847,7.383053
201,Temsirolimus,PC14,0.477701894,1.837325
202,Teniposide,PC14,0.572941553,1.628461
203,Topotecan,PC14,0.401294544,1.383085
204,Tozasertib,PC14,2.299419544,2.585717
205,Trametinib,PC14,-0.296010321,0.555509
206,Tretinoin,PC14,5.661628774,5.35329
207,UMI-77,PC14,3.500488185,3.136919
208,UNC0379,PC14,3.223945727,4.433575
209,UNC0638,PC14,4.490430264,5.209812
210,Ulixertinib,PC14,2.609317408,3.213678
211,Uprosertib,PC14,2.151561874,3.483418
212,VE-822,PC14,1.234500676,3.88579
213,VE821,PC14,3.063725914,4.985338
214,VX-11e,PC14,2.184392698,3.358119
215,Veliparib,PC14,7.083728854,5.946749
216,Venetoclax,PC14,2.101848745,3.246188
217,Vinblastine,PC14,-4.817148485,-3.182026
218,Vincristine,PC14,-2.860375314,-2.247727
219,Vinorelbine,PC14,-4.38550943,-3.231696
220,Vismodegib,PC14,5.228461134,5.590594
221,Vorinostat,PC14,1.429569805,2.028353
222,WEHI-539,PC14,4.853436974,4.068751
223,WIKI4,PC14,3.392274547,3.887824
224,WZ4003,PC14,3.786858679,4.613132
225,Wee1 Inhibitor,PC14,1.413502378,2.783503
226,Wnt-C59,PC14,4.343303119,4.977399
227,XAV939,PC14,4.803741502,4.826494
228,YK-4-279,PC14,1.433697646,3.444805
229,ZM447439,PC14,1.838791149,2.980891
230,Zoledronate,PC14,5.591057927,4.391015
231,alpha-lipoic acid,PC14,8.290597803,8.297434
232,glutathione,PC14,9.942259404,9.80451
233,5-Fluorouracil,RERFLCMS,3.333712959,4.503823
234,ABT737,RERFLCMS,1.180656037,3.079105
235,AGI-5198,RERFLCMS,2.961581909,5.004908
236,AGI-6780,RERFLCMS,3.357233888,4.666752
237,AGK2,RERFLCMS,3.145750826,3.209877
238,AMG-319,RERFLCMS,3.7127996,5.200675
239,AT13148,RERFLCMS,2.372589683,3.392896
240,AZ6102,RERFLCMS,2.614604444,2.328088
241,AZ960,RERFLCMS,0.398236014,1.931992
242,AZD3759,RERFLCMS,1.540266033,2.613488
243,AZD4547,RERFLCMS,2.281785598,3.774968
244,AZD5363,RERFLCMS,2.604391956,2.173781
245,AZD5582,RERFLCMS,2.075691492,2.450397
246,AZD6482,RERFLCMS,1.921968834,3.326506
247,AZD6738,RERFLCMS,0.836255878,1.926918
248,AZD7762,RERFLCMS,-0.608173112,-0.045577
249,AZD8186,RERFLCMS,1.485367713,2.462942
250,Afatinib,RERFLCMS,3.112233929,1.611126
251,Afuresertib,RERFLCMS,1.90821272,2.083311
252,Alisertib,RERFLCMS,0.59984194,1.487118
253,Alpelisib,RERFLCMS,1.807013451,3.506554
254,Avagacestat,RERFLCMS,4.627915944,5.118879
255,Axitinib,RERFLCMS,2.868857902,3.320586
256,BI-2536,RERFLCMS,-2.419930466,-1.926796
257,BIBR-1532,RERFLCMS,5.098671784,5.174457
258,BMS-345541,RERFLCMS,2.284146822,3.515555
259,BMS-536924,RERFLCMS,0.672175972,2.092201
260,BMS-754807,RERFLCMS,0.418619313,2.617278
261,BX795,RERFLCMS,2.321041315,2.860825
262,Bicalutamide,RERFLCMS,4.67607132,4.966483
263,Bortezomib,RERFLCMS,-5.107421296,-4.936228
264,Bosutinib,RERFLCMS,2.637492187,2.775725
265,Buparlisib,RERFLCMS,0.584767283,0.538562
266,CCT-018159,RERFLCMS,1.926077501,3.596351
267,CCT007093,RERFLCMS,4.72506215,5.180439
268,CHIR-99021,RERFLCMS,2.715268595,5.068108
269,CZC24832,RERFLCMS,5.198365224,5.25929
270,Camptothecin,RERFLCMS,-3.847477798,-3.144301
271,Cediranib,RERFLCMS,2.09148407,1.865358
272,Crizotinib,RERFLCMS,0.327219772,2.787037
273,Cyclophosphamide,RERFLCMS,5.195899405,5.362384
274,Dabrafenib,RERFLCMS,2.988899728,5.261129
275,Dactinomycin,RERFLCMS,-5.570860019,-4.888968
276,Dactolisib,RERFLCMS,-2.64289078,-3.208707
277,Daporinad,RERFLCMS,-3.626113884,-2.034493
278,Dasatinib,RERFLCMS,-0.099952222,-1.038192
279,Dinaciclib,RERFLCMS,-3.707351002,-3.131022
280,Docetaxel,RERFLCMS,-5.717355641,-5.166827
281,Doramapimod,RERFLCMS,3.997696534,5.642467
282,EHT-1864,RERFLCMS,3.992981693,3.904589
283,EPZ004777,RERFLCMS,5.151392838,5.592036
284,EPZ5676,RERFLCMS,4.824919037,5.823861
285,Elesclomol,RERFLCMS,-3.462041769,-2.002745
286,Entinostat,RERFLCMS,1.774461539,2.972093
287,Entospletinib,RERFLCMS,2.529685898,3.470092
288,Epirubicin,RERFLCMS,-1.472376974,-1.039491
289,Erlotinib,RERFLCMS,3.108118444,3.429409
290,Foretinib,RERFLCMS,-1.012558724,0.81881
291,Fulvestrant,RERFLCMS,2.968255114,3.77621
292,GDC0810,RERFLCMS,5.097088361,5.411687
293,GNE-317,RERFLCMS,-0.891921777,-0.823967
294,GSK1904529A,RERFLCMS,3.445497353,4.646241
295,GSK2578215A,RERFLCMS,3.939395128,5.236934
296,GSK2606414,RERFLCMS,2.890626201,3.913975
297,GSK269962A,RERFLCMS,2.44448368,2.732668
298,GSK343,RERFLCMS,2.267302473,4.01442
299,GSK591,RERFLCMS,4.26529787,4.635074
300,GW441756,RERFLCMS,3.637476154,3.242176
301,Gefitinib,RERFLCMS,3.578928659,3.107745
302,Gemcitabine,RERFLCMS,-3.455466835,-1.431574
303,I-BET-762,RERFLCMS,1.917742109,3.250242
304,I-BRD9,RERFLCMS,3.518588942,4.597475
305,IOX2,RERFLCMS,2.108688967,2.820792
306,IWP-2,RERFLCMS,2.98049659,2.986419
307,Ibrutinib,RERFLCMS,4.326857256,4.156436
308,Ipatasertib,RERFLCMS,3.172163981,3.055075
309,Irinotecan,RERFLCMS,1.341853178,3.031598
310,JNK Inhibitor VIII,RERFLCMS,3.814215765,5.293833
311,JQ1,RERFLCMS,0.758582445,1.972998
312,KRAS (G12C) Inhibitor-12,RERFLCMS,3.915671977,4.746935
313,KU-55933,RERFLCMS,5.228336594,5.325849
314,LCL161,RERFLCMS,2.433070894,4.846749
315,LGK974,RERFLCMS,4.840988114,4.243259
316,LJI308,RERFLCMS,3.202133336,5.450374
317,LY2109761,RERFLCMS,4.499580744,5.536233
318,Lapatinib,RERFLCMS,1.678137214,3.127323
319,Leflunomide,RERFLCMS,5.550957875,5.082881
320,Lenalidomide,RERFLCMS,4.573241453,5.454744
321,Lestaurtinib,RERFLCMS,-0.639167812,0.162029
322,Linsitinib,RERFLCMS,3.929386237,3.854408
323,Luminespib,RERFLCMS,-4.59309517,-3.70318
324,MG-132,RERFLCMS,-1.161160165,-1.624516
325,MIRA-1,RERFLCMS,5.067698281,5.616993
326,MK-1775,RERFLCMS,-0.117085863,0.517342
327,MK-2206,RERFLCMS,1.824786172,2.735492
328,MK-8776,RERFLCMS,1.965756663,3.230647
329,ML323,RERFLCMS,3.238268828,4.86422
330,MN-64,RERFLCMS,3.945829795,4.622521
331,Methotrexate,RERFLCMS,2.04577717,1.458762
332,Mirin,RERFLCMS,4.552589058,4.955331
333,Motesanib,RERFLCMS,5.171181478,5.978132
334,NU7441,RERFLCMS,1.951103204,2.951917
335,NVP-ADW742,RERFLCMS,1.323260963,3.219899
336,Navitoclax,RERFLCMS,1.291137334,2.972305
337,Nilotinib,RERFLCMS,1.89061004,3.770866
338,Niraparib,RERFLCMS,3.723832416,4.782557
339,Nutlin-3a (-),RERFLCMS,3.418651853,5.64901
340,OF-1,RERFLCMS,3.443567748,4.287759
341,OSI-027,RERFLCMS,2.353383824,2.337501
342,OTX015,RERFLCMS,0.904346915,1.70932
343,Olaparib,RERFLCMS,2.536037402,4.803868
344,Osimertinib,RERFLCMS,1.984128855,1.462789
345,Oxaliplatin,RERFLCMS,3.446587646,4.915027
346,P22077,RERFLCMS,4.700486939,5.04853
347,PCI-34051,RERFLCMS,3.016879762,4.828683
348,PD0325901,RERFLCMS,-0.953364565,2.115621
349,PD173074,RERFLCMS,3.903460207,4.017645
350,PF-4708671,RERFLCMS,5.191073851,3.699096
351,PFI-1,RERFLCMS,3.123028779,4.366043
352,PFI3,RERFLCMS,5.282234711,5.328573
353,PLX-4720,RERFLCMS,2.827315074,4.542184
354,PRIMA-1MET,RERFLCMS,4.100722367,4.972725
355,PRT062607,RERFLCMS,2.197438524,3.300045
356,Paclitaxel,RERFLCMS,-5.501341504,-4.322231
357,Palbociclib,RERFLCMS,3.985015683,3.709936
358,Pevonedistat,RERFLCMS,0.175946497,0.898537
359,Picolinici-acid,RERFLCMS,5.285521889,5.354217
360,Pictilisib,RERFLCMS,-0.523904146,0.031889
361,Piperlongumine,RERFLCMS,1.854483051,2.415532
362,Pyridostatin,RERFLCMS,2.400454439,3.65647
363,RO-3306,RERFLCMS,2.022448298,3.669374
364,RVX-208,RERFLCMS,3.878506868,5.117935
365,Rapamycin,RERFLCMS,-2.896690507,-3.640926
366,Refametinib,RERFLCMS,0.195841294,2.574934
367,Ribociclib,RERFLCMS,1.568279372,3.867702
368,Rucaparib,RERFLCMS,4.270532075,4.269429
369,Ruxolitinib,RERFLCMS,3.643347304,4.791793
370,SB216763,RERFLCMS,3.184666714,5.367115
371,SB505124,RERFLCMS,4.095039464,4.735271
372,SB590885,RERFLCMS,4.569683562,4.935458
373,SCH772984,RERFLCMS,0.541723089,2.600038
374,SGC0946,RERFLCMS,2.282872618,2.368671
375,SL0101,RERFLCMS,5.064792938,5.102493
376,SN-38,RERFLCMS,-3.633309526,-3.403316
377,Sabutoclax,RERFLCMS,-0.563618331,-0.3672
378,Sapitinib,RERFLCMS,2.201541668,3.959041
379,Savolitinib,RERFLCMS,-0.057434918,2.605168
380,Selumetinib,RERFLCMS,0.494855054,4.180137
381,Sepantronium bromide,RERFLCMS,-4.529164912,-5.257212
382,Serdemetan,RERFLCMS,3.399197846,3.927957
383,Sorafenib,RERFLCMS,2.252482812,2.717463
384,Staurosporine,RERFLCMS,-3.82499236,-4.445999
385,Talazoparib,RERFLCMS,1.756043703,3.083416
386,Tamoxifen,RERFLCMS,4.548729152,4.028655
387,Tanespimycin,RERFLCMS,-1.521684493,-1.526122
388,Taselisib,RERFLCMS,-0.147408284,0.480384
389,Telomerase Inhibitor IX,RERFLCMS,-0.38975398,0.846295
390,Temozolomide,RERFLCMS,6.224923238,6.676041
391,Temsirolimus,RERFLCMS,-0.940678748,-0.354321
392,Tozasertib,RERFLCMS,-0.252284748,1.769177
393,Trametinib,RERFLCMS,-2.021798663,0.428609
394,Tretinoin,RERFLCMS,5.142399514,5.01996
395,Ulixertinib,RERFLCMS,1.209891944,2.964392
396,Uprosertib,RERFLCMS,2.691808126,2.750449
397,VE-822,RERFLCMS,2.085467024,3.454403
398,VE821,RERFLCMS,2.326609814,4.351175
399,VX-11e,RERFLCMS,0.731484367,3.09016
400,Veliparib,RERFLCMS,4.974169447,5.413841
401,Venetoclax,RERFLCMS,1.346361961,3.202458
402,Vinorelbine,RERFLCMS,-4.548203096,-4.630587
403,Vismodegib,RERFLCMS,4.867461169,5.56862
404,Vorinostat,RERFLCMS,1.19064393,2.031037
405,WEHI-539,RERFLCMS,2.329999883,4.08673
406,WIKI4,RERFLCMS,2.761877874,3.762887
407,WZ4003,RERFLCMS,4.928233709,4.573318
408,Wee1 Inhibitor,RERFLCMS,0.733706056,2.247467
409,Wnt-C59,RERFLCMS,4.360431334,4.72962
410,XAV939,RERFLCMS,3.080442592,4.576073
411,YK-4-279,RERFLCMS,1.027904564,2.588708
412,ZM447439,RERFLCMS,1.602965209,3.16155
413,5-Fluorouracil,NCIH2452,5.047689174,5.711124
414,5-azacytidine,NCIH2452,3.526866766,4.216887
415,A-366,NCIH2452,5.467400239,5.366974
416,ABT737,NCIH2452,2.911139142,3.337629
417,AGI-5198,NCIH2452,4.439441193,5.45928
418,AGK2,NCIH2452,3.225746731,3.74967
419,AMG-319,NCIH2452,5.319761855,5.753425
420,AT13148,NCIH2452,3.59690303,4.246125
421,AZ6102,NCIH2452,2.861229146,3.018775
422,AZD3759,NCIH2452,3.469079549,3.363356
423,AZD4547,NCIH2452,4.064580179,2.826453
424,AZD5363,NCIH2452,2.406786819,3.783105
425,AZD6738,NCIH2452,0.322545165,3.111127
426,AZD7762,NCIH2452,-1.979793577,0.836026
427,AZD8055,NCIH2452,-0.790895467,0.549377
428,AZD8186,NCIH2452,2.723865661,3.888197
429,Afatinib,NCIH2452,1.401637181,2.569372
430,Afuresertib,NCIH2452,2.331393299,3.307947
431,Alisertib,NCIH2452,2.559912458,2.995081
432,Alpelisib,NCIH2452,3.495915429,4.344941
433,Avagacestat,NCIH2452,5.03364243,5.414748
434,Axitinib,NCIH2452,2.752693019,4.054582
435,BI-2536,NCIH2452,-3.469164045,0.060036
436,BIBR-1532,NCIH2452,5.594910495,5.497906
437,BMS-536924,NCIH2452,1.886415544,2.707255
438,BMS-754807,NCIH2452,3.00724396,3.803861
439,Bleomycin (50 uM),NCIH2452,3.427418488,4.094018
440,Bortezomib,NCIH2452,-4.564485562,-4.935267
441,Bosutinib,NCIH2452,3.057299404,3.340506
442,Buparlisib,NCIH2452,0.801082486,1.276346
443,CCT007093,NCIH2452,4.718175417,5.599946
444,CPI-637,NCIH2452,5.751252198,4.491592
445,Camptothecin,NCIH2452,0.279579408,-1.548834
446,Cediranib,NCIH2452,1.313976642,2.884069
447,Cisplatin,NCIH2452,5.840390975,4.69724
448,Crizotinib,NCIH2452,3.237126493,3.599856
449,Cyclophosphamide,NCIH2452,5.849261682,5.750592
450,Cytarabine,NCIH2452,2.0901882,3.610805
451,Dabrafenib,NCIH2452,3.767139868,5.375417
452,Dactinomycin,NCIH2452,-3.410310666,-3.362274
453,Dactolisib,NCIH2452,-3.426404207,-1.621758
454,Daporinad,NCIH2452,-0.064039874,-3.774269
455,Dasatinib,NCIH2452,-1.340926255,0.013943
456,Docetaxel,NCIH2452,-5.043368524,-2.848978
457,Doramapimod,NCIH2452,5.696629387,5.984653
458,EHT-1864,NCIH2452,5.041381501,4.459967
459,EPZ004777,NCIH2452,5.280574275,5.838049
460,EPZ5676,NCIH2452,7.24568575,6.304544
461,Epirubicin,NCIH2452,-0.867436477,0.287461
462,Erlotinib,NCIH2452,3.321590078,4.391101
463,Foretinib,NCIH2452,0.467654386,0.991843
464,Fulvestrant,NCIH2452,3.136954119,4.261404
465,GDC0810,NCIH2452,5.737318003,5.48478
466,GNE-317,NCIH2452,-1.157714554,1.047022
467,GSK1904529A,NCIH2452,3.333800082,4.951198
468,GSK2578215A,NCIH2452,5.054126495,5.49179
469,GSK2830371,NCIH2452,6.556716201,6.152372
470,GSK343,NCIH2452,4.147505932,4.071767
471,GSK591,NCIH2452,4.756962061,5.097227
472,GW441756,NCIH2452,4.69722186,3.644453
473,Gefitinib,NCIH2452,5.138387454,3.678027
474,Gemcitabine,NCIH2452,2.537332744,1.84363
475,I-BRD9,NCIH2452,4.659034375,5.082079
476,ICL-SIRT078,NCIH2452,3.539151558,4.946698
477,Ipatasertib,NCIH2452,3.137224129,3.785774
478,Irinotecan,NCIH2452,2.239933916,4.091662
479,JNK Inhibitor VIII,NCIH2452,6.178877797,5.52424
480,JQ1,NCIH2452,3.22234899,2.74557
481,KU-55933,NCIH2452,5.413416032,5.656557
482,LGK974,NCIH2452,6.611639934,4.868955
483,LJI308,NCIH2452,6.341598037,5.685028
484,Lapatinib,NCIH2452,2.839652065,4.979006
485,Lenalidomide,NCIH2452,6.462778391,5.760871
486,Lestaurtinib,NCIH2452,0.514528263,1.248523
487,Linsitinib,NCIH2452,4.683342316,4.567395
488,Luminespib,NCIH2452,-3.559473803,-1.946239
489,MG-132,NCIH2452,-1.270110655,-0.935882
490,MIM1,NCIH2452,5.369822203,4.399204
491,MIRA-1,NCIH2452,6.635665939,6.017622
492,MK-1775,NCIH2452,-0.534884698,0.935122
493,MK-2206,NCIH2452,2.403392969,3.442442
494,MK-8776,NCIH2452,1.648270304,4.012007
495,Methotrexate,NCIH2452,0.51268044,0.360679
496,Motesanib,NCIH2452,6.392261091,6.149546
497,Mycophenolic acid,NCIH2452,3.286648326,2.593697
498,N-acetyl cysteine,NCIH2452,11.04405232,10.272551
499,NU7441,NCIH2452,3.975457406,4.201224
500,NVP-ADW742,NCIH2452,2.2467163,3.728956
501,Navitoclax,NCIH2452,6.192525783,3.213755
502,Nilotinib,NCIH2452,3.348698799,4.525329
503,Nutlin-3a (-),NCIH2452,5.546546581,5.919296
504,OSI-027,NCIH2452,1.032852946,2.700351
505,Obatoclax Mesylate,NCIH2452,0.018490697,1.012159
506,Olaparib,NCIH2452,4.505265533,5.182611
507,Osimertinib,NCIH2452,2.715479705,2.63174
508,Oxaliplatin,NCIH2452,5.272578166,5.906162
509,P22077,NCIH2452,6.328693858,5.589038
510,PD0325901,NCIH2452,2.655338821,2.126538
511,PD173074,NCIH2452,2.754610494,4.246816
512,PFI-1,NCIH2452,4.69928119,4.394884
513,PLX-4720,NCIH2452,2.036510048,5.276342
514,POMHEX,NCIH2452,2.592761345,2.313661
515,Paclitaxel,NCIH2452,-4.149869271,-2.180598
516,Palbociclib,NCIH2452,3.137856184,4.175194
517,Pevonedistat,NCIH2452,5.024602988,2.474975
518,Pictilisib,NCIH2452,1.326402518,2.1007
519,Pyridostatin,NCIH2452,2.857610587,4.332756
520,RO-3306,NCIH2452,4.455984858,4.749448
521,Rapamycin,NCIH2452,-2.293351551,-1.288073
522,Refametinib,NCIH2452,2.786679556,3.067632
523,Ribociclib,NCIH2452,5.102271944,4.482824
524,Rucaparib,NCIH2452,4.478324079,4.708684
525,SB216763,NCIH2452,5.61547266,5.553436
526,SB590885,NCIH2452,5.573654313,5.115373
527,SCH772984,NCIH2452,4.737948065,3.102176
528,SGC0946,NCIH2452,2.236512058,2.395831
529,SN-38,NCIH2452,2.937672167,1.239992
530,Sapitinib,NCIH2452,3.825070599,4.660495
531,Savolitinib,NCIH2452,5.04947401,2.912154
532,Selumetinib,NCIH2452,3.541116847,4.690559
