"",drug,cell_line,IC50,OncotreeCode
1457,Dabrafenib,NCIH1581,3.999557,LCLC
1458,Dacarbazine,NCIH1581,4.995142,LCLC
1459,Dactinomycin,NCIH1581,-3.393066,LCLC
1460,Dactolisib,NCIH1581,-2.644853,LCLC
1461,Daporinad,NCIH1581,-4.226692,LCLC
1462,Dasatinib,NCIH1581,3.855439,LCLC
1463,Dihydrorotenone,NCIH1581,0.048153,LCLC
1464,Dinaciclib,NCIH1581,-4.119874,LCLC
1465,Docetaxel,NCIH1581,-5.512407,LCLC
1466,Doramapimod,NCIH1581,5.304331,LCLC
1467,EHT-1864,NCIH1581,3.330750,LCLC
1468,EPZ004777,NCIH1581,4.592662,LCLC
1469,EPZ5676,NCIH1581,5.275593,LCLC
1470,Elephantin,NCIH1581,2.751283,LCLC
1471,Entinostat,NCIH1581,3.015785,LCLC
1472,Entospletinib,NCIH1581,4.354953,LCLC
1473,Epirubicin,NCIH1581,-1.096488,LCLC
1474,Erlotinib,NCIH1581,4.112285,LCLC
1475,Fludarabine,NCIH1581,4.394835,LCLC
1476,Foretinib,NCIH1581,0.327629,LCLC
1477,Fulvestrant,NCIH1581,3.513857,LCLC
1478,GDC0810,NCIH1581,4.660495,LCLC
1479,GNE-317,NCIH1581,0.504270,LCLC
1480,GSK-LSD1,NCIH1581,1.383526,LCLC
1481,GSK1904529A,NCIH1581,4.075643,LCLC
1482,GSK2110183B,NCIH1581,3.929845,LCLC
1483,GSK2578215A,NCIH1581,3.757154,LCLC
1484,GSK2606414,NCIH1581,2.810785,LCLC
1485,GSK2801,NCIH1581,4.584310,LCLC
1486,GSK2830371,NCIH1581,5.335320,LCLC
1487,GSK343,NCIH1581,3.511419,LCLC
1488,GSK591,NCIH1581,4.976201,LCLC
1489,GW441756,NCIH1581,3.534397,LCLC
1490,Gallibiscoquinazole,NCIH1581,2.956016,LCLC
1491,Gefitinib,NCIH1581,3.216317,LCLC
1492,Gemcitabine,NCIH1581,1.558117,LCLC
1493,I-BET-762,NCIH1581,3.058881,LCLC
1494,I-BRD9,NCIH1581,4.144731,LCLC
1495,ICL-SIRT078,NCIH1581,3.364972,LCLC
1496,IWP-2,NCIH1581,2.163756,LCLC
1497,Ibrutinib,NCIH1581,2.621285,LCLC
1498,Ipatasertib,NCIH1581,3.773367,LCLC
1499,Irinotecan,NCIH1581,2.310991,LCLC
1500,JNK Inhibitor VIII,NCIH1581,4.559084,LCLC
1501,JQ1,NCIH1581,3.344303,LCLC
1502,KRAS (G12C) Inhibitor-12,NCIH1581,4.272544,LCLC
1503,KU-55933,NCIH1581,5.335320,LCLC
1504,L-Oxonoreleagnine,NCIH1581,4.113028,LCLC
1505,LCL161,NCIH1581,5.316508,LCLC
1506,LGK974,NCIH1581,2.377870,LCLC
1507,LJI308,NCIH1581,4.782424,LCLC
1508,LMP744,NCIH1581,-0.063479,LCLC
1509,LY2109761,NCIH1581,4.911874,LCLC
1510,Lapatinib,NCIH1581,3.201206,LCLC
1511,Leflunomide,NCIH1581,5.569893,LCLC
1512,Lenalidomide,NCIH1581,5.228744,LCLC
1513,Lestaurtinib,NCIH1581,0.044623,LCLC
1514,Linsitinib,NCIH1581,3.428846,LCLC
1515,Luminespib,NCIH1581,-1.108068,LCLC
1516,MG-132,NCIH1581,-0.902285,LCLC
1517,MIM1,NCIH1581,4.116631,LCLC
1518,MIRA-1,NCIH1581,4.368745,LCLC
1519,MK-1775,NCIH1581,0.335078,LCLC
1520,MK-2206,NCIH1581,3.951959,LCLC
1521,MK-8776,NCIH1581,3.416108,LCLC
1522,ML323,NCIH1581,2.766135,LCLC
1523,MN-64,NCIH1581,3.559540,LCLC
1524,Methotrexate,NCIH1581,-3.789092,LCLC
1525,Mirin,NCIH1581,4.593381,LCLC
1526,Mitoxantrone,NCIH1581,2.607510,LCLC
1527,Motesanib,NCIH1581,5.335320,LCLC
1528,Mycophenolic acid,NCIH1581,1.474414,LCLC
1529,N-acetyl cysteine,NCIH1581,10.421036,LCLC
1530,NU7441,NCIH1581,4.836489,LCLC
1531,NVP-ADW742,NCIH1581,3.865813,LCLC
1532,Navitoclax,NCIH1581,1.810059,LCLC
1533,Nelarabine,NCIH1581,6.015897,LCLC
1534,Nilotinib,NCIH1581,3.017806,LCLC
1535,Niraparib,NCIH1581,4.863920,LCLC
1536,Nutlin-3a (-),NCIH1581,5.111195,LCLC
1537,OF-1,NCIH1581,2.103628,LCLC
1538,OSI-027,NCIH1581,0.128498,LCLC
1539,OTX015,NCIH1581,2.897594,LCLC
1540,Obatoclax Mesylate,NCIH1581,0.528968,LCLC
1541,Olaparib,NCIH1581,4.097259,LCLC
1542,Osimertinib,NCIH1581,1.931873,LCLC
1543,Oxaliplatin,NCIH1581,4.778602,LCLC
1544,P22077,NCIH1581,3.414730,LCLC
1545,PCI-34051,NCIH1581,3.919380,LCLC
1546,PD0325901,NCIH1581,0.927851,LCLC
1547,PD173074,NCIH1581,2.276786,LCLC
1548,PFI-1,NCIH1581,4.597111,LCLC
1549,PFI3,NCIH1581,3.710156,LCLC
1550,PLX-4720,NCIH1581,3.170836,LCLC
1551,POMHEX,NCIH1581,0.693415,LCLC
1552,PRIMA-1MET,NCIH1581,5.648280,LCLC
1553,PRT062607,NCIH1581,3.104524,LCLC
1554,Paclitaxel,NCIH1581,-4.619125,LCLC
1555,Palbociclib,NCIH1581,3.287708,LCLC
1556,Pevonedistat,NCIH1581,-0.192305,LCLC
1557,Picolinici-acid,NCIH1581,4.239276,LCLC
1558,Pictilisib,NCIH1581,2.185135,LCLC
1559,Podophyllotoxin bromide,NCIH1581,-1.503848,LCLC
1560,Pyridostatin,NCIH1581,2.390216,LCLC
1561,RO-3306,NCIH1581,2.295301,LCLC
1562,RVX-208,NCIH1581,3.908919,LCLC
1563,Rapamycin,NCIH1581,-3.344975,LCLC
1564,Refametinib,NCIH1581,1.424854,LCLC
1565,Ribociclib,NCIH1581,1.080451,LCLC
1566,Romidepsin,NCIH1581,-5.451966,LCLC
1567,Rucaparib,NCIH1581,3.046450,LCLC
1568,Ruxolitinib,NCIH1581,3.896503,LCLC
1569,SB216763,NCIH1581,5.323133,LCLC
1570,SB590885,NCIH1581,2.717449,LCLC
1571,SCH772984,NCIH1581,1.675555,LCLC
1572,SGC-CBP30,NCIH1581,2.658440,LCLC
1573,SGC0946,NCIH1581,2.309378,LCLC
1574,SN-38,NCIH1581,2.850579,LCLC
1575,Sabutoclax,NCIH1581,-0.399010,LCLC
1576,Sapitinib,NCIH1581,5.307859,LCLC
1577,Savolitinib,NCIH1581,3.005585,LCLC
1578,Schweinfurthin A,NCIH1581,2.702238,LCLC
1579,Selumetinib,NCIH1581,2.756024,LCLC
1580,Sepantronium bromide,NCIH1581,-6.121201,LCLC
1581,Serdemetan,NCIH1581,2.984945,LCLC
1582,Sinularin,NCIH1581,4.019997,LCLC
1583,Sorafenib,NCIH1581,0.929979,LCLC
1584,Staurosporine,NCIH1581,-1.493714,LCLC
1585,TW 37,NCIH1581,0.580307,LCLC
1586,Talazoparib,NCIH1581,4.257915,LCLC
1587,Tamoxifen,NCIH1581,2.871386,LCLC
1588,Tanespimycin,NCIH1581,0.110914,LCLC
1589,Taselisib,NCIH1581,4.026183,LCLC
1590,Telomerase Inhibitor IX,NCIH1581,0.012847,LCLC
1591,Temozolomide,NCIH1581,5.700020,LCLC
1592,Temsirolimus,NCIH1581,1.301944,LCLC
1593,Teniposide,NCIH1581,0.377033,LCLC
1594,Topotecan,NCIH1581,1.026976,LCLC
1595,Trametinib,NCIH1581,-0.424076,LCLC
1596,UMI-77,NCIH1581,1.527676,LCLC
1597,UNC0379,NCIH1581,4.146805,LCLC
1598,UNC0638,NCIH1581,4.541322,LCLC
1599,Ulixertinib,NCIH1581,0.261298,LCLC
1600,Uprosertib,NCIH1581,4.516581,LCLC
1601,VE-822,NCIH1581,3.110697,LCLC
1602,VE821,NCIH1581,4.447307,LCLC
1603,VX-11e,NCIH1581,2.243025,LCLC
1604,Veliparib,NCIH1581,4.338490,LCLC
1605,Venetoclax,NCIH1581,2.170260,LCLC
1606,Vinblastine,NCIH1581,-5.177786,LCLC
1607,Vincristine,NCIH1581,-3.931671,LCLC
1608,Vinorelbine,NCIH1581,-4.506454,LCLC
1609,Vismodegib,NCIH1581,4.849365,LCLC
1610,Vorinostat,NCIH1581,0.726580,LCLC
1611,WEHI-539,NCIH1581,5.246433,LCLC
1612,WIKI4,NCIH1581,3.534728,LCLC
1613,WZ4003,NCIH1581,3.361362,LCLC
1614,Wee1 Inhibitor,NCIH1581,1.362471,LCLC
1615,Wnt-C59,NCIH1581,3.490404,LCLC
1616,XAV939,NCIH1581,4.030486,LCLC
1617,YK-4-279,NCIH1581,1.409024,LCLC
1618,ZM447439,NCIH1581,2.998366,LCLC
1619,Zoledronate,NCIH1581,3.691196,LCLC
1620,alpha-lipoic acid,NCIH1581,7.586209,LCLC
1621,glutathione,NCIH1581,9.489796,LCLC
2216,5-Fluorouracil,NCIH1693,6.857719,LUAD
2217,5-azacytidine,NCIH1693,5.688483,LUAD
2218,A-366,NCIH1693,7.367789,LUAD
2219,ABT737,NCIH1693,3.165363,LUAD
2220,AGI-5198,NCIH1693,5.673127,LUAD
2221,AGI-6780,NCIH1693,6.959928,LUAD
2222,AGK2,NCIH1693,4.260822,LUAD
2223,AMG-319,NCIH1693,6.537744,LUAD
2224,AT13148,NCIH1693,4.364252,LUAD
2225,AZ6102,NCIH1693,2.860796,LUAD
2226,AZ960,NCIH1693,4.534333,LUAD
2227,AZD1208,NCIH1693,7.338498,LUAD
2228,AZD1332,NCIH1693,5.808231,LUAD
2229,AZD2014,NCIH1693,1.663746,LUAD
2230,AZD3759,NCIH1693,2.065361,LUAD
2231,AZD4547,NCIH1693,4.947988,LUAD
2232,AZD5153,NCIH1693,2.741957,LUAD
2233,AZD5363,NCIH1693,5.251830,LUAD
2234,AZD5438,NCIH1693,4.898137,LUAD
2235,AZD5582,NCIH1693,2.438278,LUAD
2236,AZD5991,NCIH1693,7.401014,LUAD
2237,AZD6738,NCIH1693,4.003892,LUAD
2238,AZD7762,NCIH1693,0.956849,LUAD
2239,AZD8055,NCIH1693,0.742106,LUAD
2240,AZD8186,NCIH1693,3.768271,LUAD
2241,Acetalax,NCIH1693,8.363045,LUAD
2242,Afatinib,NCIH1693,0.519923,LUAD
2243,Afuresertib,NCIH1693,3.962806,LUAD
2244,Alisertib,NCIH1693,4.218509,LUAD
2245,Alpelisib,NCIH1693,6.358182,LUAD
2246,Avagacestat,NCIH1693,5.543193,LUAD
2247,Axitinib,NCIH1693,5.789535,LUAD
2248,BI-2536,NCIH1693,1.503336,LUAD
2249,BIBR-1532,NCIH1693,6.710226,LUAD
2250,BMS-345541,NCIH1693,4.339471,LUAD
2251,BMS-536924,NCIH1693,3.402959,LUAD
2252,BMS-754807,NCIH1693,4.132061,LUAD
2253,Bleomycin,NCIH1693,5.231592,LUAD
2254,Bleomycin (50 uM),NCIH1693,4.510811,LUAD
2255,Bortezomib,NCIH1693,-5.522091,LUAD
2256,Bosutinib,NCIH1693,3.640851,LUAD
2257,Bromosporine,NCIH1693,5.049677,LUAD
2258,Buparlisib,NCIH1693,1.572614,LUAD
2259,CCT007093,NCIH1693,6.207679,LUAD
2260,CPI-637,NCIH1693,5.890057,LUAD
2261,CZC24832,NCIH1693,7.212281,LUAD
2262,Camptothecin,NCIH1693,0.129242,LUAD
2263,Carmustine,NCIH1693,8.479078,LUAD
2264,Cediranib,NCIH1693,2.112438,LUAD
2265,Cisplatin,NCIH1693,6.419641,LUAD
2266,Crizotinib,NCIH1693,4.594325,LUAD
2267,Cyclophosphamide,NCIH1693,5.787762,LUAD
2268,Cytarabine,NCIH1693,3.883526,LUAD
2269,Dabrafenib,NCIH1693,6.669571,LUAD
2270,Dacarbazine,NCIH1693,8.069557,LUAD
2271,Dactinomycin,NCIH1693,-1.708435,LUAD
2272,Dactolisib,NCIH1693,-1.435943,LUAD
2273,Dasatinib,NCIH1693,0.409743,LUAD
2274,Dihydrorotenone,NCIH1693,3.358451,LUAD
2275,Dinaciclib,NCIH1693,0.925479,LUAD
2276,Docetaxel,NCIH1693,0.961586,LUAD
2277,Doramapimod,NCIH1693,7.046798,LUAD
2278,EHT-1864,NCIH1693,4.469059,LUAD
2279,EPZ004777,NCIH1693,6.674542,LUAD
2280,EPZ5676,NCIH1693,7.583473,LUAD
2281,Elephantin,NCIH1693,7.363234,LUAD
2282,Entinostat,NCIH1693,4.408071,LUAD
2283,Entospletinib,NCIH1693,6.864816,LUAD
2284,Epirubicin,NCIH1693,0.526788,LUAD
2285,Erlotinib,NCIH1693,1.934091,LUAD
2286,Fludarabine,NCIH1693,8.048143,LUAD
2287,Foretinib,NCIH1693,2.833178,LUAD
2288,Fulvestrant,NCIH1693,5.214008,LUAD
2289,GDC0810,NCIH1693,6.383271,LUAD
2290,GNE-317,NCIH1693,0.449021,LUAD
2291,GSK-LSD1,NCIH1693,4.296424,LUAD
2292,GSK1904529A,NCIH1693,4.725383,LUAD
2293,GSK2110183B,NCIH1693,5.480184,LUAD
2294,GSK2578215A,NCIH1693,6.486628,LUAD
2295,GSK2606414,NCIH1693,6.344987,LUAD
2296,GSK2801,NCIH1693,7.077800,LUAD
2297,GSK2830371,NCIH1693,7.401014,LUAD
2298,GSK343,NCIH1693,4.879343,LUAD
2299,GSK591,NCIH1693,6.482892,LUAD
2300,GW441756,NCIH1693,3.228747,LUAD
2301,Gallibiscoquinazole,NCIH1693,5.031475,LUAD
2302,Gefitinib,NCIH1693,2.784091,LUAD
2303,Gemcitabine,NCIH1693,2.040636,LUAD
2304,I-BET-762,NCIH1693,6.685769,LUAD
2305,I-BRD9,NCIH1693,6.075482,LUAD
2306,ICL-SIRT078,NCIH1693,4.973649,LUAD
2307,IWP-2,NCIH1693,4.664358,LUAD
2308,Ibrutinib,NCIH1693,4.990543,LUAD
2309,Ipatasertib,NCIH1693,4.813252,LUAD
2310,Irinotecan,NCIH1693,4.409840,LUAD
2311,JNK Inhibitor VIII,NCIH1693,6.548024,LUAD
2312,JQ1,NCIH1693,4.445986,LUAD
