,drug,cell_line,IC50,prediction
76,Taselisib,639V,2.765864363,2.346008
77,VX-11e,639V,3.724252706,3.45487
78,EPZ004777,639V,4.421652785,5.062472
79,IWP-2,639V,1.436978742,2.70628
80,UNC0638,639V,4.701384066,4.76458
81,Serdemetan,639V,4.129406393,4.1237
82,MN-64,639V,5.032525042,4.755414
83,Rucaparib,639V,4.74102279,3.849031
84,Telomerase Inhibitor IX,639V,-0.375633588,-0.404589
85,Paclitaxel,639V,-3.88069157,-3.544918
86,Dihydrorotenone,639V,0.00477706,-0.161657
87,UMI-77,639V,4.713360173,2.135311
88,MK-8776,639V,4.327863301,3.577166
89,AZD5363,639V,3.137377406,3.286807
90,Pevonedistat,639V,-1.13764662,-1.37951
91,Sinularin,639V,3.056954936,3.350751
92,Sabutoclax,639V,-1.315522228,-0.609597
93,AZD5438,639V,2.059120302,2.026464
94,Dinaciclib,639V,-3.042293324,-2.485313
95,Dactolisib,647V,-1.13433791,-1.358632
96,Teniposide,647V,-0.260882043,-0.352272
97,Palbociclib,647V,5.057744838,4.43926
98,Romidepsin,647V,-5.124041934,-5.336908
99,Sorafenib,647V,2.895656249,2.507408
100,ABT737,647V,3.443262773,2.737738
101,Luminespib,647V,-1.540990563,-1.535055
102,Bromosporine,647V,2.58265738,2.975082
103,Mycophenolic acid,647V,0.693734297,0.939856
104,Carmustine,647V,5.747662936,5.849309
105,Epirubicin,647V,-1.847759871,-1.705591
106,Docetaxel,647V,-4.232215288,-2.320577
107,I-BET-762,647V,3.935046078,3.739727
108,AZD5363,647V,3.430208271,3.723298
109,WZ4003,647V,4.65887212,4.241244
110,PCI-34051,647V,4.550600966,4.78196
111,ZM447439,647V,1.838385322,2.623463
112,RVX-208,647V,5.649461507,5.122662
113,Entinostat,647V,2.909232194,2.684441
114,AZD2014,697,-0.249461486,0.42524
115,Dabrafenib,697,0.768096188,2.623905
116,L-Oxonoreleagnine,697,2.979720641,2.683006
117,ML323,697,3.227181927,3.734196
118,Selumetinib,697,3.473996269,3.777776
119,5-Fluorouracil,697,2.253100542,1.578016
120,Bortezomib,697,-5.433287658,-5.812488
121,Staurosporine,697,-5.550026842,-4.36127
122,Lenalidomide,697,3.205713879,3.416493
123,Linsitinib,697,2.338150953,2.87935
124,Pevonedistat,697,-1.360519542,-2.175296
125,Vincristine,697,-4.71509636,-5.890944
126,Fulvestrant,697,2.365352465,2.503386
127,YK-4-279,697,-0.571283488,-0.159427
128,GW441756,697,2.230069177,2.21463
129,Carmustine,697,4.284964051,4.646901
130,PFI-1,697,1.500031573,2.487909
131,ABT737,697,-2.458444465,-3.125013
132,Olaparib,697,0.63669863,1.794975
133,AT13148,769P,2.203389393,3.02632
134,OSI-027,769P,2.113457645,2.878582
135,RO-3306,769P,3.229150881,3.397067
136,LGK974,769P,4.178542472,4.954993
137,AZD5438,769P,1.612122439,1.577865
138,EPZ5676,769P,4.514918422,5.925687
139,AZD6738,769P,0.765419503,0.916278
140,MK-2206,769P,3.854255754,2.099571
141,SB590885,769P,3.66363169,4.960072
142,POMHEX,769P,0.327572864,1.330617
143,Wnt-C59,769P,4.178601166,4.993303
144,AZD5363,769P,4.055359638,4.246572
145,Erlotinib,769P,1.718921089,0.901526
146,Topotecan,769P,0.850495574,0.396535
147,Avagacestat,769P,4.316661266,4.507145
148,BIBR-1532,769P,4.713759583,5.300647
149,Foretinib,769P,1.89662919,1.159274
150,Sapitinib,769P,1.694619325,1.734442
151,Ipatasertib,769P,4.882299063,4.22883
152,GDC0810,8305C,5.404304223,5.594397
153,Cyclophosphamide,8305C,4.944025883,5.68821
154,Alisertib,8305C,4.145538979,1.943481
155,UMI-77,8305C,2.892551081,2.852054
156,Ruxolitinib,8305C,5.702449751,5.796926
157,AZD1208,8305C,6.064875302,6.034562
158,AZD5991,8305C,6.55255548,6.408707
159,Avagacestat,8305C,5.728806332,5.494276
160,Uprosertib,8305C,5.676235682,3.393661
161,BIBR-1532,8305C,5.855407163,5.628705
162,Vinorelbine,8305C,-3.510848821,-2.441931
163,Bortezomib,8305C,-5.407089539,-4.108335
164,EPZ5676,8305C,6.949407124,6.228393
165,Elephantin,8305C,3.158963914,4.574657
166,WEHI-539,8305C,4.726873879,4.435892
167,Motesanib,8305C,6.505873542,6.491014
168,PD0325901,8305C,0.894675928,0.549471
169,alpha-lipoic acid,8305C,8.931909874,8.15303
170,BMS-754807,8305C,2.959539777,3.058594
171,SGC-CBP30,8505C,2.816790221,4.503016
172,Tamoxifen,8505C,3.413915958,4.459375
173,KRAS (G12C) Inhibitor-12,8505C,5.112625175,5.498753
174,Vinorelbine,8505C,-2.352096009,-0.707011
175,SCH772984,8505C,1.489080383,1.669106
176,EHT-1864,8505C,3.790625864,4.610729
177,AMG-319,8505C,5.277653301,5.967739
178,I-BRD9,8505C,4.354906002,4.677541
179,AZD5363,8505C,4.558547486,4.430528
180,NVP-ADW742,8505C,2.473992112,2.381436
181,AGK2,8505C,3.859648003,3.858194
182,Palbociclib,8505C,5.415701701,4.448504
183,Dasatinib,8505C,1.130637629,1.754045
184,WIKI4,8505C,3.678507858,4.005855
185,Teniposide,8505C,0.160227317,0.59608
186,GSK1904529A,8505C,4.01005792,5.105227
187,Selumetinib,8505C,2.925933194,3.559215
188,5-Fluorouracil,8505C,6.413517168,5.952885
189,Fludarabine,8505C,6.811960965,6.382962
190,SGC0946,8MGBA,1.566320796,2.228808
191,Navitoclax,8MGBA,2.980672165,2.771089
192,SB590885,8MGBA,4.087906505,3.820277
193,OSI-027,8MGBA,4.528547331,1.913442
194,AZD8055,8MGBA,-0.64340227,-1.065007
195,Vorinostat,8MGBA,1.33348526,1.072514
196,Cediranib,8MGBA,1.891009661,1.885208
197,Nelarabine,8MGBA,6.207241123,5.943581
198,Irinotecan,8MGBA,0.716541676,1.747425
199,POMHEX,8MGBA,0.718857518,1.409797
200,AZD5582,8MGBA,1.043293545,-0.187406
201,AZD6738,8MGBA,0.077780171,1.25142
202,Sabutoclax,8MGBA,-2.05811646,-0.813294
203,Vincristine,8MGBA,-3.030746267,-2.804549
204,Methotrexate,8MGBA,1.089936065,-0.008696
205,Temozolomide,8MGBA,4.714795044,6.054385
206,Alisertib,8MGBA,1.989729446,1.852566
207,UNC0638,8MGBA,3.124806664,4.142632
208,Taselisib,8MGBA,1.370330762,1.627171
209,BI-2536,A101D,-1.946280516,-0.637542
210,PLX-4720,A101D,1.355216257,0.63392
211,Mirin,A101D,4.675385572,4.330861
212,N-acetyl cysteine,A101D,10.28838462,10.247974
213,Fludarabine,A101D,4.887140726,5.17508
214,GW441756,A101D,2.560478895,3.310489
215,AZD5991,A101D,4.140861633,4.303378
216,Vismodegib,A101D,5.355739704,5.131577
217,Methotrexate,A101D,1.868040845,-0.141533
218,WEHI-539,A101D,2.960597253,4.17323
219,MIRA-1,A101D,3.594124389,5.263976
220,Wnt-C59,A101D,5.357343397,4.987256
221,Picolinici-acid,A101D,5.388483598,5.04778
222,Bromosporine,A101D,2.01018143,1.579155
223,VE-822,A101D,4.977675755,3.118251
224,BMS-345541,A101D,4.974566663,2.951373
225,Trametinib,A101D,-2.414400815,-3.37355
226,Olaparib,A101D,4.371187059,4.319289
227,GSK1904529A,A101D,5.3919144,4.328551
228,LJI308,A172,5.810623444,5.356283
229,5-azacytidine,A172,2.617425931,2.822343
230,Taselisib,A172,2.556109866,1.503906
231,AZD1208,A172,5.010788392,5.56921
232,Entospletinib,A172,3.899911881,3.374553
233,PD0325901,A172,1.347392017,1.465002
234,SCH772984,A172,2.161601023,2.516264
235,PRT062607,A172,5.16905085,3.426516
236,N-acetyl cysteine,A172,10.18354914,9.964157
237,Pyridostatin,A172,2.315231471,2.893031
238,MIRA-1,A172,4.932832679,5.106481
239,Schweinfurthin A,A172,2.016339621,0.978707
240,UMI-77,A172,3.812157993,3.434944
241,SGC0946,A172,1.48832541,2.201225
242,Alpelisib,A172,5.111691996,3.635871
243,Erlotinib,A172,3.242695179,3.608284
244,alpha-lipoic acid,A172,7.715650872,7.468607
245,Lenalidomide,A172,5.14113528,5.734082
246,PCI-34051,A172,4.719609362,4.49111
247,AZD4547,A204,0.339746811,0.004703
248,Romidepsin,A204,-3.138684031,-4.555414
249,Ribociclib,A204,2.610377021,3.784908
250,AGI-6780,A204,3.472037414,4.214765
251,AGK2,A204,3.564840991,3.538976
252,LGK974,A204,3.888268076,3.801091
253,Sapitinib,A204,4.301402869,5.246902
254,PFI3,A204,6.188994889,5.696001
255,POMHEX,A204,0.936226833,1.450224
256,RVX-208,A204,6.238467539,5.219994
257,OSI-027,A204,3.048196438,3.781028
258,GSK2110183B,A204,4.568831316,3.402906
259,Ulixertinib,A204,2.988521658,3.021416
260,Foretinib,A204,-0.703307026,-1.064355
261,Afatinib,A204,1.794422484,2.320642
262,ML323,A204,4.711155162,4.439322
263,CPI-637,A204,3.859466504,4.609155
264,Talazoparib,A204,3.184699388,2.415339
265,Wnt-C59,A204,4.770286101,4.505043
266,Remodelin,A2058,5.180716554,4.659162
267,Vismodegib,A2058,4.136871956,4.79971
268,GSK2830371,A2058,5.179109779,5.055698
269,Cyclophosphamide,A2058,4.330896311,4.562017
270,GW441756,A2058,3.23509674,3.260303
271,Erlotinib,A2058,2.200801192,3.138712
272,Avagacestat,A2058,4.633071449,5.074122
273,Luminespib,A2058,-4.093845798,-2.847522
274,Buparlisib,A2058,0.474838473,0.34099
275,MK-8776,A2058,4.439541504,3.166011
276,BMS-536924,A2058,2.495848484,2.667045
277,Bosutinib,A2058,2.915397161,2.659045
278,GSK2606414,A2058,2.92186083,3.654087
279,Staurosporine,A2058,-2.019963001,-2.594174
280,Sapitinib,A2058,4.445512534,4.793414
281,Oxaliplatin,A2058,4.99041162,3.838636
282,AGK2,A2058,4.130224407,3.045468
283,Wnt-C59,A2058,3.8360391,4.332798
284,Motesanib,A2058,5.178934528,5.210303
285,PRIMA-1MET,A253,5.986690442,6.150473
286,Temozolomide,A253,6.333632192,6.478187
287,5-Fluorouracil,A253,5.225379815,4.489422
288,Telomerase Inhibitor IX,A253,0.794832892,0.697594
289,OF-1,A253,3.891981435,3.166508
290,Methotrexate,A253,0.331955276,-1.991918
291,Bleomycin,A253,1.655634527,2.188273
292,Savolitinib,A253,2.38666303,2.83756
293,LGK974,A253,4.118171034,3.603207
294,L-Oxonoreleagnine,A253,4.072052811,3.337985
295,Lestaurtinib,A253,1.427736538,1.214741
296,Tanespimycin,A253,-0.975443261,-0.909015
297,Leflunomide,A253,5.482363723,5.168477
298,Topotecan,A253,-0.684862989,-0.935751
299,Ribociclib,A253,3.903565244,4.587056
300,Cisplatin,A253,1.757981215,2.2214
301,Fludarabine,A253,5.180279031,5.852601
302,RVX-208,A253,4.494018638,4.797621
303,BMS-345541,A253,3.842889351,3.992301
304,Ulixertinib,A2780,0.19134397,0.96913
305,Lapatinib,A2780,2.311933261,2.544986
306,UMI-77,A2780,1.622130976,2.835136
307,YK-4-279,A2780,1.062500912,0.714486
308,VE-822,A2780,1.163974985,1.718727
309,JQ1,A2780,-0.45003378,0.048989
310,P22077,A2780,3.796216828,2.894403
311,GSK2110183B,A2780,-0.014238076,1.449217
312,AGI-5198,A2780,5.207703533,4.35215
313,EPZ5676,A2780,5.882110337,5.406065
314,Dactinomycin,A2780,-5.736466952,-5.734248
315,AZD5153,A2780,-1.236828845,-0.989742
316,SB590885,A2780,2.837743741,4.238746
317,AZD8186,A2780,1.21942569,1.719317
318,Telomerase Inhibitor IX,A2780,-1.137306496,-0.437937
319,AZD5438,A2780,1.008355294,0.947008
320,AZD7762,A2780,-0.03830489,-0.822
321,AZ6102,A2780,1.45866624,1.584407
322,Dihydrorotenone,A2780,0.099427934,1.077152
323,Cytarabine,A375,-0.694056045,-0.35996
324,Wnt-C59,A375,3.930353398,4.565979
325,Afatinib,A375,1.766162878,1.927896
326,Teniposide,A375,-1.663807728,-0.673102
327,IWP-2,A375,3.860566327,2.955956
328,Ulixertinib,A375,0.305226715,0.210498
329,AZD1208,A375,6.024222952,5.797498
330,Palbociclib,A375,2.905159745,2.585847
331,Fludarabine,A375,4.187086696,5.665881
332,AGI-6780,A375,4.560145417,4.376171
333,Pictilisib,A375,1.18983388,1.317338
334,EPZ004777,A375,5.315495052,5.653598
335,JNK Inhibitor VIII,A375,5.037224078,5.351083
336,I-BRD9,A375,4.797079594,4.317845
337,Dacarbazine,A375,6.440826896,5.798935
338,NVP-ADW742,A375,1.985126351,1.858695
339,GSK1904529A,A375,4.710503304,4.071358
340,Dactolisib,A375,-2.545257981,-2.232082
341,Linsitinib,A375,3.250593726,3.830435
342,PCI-34051,A375,3.55435215,3.646723
343,Elephantin,A375,1.720377524,2.758113
344,Irinotecan,A388,1.288291939,1.174184
345,Osimertinib,A388,0.33119953,-0.663358
346,Wnt-C59,A388,5.777743031,5.411998
347,Uprosertib,A388,1.257072476,2.462946
348,Rucaparib,A388,4.426680784,4.352713
349,SN-38,A388,-4.79491941,-4.345444
350,RO-3306,A388,1.692141622,3.286094
351,SB590885,A388,5.157286673,5.182147
352,GSK269962A,A388,4.306531743,2.615155
353,Savolitinib,A388,3.536191566,3.506755
354,GW441756,A388,4.193932241,4.160199
355,JNK Inhibitor VIII,A388,3.681112961,5.094309
356,5-Fluorouracil,A388,4.201613831,3.187131
357,BMS-536924,A388,2.890956321,1.400773
358,Ibrutinib,A388,1.007406811,0.816939
359,Axitinib,A388,2.581037823,3.631166
360,SGC-CBP30,A3KAW,2.626226843,3.100471
361,AZD5991,A3KAW,-3.139454599,0.212712
362,AT13148,A3KAW,1.768405843,1.886976
363,WIKI4,A3KAW,2.741531746,2.931615
364,AZD6738,A3KAW,-0.803435269,0.037066
365,Ruxolitinib,A3KAW,0.972409372,3.844253
366,PCI-34051,A3KAW,2.902526194,2.535256
367,Docetaxel,A3KAW,-5.566962309,-5.702786
368,AZD7762,A3KAW,-1.892351888,-1.369224
369,IWP-2,A3KAW,2.031123087,1.799047
370,GSK2578215A,A3KAW,4.539406898,3.956186
371,Ibrutinib,A3KAW,4.341659463,3.402639
372,Trametinib,A3KAW,-0.224288292,-0.267108
373,Picolinici-acid,A3KAW,3.739727977,3.857913
374,A-366,A3KAW,3.287992195,3.638262
375,SGC0946,A3KAW,1.346374063,1.527969
376,Olaparib,A3KAW,1.972224204,2.000275
377,Talazoparib,A3KAW,-0.265316019,-1.224362
378,CCT007093,A3KAW,4.33894349,4.244552
379,WIKI4,A427,4.56721318,3.185214
380,AZD6482,A427,3.563347058,4.622997
381,Osimertinib,A427,2.734704485,1.700056
382,Lapatinib,A427,2.799709012,2.767913
383,Sapitinib,A427,3.485309393,4.401757
384,SN-38,A427,-2.278111302,-0.148345
385,Gallibiscoquinazole,A427,1.076140515,2.527709
386,Irinotecan,A427,2.490292299,2.723815
387,AZD3759,A427,2.537215471,2.856046
388,Linsitinib,A427,2.814828239,2.208126
389,Obatoclax Mesylate,A427,-0.509972839,-0.031408
390,Pevonedistat,A427,-1.448837157,-0.63945
391,GSK1904529A,A427,2.668643691,3.683455
392,SL0101,A427,3.829954784,4.977287
393,BMS-754807,A427,-0.00654882,-0.23552
394,AZD5363,A427,3.901029462,3.210448
395,Dabrafenib,A427,2.778867858,4.123675
396,Avagacestat,A427,4.272191639,4.498506
397,GSK-LSD1,A427,2.765564152,2.271786
398,Daporinad,A431,2.065692798,-2.510374
399,Entinostat,A431,1.424766908,1.603385
400,Veliparib,A431,5.871700805,5.763278
401,Tamoxifen,A431,5.442989103,5.066045
402,Crizotinib,A431,2.079954857,1.94489
403,Gemcitabine,A431,-2.570787316,-1.637249
404,AZD6738,A431,1.417749041,1.322326
405,SB590885,A431,5.140429114,5.220243
406,GSK2578215A,A431,5.092401721,4.835403
407,Alpelisib,A431,1.042570094,1.569709
408,Rapamycin,A431,-2.571187577,-2.812406
409,Osimertinib,A431,-0.028433528,-0.926395
410,JNK Inhibitor VIII,A431,4.177164261,4.98654
411,Savolitinib,A431,3.785902642,3.57954
412,Camptothecin,A431,-2.98936841,-2.447725
413,SCH772984,A431,1.129065334,1.281586
414,Cyclophosphamide,A498,5.811846542,5.372006
415,GSK2830371,A498,6.085113313,5.651466
416,Lapatinib,A498,2.414258902,4.074763
417,KRAS (G12C) Inhibitor-12,A498,6.003781675,5.473929
418,Methotrexate,A498,3.371618718,-0.546153
419,ABT737,A498,0.359419908,1.290565
420,Nilotinib,A498,5.074186738,3.648306
421,BMS-345541,A498,2.69894147,3.9445
422,Cytarabine,A498,4.253233189,2.963202
423,Doramapimod,A498,5.190254535,5.534948
424,Obatoclax Mesylate,A498,0.698864972,0.671332
425,Mycophenolic acid,A498,2.063685333,3.542903
426,Bosutinib,A498,2.806736141,3.065194
427,Carmustine,A498,7.294387858,6.209754
428,Cisplatin,A498,5.795004875,3.520029
429,MK-2206,A498,0.233908971,1.620193
430,Taselisib,A498,2.185542415,1.091213
431,Gefitinib,A498,3.621292729,4.009986
432,Trametinib,A498,0.894945331,-0.029852
433,MN-64,A4FUK,2.741438733,4.173842
434,5-azacytidine,A4FUK,2.258558704,1.937009
435,Wee1 Inhibitor,A4FUK,0.120119026,0.392157
436,Acetalax,A4FUK,5.688605058,5.275709
437,PFI-1,A4FUK,2.344860134,2.473949
438,NU7441,A4FUK,4.615582293,1.532785
439,AZD5991,A4FUK,-2.347430259,-1.800828
440,Romidepsin,A4FUK,-6.018285585,-5.860096
441,Sorafenib,A4FUK,1.49534548,1.073438
442,Obatoclax Mesylate,A4FUK,-1.457283713,-0.521692
443,Doramapimod,A4FUK,4.770716048,4.658401
444,Nelarabine,A4FUK,4.746770725,5.323886
445,OTX015,A4FUK,-1.7215053,-1.269074
446,PRT062607,A4FUK,1.249902051,0.5127
447,ABT737,A4FUK,2.256677848,2.592581
448,Lenalidomide,A4FUK,4.811224306,3.937912
449,Entinostat,A4FUK,0.853045118,0.371422
450,Gefitinib,A4FUK,3.195885246,2.634419
451,GSK2830371,A4FUK,4.354057476,4.409266
452,Savolitinib,A549,3.83234106,2.910693
453,Remodelin,A549,3.982875053,5.024023
454,GSK2110183B,A549,2.604406158,2.941203
455,Fulvestrant,A549,3.048610969,3.644471
456,Ruxolitinib,A549,4.094526574,5.016783
457,Bleomycin,A549,0.997002725,1.153606
458,5-azacytidine,A549,1.847137308,2.307023
459,Cediranib,A549,2.035846415,1.72066
460,ZM447439,A549,2.007055886,2.017375
461,Gemcitabine,A549,-3.595753357,-2.290481
462,BIBR-1532,A549,5.775714059,5.067274
463,Niraparib,A549,4.1701766,4.121023
464,GDC0810,A549,4.951721324,4.963797
465,Leflunomide,A549,5.444887588,4.861858
466,Doramapimod,A549,4.854872561,5.478116
467,OTX015,A549,1.100079885,1.116989
468,YK-4-279,A549,1.60443125,1.247334
469,Olaparib,A549,4.064176202,4.436605
470,AZD5438,A549,1.391646044,1.687081
471,Linsitinib,A549,3.200766905,3.793729
472,Luminespib,A673,-3.453784611,-3.044162
473,EPZ5676,A673,5.53290724,5.171675
474,AZD1332,A673,2.868642829,2.748749
475,Dabrafenib,A673,3.430919564,4.606335
476,SN-38,A673,-6.826774918,-6.29415
477,Elephantin,A673,1.906869843,2.575359
478,LJI308,A673,4.8621549,4.694056
479,SGC0946,A673,1.723941834,1.82733
480,SB216763,A673,4.884471919,4.87938
481,AZD5991,A673,3.958147738,4.829528
482,Sorafenib,A673,2.526749749,2.015003
483,VX-11e,A673,2.696722422,2.67876
484,Motesanib,A673,5.240599297,5.347429
485,Ibrutinib,A673,4.627662987,4.895406
486,Pictilisib,A673,0.977047355,1.072861
487,GSK2801,A673,4.927779658,4.781344
488,Refametinib,A673,3.122181137,3.406657
489,MK-1775,A673,1.075155594,-0.053372
490,BMS-754807,A673,0.072311699,0.644965
491,VE-822,A704,2.425847637,2.549558
492,PFI3,A704,5.000022773,5.196063
493,Dactolisib,A704,-0.758802996,-1.562131
494,Taselisib,A704,2.390260623,2.29201
495,Palbociclib,A704,3.006430366,3.609444
496,EPZ004777,A704,5.26845739,5.109904
497,Irinotecan,A704,2.94559619,5.133452
498,Gallibiscoquinazole,A704,3.262744074,3.05067
499,GSK343,A704,3.589336907,3.019728
500,GSK2830371,A704,5.51058814,5.449948
501,L-Oxonoreleagnine,A704,4.357448327,3.689909
502,Mitoxantrone,A704,3.899220715,3.237618
503,NVP-ADW742,A704,1.930248882,2.078949
504,NU7441,A704,1.550748984,2.35351
505,Ulixertinib,A704,4.537459459,3.48358
506,Vinblastine,A704,-2.643288989,-0.538634
507,LMP744,A704,2.071319176,1.262279
508,Mycophenolic acid,A704,2.097812254,2.739548
509,Bosutinib,A704,1.584146272,2.707546
510,LMP744,ABC1,0.232089359,-0.008394
511,AZD5991,ABC1,6.041566728,4.229161
512,Fulvestrant,ABC1,4.097259731,3.678294
513,Savolitinib,ABC1,3.739714554,3.026162
514,OTX015,ABC1,4.896196913,4.852839
515,SN-38,ABC1,-4.419249861,-3.957428
516,Camptothecin,ABC1,-2.387423497,-2.431221
517,JNK Inhibitor VIII,ABC1,5.513305937,5.668669
518,Vorinostat,ABC1,1.636342002,2.374298
519,SB216763,ABC1,6.086326396,5.725011
520,Docetaxel,ABC1,-0.545507386,-3.061976
521,GSK343,ABC1,3.719669912,4.161433
522,Bleomycin,ABC1,3.316945854,3.40416
523,AMG-319,ABC1,5.810709199,5.449796
524,PRT062607,ABC1,4.269145733,5.113094
525,Leflunomide,ABC1,4.997651667,5.306479
526,ZM447439,ABC1,0.857935802,2.232912
527,GNE-317,ABC1,2.737732738,2.217647
528,GSK1904529A,ABC1,4.691007194,4.08486
529,AZD8055,ACHN,-0.66540271,-0.722388
530,OF-1,ACHN,4.212001476,4.87192
531,Zoledronate,ACHN,4.467280933,4.095537
532,Doramapimod,ACHN,4.872149709,5.851518
533,Refametinib,ACHN,2.013240262,2.107009
534,Sinularin,ACHN,3.56879364,3.694003
535,VE-822,ACHN,1.770355516,2.249214
536,GSK2606414,ACHN,2.632073315,3.353104
537,GSK2578215A,ACHN,5.270802375,5.107805
538,AMG-319,ACHN,4.136137533,4.836361
539,IWP-2,ACHN,3.710377806,3.322937
540,MK-2206,ACHN,2.752459234,3.07666
541,Epirubicin,ACHN,-2.549554945,-1.897128
542,OSI-027,ACHN,1.758052531,1.829252
543,GSK591,ACHN,5.291999719,4.788124
544,NVP-ADW742,ACHN,3.903819088,3.157184
545,Entospletinib,ACHN,2.506184517,3.222206
546,PRIMA-1MET,ACHN,3.723945868,4.075535
547,Osimertinib,ACHN,0.182226814,0.435739
548,JQ1,AGS,1.02488684,0.458361
549,Vinblastine,AGS,-5.264569761,-4.926701
550,Palbociclib,AGS,1.959589268,3.028516
551,Acetalax,AGS,0.633504881,2.232592
552,POMHEX,AGS,0.124405899,1.100036
553,Ribociclib,AGS,3.086938992,3.248481
554,Mycophenolic acid,AGS,-0.17397149,0.809692
555,GSK2578215A,AGS,5.111593312,4.643269
556,Navitoclax,AGS,-2.171884788,0.666576
557,Wee1 Inhibitor,AGS,1.803893346,1.69921
558,Sapitinib,AGS,3.701055364,3.268519
559,Selumetinib,AGS,0.601365296,-0.309105
560,WIKI4,AGS,3.340937137,3.034316
561,AZD5153,AGS,-0.087153779,0.154737
562,GSK591,AGS,3.207785601,4.481797
563,Sinularin,AGS,3.178035631,3.088116
564,RO-3306,AGS,2.561168304,2.615867
565,BMS-536924,AGS,2.147212773,0.882207
566,Linsitinib,AGS,4.096379683,3.24016
567,GDC0810,ALLSIL,4.575233184,4.352085
568,Ruxolitinib,ALLSIL,4.022742887,3.824512
569,L-Oxonoreleagnine,ALLSIL,2.799318223,3.047561
570,Pyridostatin,ALLSIL,3.00701731,2.356343
571,GNE-317,ALLSIL,1.910581867,0.950718
572,AZD5991,ALLSIL,3.225473571,0.490524
573,Sabutoclax,ALLSIL,-1.454096577,-1.554204
574,LCL161,ALLSIL,4.575213348,4.375696
575,KRAS (G12C) Inhibitor-12,ALLSIL,2.017963257,2.905569
576,AZ960,ALLSIL,0.029672171,-0.285121
577,AZD5582,ALLSIL,-2.388901175,-0.027624
