"",drug,cell_line,prediction,OncotreeCode,IC50
43,Fulvestrant,HCC827,4.062886,LUAD,4.347685
44,GDC0810,HCC827,5.402215,LUAD,6.591395
45,GSK1904529A,HCC827,4.860305,LUAD,4.790134
46,GSK2578215A,HCC827,5.398886,LUAD,6.097336
47,GSK2606414,HCC827,4.075815,LUAD,3.852861
48,GSK343,HCC827,3.967463,LUAD,3.689302
49,GW441756,HCC827,3.625226,LUAD,4.333161
50,Gefitinib,HCC827,3.107241,LUAD,-2.738697
51,Gemcitabine,HCC827,2.321117,LUAD,2.488382
52,I-BET-762,HCC827,3.857557,LUAD,4.108792
53,I-BRD9,HCC827,5.036364,LUAD,7.025837
54,IWP-2,HCC827,3.553622,LUAD,1.912871
55,Ibrutinib,HCC827,4.332160,LUAD,4.930049
56,Ipatasertib,HCC827,4.772552,LUAD,4.428936
57,Irinotecan,HCC827,4.267455,LUAD,4.133260
58,JNK Inhibitor VIII,HCC827,6.034419,LUAD,6.470210
59,JQ1,HCC827,2.832916,LUAD,3.797048
60,KRAS (G12C) Inhibitor-12,HCC827,5.146334,LUAD,5.936296
61,KU-55933,HCC827,5.407267,LUAD,6.402763
62,LCL161,HCC827,5.049878,LUAD,4.128870
63,LGK974,HCC827,4.729122,LUAD,4.241947
64,LY2109761,HCC827,5.532507,LUAD,5.333651
65,Lapatinib,HCC827,3.207242,LUAD,1.139135
66,Leflunomide,HCC827,5.289980,LUAD,5.431557
67,Lenalidomide,HCC827,5.858749,LUAD,6.196843
68,Lestaurtinib,HCC827,1.219460,LUAD,0.150939
69,Linsitinib,HCC827,4.279831,LUAD,5.207676
70,Luminespib,HCC827,-1.323276,LUAD,-1.178819
71,MG-132,HCC827,-1.351936,LUAD,-1.488899
72,MIRA-1,HCC827,6.042000,LUAD,7.490160
73,MK-1775,HCC827,1.006748,LUAD,0.629055
74,MK-2206,HCC827,3.514735,LUAD,3.571288
75,ML323,HCC827,5.090003,LUAD,5.843242
76,MN-64,HCC827,5.017004,LUAD,5.909207
77,Mirin,HCC827,5.455935,LUAD,4.332144
78,Motesanib,HCC827,6.298216,LUAD,6.600753
79,NU7441,HCC827,3.869419,LUAD,3.533807
80,NVP-ADW742,HCC827,2.969955,LUAD,3.899977
81,Navitoclax,HCC827,2.815658,LUAD,3.326192
82,Nilotinib,HCC827,4.126923,LUAD,5.265869
83,Niraparib,HCC827,5.142127,LUAD,5.389704
84,Nutlin-3a (-),HCC827,5.914994,LUAD,6.196977
85,OF-1,HCC827,5.132560,LUAD,3.666942
86,OSI-027,HCC827,2.469284,LUAD,2.338258
87,OTX015,HCC827,2.157932,LUAD,6.368497
88,Olaparib,HCC827,4.871305,LUAD,4.128216
89,Osimertinib,HCC827,1.613732,LUAD,-3.593735
90,Oxaliplatin,HCC827,5.771776,LUAD,5.573582
91,P22077,HCC827,5.179766,LUAD,3.348494
92,PCI-34051,HCC827,5.013659,LUAD,6.527695
93,PD173074,HCC827,4.359511,LUAD,4.979329
94,PFI-1,HCC827,4.368020,LUAD,4.923893
95,PFI3,HCC827,5.753584,LUAD,6.165112
96,PLX-4720,HCC827,4.956226,LUAD,3.303863
97,PRIMA-1MET,HCC827,5.065796,LUAD,6.004583
98,PRT062607,HCC827,3.777049,LUAD,4.610552
99,Paclitaxel,HCC827,-1.962201,LUAD,-0.057143
100,Palbociclib,HCC827,4.042367,LUAD,6.131633
101,Pevonedistat,HCC827,2.030622,LUAD,2.320720
102,Picolinici-acid,HCC827,5.634407,LUAD,5.621263
103,Pictilisib,HCC827,1.365342,LUAD,1.080641
104,RO-3306,HCC827,4.735157,LUAD,6.559052
105,RVX-208,HCC827,5.337145,LUAD,6.349175
106,Refametinib,HCC827,1.647788,LUAD,2.633088
107,Ribociclib,HCC827,4.260665,LUAD,5.297790
108,Rucaparib,HCC827,4.737974,LUAD,3.376308
109,Ruxolitinib,HCC827,5.759459,LUAD,3.707325
110,SB216763,HCC827,5.499390,LUAD,5.519993
111,SB590885,HCC827,4.617467,LUAD,5.632307
112,SGC0946,HCC827,2.599342,LUAD,2.557969
113,SN-38,HCC827,3.437464,LUAD,-0.430806
114,Sabutoclax,HCC827,0.810162,LUAD,-1.225513
115,Savolitinib,HCC827,3.184423,LUAD,4.425659
116,Selumetinib,HCC827,3.979364,LUAD,3.196617
117,Sepantronium bromide,HCC827,-5.029774,LUAD,-4.616246
118,Serdemetan,HCC827,4.497422,LUAD,3.948380
119,Sorafenib,HCC827,3.293330,LUAD,3.868251
120,Staurosporine,HCC827,-2.532873,LUAD,-1.467606
121,Talazoparib,HCC827,4.578629,LUAD,5.426588
122,Tamoxifen,HCC827,4.185057,LUAD,4.133604
123,Tanespimycin,HCC827,-0.081535,LUAD,1.484273
124,Taselisib,HCC827,1.983337,LUAD,1.636005
125,Telomerase Inhibitor IX,HCC827,1.452784,LUAD,2.288275
126,Temozolomide,HCC827,7.377537,LUAD,7.065678
127,Trametinib,HCC827,-0.291217,LUAD,2.250742
128,Ulixertinib,HCC827,2.831732,LUAD,4.952170
129,Uprosertib,HCC827,4.230968,LUAD,4.478582
130,VE-822,HCC827,3.638345,LUAD,5.554657
131,Veliparib,HCC827,5.734381,LUAD,6.252406
132,Venetoclax,HCC827,3.497821,LUAD,4.727563
133,Vismodegib,HCC827,5.575633,LUAD,6.367726
134,Vorinostat,HCC827,2.627830,LUAD,2.554634
135,WEHI-539,HCC827,4.328659,LUAD,4.807175
136,WIKI4,HCC827,3.745811,LUAD,4.142310
137,WZ4003,HCC827,3.928654,LUAD,3.106007
138,Wnt-C59,HCC827,4.948004,LUAD,3.909002
139,XAV939,HCC827,4.510709,LUAD,3.172621
140,YK-4-279,HCC827,3.726754,LUAD,4.201303
141,ZM447439,HCC827,3.105904,LUAD,3.100615
142,5-Fluorouracil,PC14,5.870763,LUAD,4.138791
143,ABT737,PC14,2.635267,LUAD,2.341568
144,AGI-5198,PC14,4.940324,LUAD,5.232588
145,AGI-6780,PC14,4.966678,LUAD,5.228069
146,AGK2,PC14,3.288974,LUAD,3.164392
147,AZ960,PC14,2.711848,LUAD,0.918031
148,AZD3759,PC14,2.689164,LUAD,-2.405717
149,AZD4547,PC14,3.476127,LUAD,3.271007
150,AZD5363,PC14,3.110197,LUAD,2.547060
151,AZD5582,PC14,2.843658,LUAD,1.962066
152,AZD6738,PC14,2.439330,LUAD,0.899934
153,AZD7762,PC14,0.452404,LUAD,-1.078449
154,AZD8186,PC14,3.082723,LUAD,3.333335
155,Afatinib,PC14,1.417494,LUAD,-3.530785
156,Afuresertib,PC14,2.627022,LUAD,2.237580
157,Alpelisib,PC14,3.331055,LUAD,3.652979
158,Avagacestat,PC14,5.560428,LUAD,5.539423
159,Axitinib,PC14,3.567181,LUAD,3.249825
160,BMS-345541,PC14,4.405455,LUAD,2.735978
161,BMS-536924,PC14,2.353715,LUAD,1.121395
162,BMS-754807,PC14,2.074306,LUAD,3.205969
163,Bortezomib,PC14,-4.995444,LUAD,-4.628624
164,Bosutinib,PC14,3.049813,LUAD,-0.704709
165,Buparlisib,PC14,1.555242,LUAD,0.876990
166,CCT007093,PC14,5.527898,LUAD,5.420619
167,CZC24832,PC14,5.482068,LUAD,5.927456
168,Camptothecin,PC14,-0.938768,LUAD,-2.260841
169,Cediranib,PC14,2.492771,LUAD,0.280926
170,Crizotinib,PC14,3.678370,LUAD,1.965356
171,Cyclophosphamide,PC14,5.604364,LUAD,6.285854
172,Dactinomycin,PC14,-3.281835,LUAD,-3.292126
173,Dactolisib,PC14,-1.493840,LUAD,-2.311859
174,Dasatinib,PC14,0.738413,LUAD,-1.950497
175,Dinaciclib,PC14,-2.443263,LUAD,-3.640036
176,Docetaxel,PC14,-4.400187,LUAD,-5.037010
177,Doramapimod,PC14,5.717210,LUAD,4.747444
178,EHT-1864,PC14,3.845522,LUAD,3.722729
179,EPZ004777,PC14,5.806535,LUAD,5.557169
180,EPZ5676,PC14,6.033854,LUAD,6.716941
181,Entinostat,PC14,2.993201,LUAD,1.382918
182,Entospletinib,PC14,4.049235,LUAD,2.503902
183,Epirubicin,PC14,0.222619,LUAD,-0.498431
184,Erlotinib,PC14,2.967352,LUAD,-2.165833
185,Fulvestrant,PC14,3.901155,LUAD,4.693725
186,GDC0810,PC14,5.478191,LUAD,5.259641
187,GSK1904529A,PC14,4.417759,LUAD,4.594172
188,GSK2578215A,PC14,5.522239,LUAD,5.412372
189,GSK2606414,PC14,4.276649,LUAD,3.455609
190,GSK343,PC14,3.835005,LUAD,3.482147
191,GW441756,PC14,3.314250,LUAD,4.247110
192,Gefitinib,PC14,3.490118,LUAD,-1.397133
193,Gemcitabine,PC14,2.719152,LUAD,-1.300914
194,I-BET-762,PC14,4.769421,LUAD,4.243052
195,I-BRD9,PC14,5.294026,LUAD,5.212693
196,IWP-2,PC14,3.220931,LUAD,3.701118
197,Ibrutinib,PC14,4.672109,LUAD,-0.027766
198,Ipatasertib,PC14,3.682705,LUAD,2.986795
199,Irinotecan,PC14,3.930272,LUAD,2.992119
200,JNK Inhibitor VIII,PC14,5.633539,LUAD,5.603030
201,JQ1,PC14,3.353451,LUAD,3.260705
202,KRAS (G12C) Inhibitor-12,PC14,5.206184,LUAD,3.515464
203,KU-55933,PC14,5.249690,LUAD,6.780180
204,LCL161,PC14,5.378283,LUAD,4.973770
205,LGK974,PC14,4.400013,LUAD,4.078761
206,LY2109761,PC14,5.761133,LUAD,4.690283
207,Lapatinib,PC14,2.493288,LUAD,0.498939
208,Leflunomide,PC14,5.282102,LUAD,5.554370
209,Lenalidomide,PC14,5.625075,LUAD,6.977512
210,Lestaurtinib,PC14,1.303786,LUAD,-1.406138
211,Linsitinib,PC14,4.209083,LUAD,4.590801
212,Luminespib,PC14,-1.097180,LUAD,-3.585377
213,MG-132,PC14,-1.388982,LUAD,-1.146146
214,MIRA-1,PC14,6.033752,LUAD,6.455351
215,MK-1775,PC14,0.563972,LUAD,-1.029369
216,MK-2206,PC14,3.337335,LUAD,2.558908
217,ML323,PC14,4.847605,LUAD,4.244610
218,MN-64,PC14,4.926050,LUAD,6.129964
219,Mirin,PC14,5.651090,LUAD,4.978771
220,Motesanib,PC14,6.154028,LUAD,7.156553
221,NU7441,PC14,3.773527,LUAD,3.187732
222,NVP-ADW742,PC14,3.075143,LUAD,2.746289
223,Navitoclax,PC14,2.617806,LUAD,4.962459
224,Nilotinib,PC14,4.582771,LUAD,3.915461
225,Niraparib,PC14,5.072393,LUAD,4.427267
226,Nutlin-3a (-),PC14,6.243490,LUAD,5.514282
227,OF-1,PC14,4.678375,LUAD,3.795572
228,OSI-027,PC14,2.966609,LUAD,3.290964
229,OTX015,PC14,3.784065,LUAD,3.147328
230,Olaparib,PC14,4.988499,LUAD,4.303406
231,Osimertinib,PC14,1.406334,LUAD,-3.304462
232,Oxaliplatin,PC14,5.827568,LUAD,5.500469
233,P22077,PC14,4.910491,LUAD,6.254025
234,PCI-34051,PC14,5.132931,LUAD,5.159949
235,PD173074,PC14,4.574629,LUAD,3.861776
236,PFI-1,PC14,4.633108,LUAD,5.549546
237,PFI3,PC14,5.575818,LUAD,6.910740
238,PLX-4720,PC14,4.809005,LUAD,4.082857
239,PRIMA-1MET,PC14,6.092162,LUAD,6.120827
240,PRT062607,PC14,4.041547,LUAD,2.003212
241,Paclitaxel,PC14,-3.582581,LUAD,-4.324666
242,Palbociclib,PC14,4.559023,LUAD,3.797205
243,Pevonedistat,PC14,1.374823,LUAD,1.391274
244,Picolinici-acid,PC14,5.462047,LUAD,6.493716
245,Pictilisib,PC14,0.907731,LUAD,1.123065
246,RO-3306,PC14,4.567010,LUAD,3.365589
247,RVX-208,PC14,5.524518,LUAD,6.546117
248,Refametinib,PC14,2.779993,LUAD,1.632968
249,Ribociclib,PC14,4.415998,LUAD,4.220373
250,Rucaparib,PC14,4.649011,LUAD,4.241976
251,Ruxolitinib,PC14,5.325128,LUAD,3.816596
252,SB216763,PC14,5.383728,LUAD,6.354427
253,SB590885,PC14,4.812645,LUAD,6.795044
254,SGC0946,PC14,2.222808,LUAD,3.162286
255,SN-38,PC14,-0.252739,LUAD,-2.859507
256,Sabutoclax,PC14,0.871193,LUAD,-0.551162
257,Savolitinib,PC14,2.849757,LUAD,3.935786
258,Selumetinib,PC14,4.804475,LUAD,3.661364
259,Sepantronium bromide,PC14,-4.253401,LUAD,-4.080156
260,Serdemetan,PC14,4.265546,LUAD,2.737100
261,Sorafenib,PC14,3.086861,LUAD,2.915158
262,Staurosporine,PC14,-2.636015,LUAD,-4.374277
263,Talazoparib,PC14,4.611552,LUAD,3.008351
264,Tamoxifen,PC14,4.080289,LUAD,4.925683
265,Tanespimycin,PC14,0.356168,LUAD,-2.585902
266,Taselisib,PC14,1.494662,LUAD,1.910559
267,Telomerase Inhibitor IX,PC14,1.902768,LUAD,1.384488
268,Temozolomide,PC14,7.309202,LUAD,6.866748
269,Trametinib,PC14,0.830870,LUAD,-0.296010
270,Ulixertinib,PC14,3.097648,LUAD,2.609317
271,Uprosertib,PC14,3.775377,LUAD,2.151562
272,VE-822,PC14,3.559473,LUAD,1.234501
273,Veliparib,PC14,5.673150,LUAD,7.083729
274,Venetoclax,PC14,3.105272,LUAD,2.101849
275,Vismodegib,PC14,5.484967,LUAD,5.228461
276,Vorinostat,PC14,2.259030,LUAD,1.429570
277,WEHI-539,PC14,4.074130,LUAD,4.853437
278,WIKI4,PC14,4.012195,LUAD,3.392275
279,WZ4003,PC14,4.586646,LUAD,3.786859
280,Wnt-C59,PC14,4.422963,LUAD,4.343303
281,XAV939,PC14,4.792455,LUAD,4.803742
282,YK-4-279,PC14,2.862487,LUAD,1.433698
283,ZM447439,PC14,3.060148,LUAD,1.838791
284,5-Fluorouracil,RERFLCSQ1,4.857307,LUSC,3.526070
285,ABT737,RERFLCSQ1,2.684094,LUSC,2.578252
286,AGI-5198,RERFLCSQ1,4.826415,LUSC,5.229365
287,AGI-6780,RERFLCSQ1,4.462158,LUSC,4.054786
288,AGK2,RERFLCSQ1,3.176969,LUSC,3.154074
289,AZ960,RERFLCSQ1,1.054470,LUSC,3.777140
290,AZD3759,RERFLCSQ1,2.638169,LUSC,0.682549
291,AZD4547,RERFLCSQ1,2.874094,LUSC,2.543670
292,AZD5363,RERFLCSQ1,1.700078,LUSC,1.051042
293,AZD5582,RERFLCSQ1,1.680095,LUSC,4.830349
294,AZD6738,RERFLCSQ1,1.950278,LUSC,1.387042
295,AZD7762,RERFLCSQ1,-0.407907,LUSC,0.099105
296,AZD8186,RERFLCSQ1,2.265860,LUSC,3.674451
297,Afatinib,RERFLCSQ1,1.475280,LUSC,-0.950875
298,Afuresertib,RERFLCSQ1,1.170905,LUSC,0.247026
299,Alpelisib,RERFLCSQ1,2.304440,LUSC,1.567497
300,Avagacestat,RERFLCSQ1,4.816413,LUSC,5.147388
301,Axitinib,RERFLCSQ1,2.658857,LUSC,3.429410
302,BMS-345541,RERFLCSQ1,2.569526,LUSC,3.699625
303,BMS-536924,RERFLCSQ1,1.334821,LUSC,2.683944
304,BMS-754807,RERFLCSQ1,1.596600,LUSC,1.748843
305,Bortezomib,RERFLCSQ1,-5.545597,LUSC,-4.565559
306,Bosutinib,RERFLCSQ1,2.316781,LUSC,1.716678
307,Buparlisib,RERFLCSQ1,0.614574,LUSC,0.858709
308,CCT007093,RERFLCSQ1,4.857994,LUSC,5.255356
309,CZC24832,RERFLCSQ1,4.860259,LUSC,5.515069
310,Camptothecin,RERFLCSQ1,-1.185596,LUSC,-0.994550
311,Cediranib,RERFLCSQ1,1.573967,LUSC,1.821701
312,Crizotinib,RERFLCSQ1,2.213271,LUSC,2.517135
313,Cyclophosphamide,RERFLCSQ1,5.115000,LUSC,5.878808
314,Dactinomycin,RERFLCSQ1,-3.819932,LUSC,-3.283235
315,Dactolisib,RERFLCSQ1,-2.873784,LUSC,-2.353061
316,Dasatinib,RERFLCSQ1,-1.987609,LUSC,1.628523
317,Dinaciclib,RERFLCSQ1,-3.368574,LUSC,-2.038384
318,Docetaxel,RERFLCSQ1,-4.851407,LUSC,-4.798918
319,Doramapimod,RERFLCSQ1,4.912442,LUSC,5.877983
320,EHT-1864,RERFLCSQ1,3.808006,LUSC,5.914628
321,EPZ004777,RERFLCSQ1,5.211786,LUSC,5.875940
322,EPZ5676,RERFLCSQ1,5.333741,LUSC,6.246232
323,Entinostat,RERFLCSQ1,2.382380,LUSC,2.649934
324,Entospletinib,RERFLCSQ1,3.152581,LUSC,3.983810
325,Epirubicin,RERFLCSQ1,-0.626035,LUSC,-0.180511
326,Erlotinib,RERFLCSQ1,3.283041,LUSC,0.556387
327,Fulvestrant,RERFLCSQ1,3.542340,LUSC,4.204414
328,GDC0810,RERFLCSQ1,4.967330,LUSC,5.932816
329,GSK1904529A,RERFLCSQ1,4.095244,LUSC,5.122826
330,GSK2578215A,RERFLCSQ1,4.805118,LUSC,5.866378
331,GSK2606414,RERFLCSQ1,3.622817,LUSC,3.233232
332,GSK343,RERFLCSQ1,3.393343,LUSC,3.820276
333,GW441756,RERFLCSQ1,3.134912,LUSC,4.012145
334,Gefitinib,RERFLCSQ1,3.715508,LUSC,0.354595
335,Gemcitabine,RERFLCSQ1,1.220028,LUSC,-1.270373
336,I-BET-762,RERFLCSQ1,2.760225,LUSC,5.696926
337,I-BRD9,RERFLCSQ1,4.304925,LUSC,4.125684
338,IWP-2,RERFLCSQ1,2.784642,LUSC,3.578852
339,Ibrutinib,RERFLCSQ1,4.400517,LUSC,2.761284
340,Ipatasertib,RERFLCSQ1,2.989543,LUSC,1.191172
341,Irinotecan,RERFLCSQ1,3.216620,LUSC,3.420275
342,JNK Inhibitor VIII,RERFLCSQ1,4.921141,LUSC,5.587307
343,JQ1,RERFLCSQ1,1.539105,LUSC,1.472571
344,KRAS (G12C) Inhibitor-12,RERFLCSQ1,4.629019,LUSC,4.632554
345,KU-55933,RERFLCSQ1,4.702145,LUSC,5.791557
346,LCL161,RERFLCSQ1,4.697269,LUSC,3.748518
347,LGK974,RERFLCSQ1,4.511789,LUSC,5.081440
348,LY2109761,RERFLCSQ1,4.716929,LUSC,5.837341
349,Lapatinib,RERFLCSQ1,2.698871,LUSC,0.922540
350,Leflunomide,RERFLCSQ1,5.019767,LUSC,5.847153
351,Lenalidomide,RERFLCSQ1,5.236298,LUSC,5.882990
352,Lestaurtinib,RERFLCSQ1,0.035945,LUSC,1.233787
353,Linsitinib,RERFLCSQ1,4.186407,LUSC,4.712139
354,Luminespib,RERFLCSQ1,-2.969835,LUSC,0.734075
355,MG-132,RERFLCSQ1,-1.665197,LUSC,-1.250346
356,MIRA-1,RERFLCSQ1,5.343939,LUSC,5.970787
357,MK-1775,RERFLCSQ1,-0.032260,LUSC,-0.023904
358,MK-2206,RERFLCSQ1,2.246070,LUSC,1.444058
359,ML323,RERFLCSQ1,4.570127,LUSC,5.675728
360,MN-64,RERFLCSQ1,4.235564,LUSC,4.936967
361,Mirin,RERFLCSQ1,4.716145,LUSC,4.907940
362,Motesanib,RERFLCSQ1,5.398672,LUSC,5.254758
363,NU7441,RERFLCSQ1,2.206861,LUSC,1.932448
364,NVP-ADW742,RERFLCSQ1,2.028041,LUSC,2.063317
365,Navitoclax,RERFLCSQ1,2.528009,LUSC,3.025047
366,Nilotinib,RERFLCSQ1,3.090999,LUSC,4.537594
367,Niraparib,RERFLCSQ1,4.610546,LUSC,4.881429
368,Nutlin-3a (-),RERFLCSQ1,4.807661,LUSC,4.731550
369,OF-1,RERFLCSQ1,4.566142,LUSC,4.297170
370,OSI-027,RERFLCSQ1,2.068642,LUSC,3.742476
371,OTX015,RERFLCSQ1,1.806108,LUSC,3.386668
372,Olaparib,RERFLCSQ1,4.606164,LUSC,4.994994
373,Osimertinib,RERFLCSQ1,1.884604,LUSC,-0.187819
374,Oxaliplatin,RERFLCSQ1,4.722940,LUSC,4.712497
375,P22077,RERFLCSQ1,4.638803,LUSC,5.907444
376,PCI-34051,RERFLCSQ1,4.439216,LUSC,5.312894
377,PD173074,RERFLCSQ1,3.192805,LUSC,2.478187
378,PFI-1,RERFLCSQ1,4.128468,LUSC,4.695250
379,PFI3,RERFLCSQ1,5.208830,LUSC,5.095948
380,PLX-4720,RERFLCSQ1,4.227364,LUSC,5.086996
381,PRIMA-1MET,RERFLCSQ1,3.665770,LUSC,6.074301
382,PRT062607,RERFLCSQ1,2.445241,LUSC,4.564106
383,Paclitaxel,RERFLCSQ1,-3.680733,LUSC,-3.293134
384,Palbociclib,RERFLCSQ1,3.660671,LUSC,2.131303
385,Pevonedistat,RERFLCSQ1,0.935154,LUSC,-0.682818
386,Picolinici-acid,RERFLCSQ1,5.135909,LUSC,4.781771
387,Pictilisib,RERFLCSQ1,0.217470,LUSC,0.416347
388,RO-3306,RERFLCSQ1,3.131492,LUSC,2.871785
389,RVX-208,RERFLCSQ1,4.675989,LUSC,5.676096
390,Refametinib,RERFLCSQ1,2.549062,LUSC,1.411019
391,Ribociclib,RERFLCSQ1,3.435569,LUSC,2.816077
392,Rucaparib,RERFLCSQ1,4.176669,LUSC,5.242131
393,Ruxolitinib,RERFLCSQ1,4.712678,LUSC,5.344052
394,SB216763,RERFLCSQ1,4.919888,LUSC,5.734580
395,SB590885,RERFLCSQ1,4.454077,LUSC,5.243960
396,SGC0946,RERFLCSQ1,2.217988,LUSC,2.645602
397,SN-38,RERFLCSQ1,-1.349728,LUSC,3.526117
398,Sabutoclax,RERFLCSQ1,-0.127294,LUSC,0.753574
399,Savolitinib,RERFLCSQ1,2.375322,LUSC,3.069280
400,Selumetinib,RERFLCSQ1,4.311419,LUSC,3.005874
401,Sepantronium bromide,RERFLCSQ1,-4.131554,LUSC,-1.605330
402,Serdemetan,RERFLCSQ1,3.658311,LUSC,3.167339
403,Sorafenib,RERFLCSQ1,2.856143,LUSC,2.651752
404,Staurosporine,RERFLCSQ1,-4.404488,LUSC,-2.081987
405,Talazoparib,RERFLCSQ1,3.701550,LUSC,3.295370
406,Tamoxifen,RERFLCSQ1,3.340740,LUSC,3.832875
407,Tanespimycin,RERFLCSQ1,-1.201544,LUSC,-1.807295
408,Taselisib,RERFLCSQ1,1.078303,LUSC,-1.254731
409,Telomerase Inhibitor IX,RERFLCSQ1,0.983066,LUSC,2.289439
410,Temozolomide,RERFLCSQ1,6.435134,LUSC,6.555498
411,Trametinib,RERFLCSQ1,0.761420,LUSC,-2.382050
412,Ulixertinib,RERFLCSQ1,2.716741,LUSC,1.469542
413,Uprosertib,RERFLCSQ1,1.760392,LUSC,0.306266
414,VE-822,RERFLCSQ1,3.258137,LUSC,1.968383
415,Veliparib,RERFLCSQ1,5.026252,LUSC,5.843134
416,Venetoclax,RERFLCSQ1,2.794315,LUSC,4.278530
417,Vismodegib,RERFLCSQ1,4.848387,LUSC,5.673349
418,Vorinostat,RERFLCSQ1,1.636021,LUSC,2.167727
419,WEHI-539,RERFLCSQ1,4.056453,LUSC,6.007125
420,WIKI4,RERFLCSQ1,3.564968,LUSC,4.432891
421,WZ4003,RERFLCSQ1,3.901976,LUSC,3.178065
422,Wnt-C59,RERFLCSQ1,4.131206,LUSC,4.864511
423,XAV939,RERFLCSQ1,4.395066,LUSC,5.287106
424,YK-4-279,RERFLCSQ1,1.817331,LUSC,3.224404
425,ZM447439,RERFLCSQ1,2.273260,LUSC,2.553715
426,5-Fluorouracil,NCIH2228,4.467947,LUAD,4.904895
427,ABT737,NCIH2228,2.997342,LUAD,4.416044
428,AGI-5198,NCIH2228,4.933392,LUAD,5.462832
429,AGI-6780,NCIH2228,4.826574,LUAD,4.892088
430,AGK2,NCIH2228,3.495374,LUAD,3.043743
431,AZ960,NCIH2228,2.415889,LUAD,0.947764
432,AZD3759,NCIH2228,2.249098,LUAD,4.105970
433,AZD4547,NCIH2228,3.979157,LUAD,4.635637
434,AZD5363,NCIH2228,3.056600,LUAD,3.564246
435,AZD5582,NCIH2228,3.195711,LUAD,3.292899
436,AZD6738,NCIH2228,2.295603,LUAD,3.493801
437,AZD7762,NCIH2228,0.459294,LUAD,0.326371
438,AZD8186,NCIH2228,2.872191,LUAD,3.067852
439,Afatinib,NCIH2228,0.878386,LUAD,2.361375
440,Afuresertib,NCIH2228,2.468674,LUAD,2.300677
441,Alpelisib,NCIH2228,3.380883,LUAD,2.672479
442,Avagacestat,NCIH2228,5.277632,LUAD,5.196229
443,Axitinib,NCIH2228,4.044765,LUAD,3.908777
444,BMS-345541,NCIH2228,3.588760,LUAD,3.281385
445,BMS-536924,NCIH2228,2.043284,LUAD,0.126029
446,BMS-754807,NCIH2228,2.309340,LUAD,0.775757
447,Bortezomib,NCIH2228,-4.534986,LUAD,-4.087580
448,Bosutinib,NCIH2228,3.229998,LUAD,3.344930
449,Buparlisib,NCIH2228,1.023616,LUAD,1.230570
450,CCT007093,NCIH2228,5.498996,LUAD,5.465178
451,CZC24832,NCIH2228,5.429813,LUAD,6.807508
452,Camptothecin,NCIH2228,-2.354717,LUAD,-2.711762
453,Cediranib,NCIH2228,2.407251,LUAD,3.688734
454,Crizotinib,NCIH2228,3.437839,LUAD,1.171639
455,Cyclophosphamide,NCIH2228,5.895885,LUAD,6.757413
456,Dactinomycin,NCIH2228,-3.400547,LUAD,-2.354451
