"",drug,cell_line,prediction,OncotreeCode,IC50,Drug_Name,IC50_mean,IC50_std,Z-Score
41,Epirubicin,LUAD.HCC827,0.304990,LUAD,0.302015,Epirubicin,-0.852455,1.690941,0.684498
42,Erlotinib,LUAD.HCC827,3.097792,LUAD,-2.707414,Erlotinib,2.979885,1.448855,0.081379
43,Fulvestrant,LUAD.HCC827,4.062886,LUAD,4.347685,Fulvestrant,3.730929,1.263247,0.262781
44,GDC0810,LUAD.HCC827,5.402215,LUAD,6.591395,GDC0810,5.087362,0.945530,0.332991
45,GSK1904529A,LUAD.HCC827,4.860305,LUAD,4.790134,GSK1904529A,4.348623,1.104047,0.463460
46,GSK2578215A,LUAD.HCC827,5.398886,LUAD,6.097336,GSK2578215A,4.933854,0.966128,0.481336
47,GSK2606414,LUAD.HCC827,4.075815,LUAD,3.852861,GSK2606414,3.785602,1.215971,0.238668
48,GSK343,LUAD.HCC827,3.967463,LUAD,3.689302,GSK343,3.602119,1.367117,0.267237
49,GW441756,LUAD.HCC827,3.625226,LUAD,4.333161,GW441756,3.441226,0.928540,0.198161
50,Gefitinib,LUAD.HCC827,3.107241,LUAD,-2.738697,Gefitinib,3.147493,1.212598,-0.033195
51,Gemcitabine,LUAD.HCC827,2.321117,LUAD,2.488382,Gemcitabine,-0.766782,3.010521,1.025703
52,I-BET-762,LUAD.HCC827,3.857557,LUAD,4.108792,I-BET-762,3.178213,1.581827,0.429468
53,I-BRD9,LUAD.HCC827,5.036364,LUAD,7.025837,I-BRD9,4.358221,1.274025,0.532284
54,IWP-2,LUAD.HCC827,3.553622,LUAD,1.912871,IWP-2,2.870543,0.896950,0.761558
55,Ibrutinib,LUAD.HCC827,4.332160,LUAD,4.930049,Ibrutinib,4.055961,1.812726,0.152367
56,Ipatasertib,LUAD.HCC827,4.772552,LUAD,4.428936,Ipatasertib,3.403906,1.455375,0.940408
57,Irinotecan,LUAD.HCC827,4.267455,LUAD,4.133260,Irinotecan,2.490490,1.934295,0.918663
58,JNK Inhibitor VIII,LUAD.HCC827,6.034419,LUAD,6.470210,JNK Inhibitor VIII,5.096918,0.961142,0.975403
59,JQ1,LUAD.HCC827,2.832916,LUAD,3.797048,JQ1,2.025591,1.952515,0.413480
60,KRAS (G12C) Inhibitor-12,LUAD.HCC827,5.146334,LUAD,5.936296,KRAS (G12C) Inhibitor-12,4.449045,1.534301,0.454467
61,KU-55933,LUAD.HCC827,5.407267,LUAD,6.402763,KU-55933,5.041030,1.126742,0.325041
62,LCL161,LUAD.HCC827,5.049878,LUAD,4.128870,LCL161,4.766877,1.238491,0.228505
63,LGK974,LUAD.HCC827,4.729122,LUAD,4.241947,LGK974,4.238238,1.107629,0.443184
64,LY2109761,LUAD.HCC827,5.532507,LUAD,5.333651,LY2109761,5.006740,1.042965,0.504108
65,Lapatinib,LUAD.HCC827,3.207242,LUAD,1.139135,Lapatinib,3.219614,1.583425,-0.007813
66,Leflunomide,LUAD.HCC827,5.289980,LUAD,5.431557,Leflunomide,5.037278,0.913415,0.276656
67,Lenalidomide,LUAD.HCC827,5.858749,LUAD,6.196843,Lenalidomide,5.236581,1.071350,0.580733
68,Lestaurtinib,LUAD.HCC827,1.219460,LUAD,0.150939,Lestaurtinib,-0.014942,1.617099,0.763343
69,Linsitinib,LUAD.HCC827,4.279831,LUAD,5.207676,Linsitinib,3.964537,1.322202,0.238461
70,Luminespib,LUAD.HCC827,-1.323276,LUAD,-1.178819,Luminespib,-2.123910,1.817546,0.440503
71,MG-132,LUAD.HCC827,-1.351936,LUAD,-1.488899,MG-132,-1.284300,0.722510,-0.093613
72,MIRA-1,LUAD.HCC827,6.042000,LUAD,7.490160,MIRA-1,5.237632,1.234442,0.651605
73,MK-1775,LUAD.HCC827,1.006748,LUAD,0.629055,MK-1775,0.636509,1.419839,0.260761
74,MK-2206,LUAD.HCC827,3.514735,LUAD,3.571288,MK-2206,2.725214,1.487720,0.530692
75,ML323,LUAD.HCC827,5.090003,LUAD,5.843242,ML323,4.536112,1.055599,0.524717
76,MN-64,LUAD.HCC827,5.017004,LUAD,5.909207,MN-64,4.673443,1.036058,0.331604
77,Mirin,LUAD.HCC827,5.455935,LUAD,4.332144,Mirin,4.782781,1.183568,0.568750
78,Motesanib,LUAD.HCC827,6.298216,LUAD,6.600753,Motesanib,5.481288,1.133491,0.720719
79,NU7441,LUAD.HCC827,3.869419,LUAD,3.533807,NU7441,3.132711,1.343787,0.548233
80,NVP-ADW742,LUAD.HCC827,2.969955,LUAD,3.899977,NVP-ADW742,2.882258,1.472598,0.059553
81,Navitoclax,LUAD.HCC827,2.815658,LUAD,3.326192,Navitoclax,1.776309,2.029373,0.512153
82,Nilotinib,LUAD.HCC827,4.126923,LUAD,5.265869,Nilotinib,3.364192,1.706385,0.446986
83,Niraparib,LUAD.HCC827,5.142127,LUAD,5.389704,Niraparib,4.113814,1.516015,0.678300
84,Nutlin-3a (-),LUAD.HCC827,5.914994,LUAD,6.196977,Nutlin-3a (-),4.421065,1.791250,0.834015
85,OF-1,LUAD.HCC827,5.132560,LUAD,3.666942,OF-1,4.121389,1.170053,0.864210
86,OSI-027,LUAD.HCC827,2.469284,LUAD,2.338258,OSI-027,2.584887,1.493868,-0.077385
87,OTX015,LUAD.HCC827,2.157932,LUAD,6.368497,OTX015,2.300635,1.867904,-0.076397
88,Olaparib,LUAD.HCC827,4.871305,LUAD,4.128216,Olaparib,4.229661,1.301754,0.492907
89,Osimertinib,LUAD.HCC827,1.613732,LUAD,-3.593735,Osimertinib,1.653115,1.279752,-0.030774
90,Oxaliplatin,LUAD.HCC827,5.771776,LUAD,5.573582,Oxaliplatin,4.289635,1.783409,0.831072
91,P22077,LUAD.HCC827,5.179766,LUAD,3.348494,P22077,4.407320,1.512212,0.510805
92,PCI-34051,LUAD.HCC827,5.013659,LUAD,6.527695,PCI-34051,4.396021,1.286151,0.480222
93,PD173074,LUAD.HCC827,4.359511,LUAD,4.979329,PD173074,3.763295,1.405445,0.424219
94,PFI-1,LUAD.HCC827,4.368020,LUAD,4.923893,PFI-1,4.054494,1.126123,0.278412
95,PFI3,LUAD.HCC827,5.753584,LUAD,6.165112,PFI3,5.397184,0.841197,0.423682
96,PLX-4720,LUAD.HCC827,4.956226,LUAD,3.303863,PLX-4720,4.213301,1.475022,0.503670
97,PRIMA-1MET,LUAD.HCC827,5.065796,LUAD,6.004583,PRIMA-1MET,4.419290,1.802017,0.358768
98,PRT062607,LUAD.HCC827,3.777049,LUAD,4.610552,PRT062607,3.172207,1.396623,0.433075
99,Paclitaxel,LUAD.HCC827,-1.962201,LUAD,-0.057143,Paclitaxel,-2.855697,2.016710,0.443046
100,Palbociclib,LUAD.HCC827,4.042367,LUAD,6.131633,Palbociclib,3.471142,1.587659,0.359791
101,Pevonedistat,LUAD.HCC827,2.030622,LUAD,2.320720,Pevonedistat,0.871473,2.147707,0.539715
102,Picolinici-acid,LUAD.HCC827,5.634407,LUAD,5.621263,Picolinici-acid,5.268822,0.806529,0.453282
103,Pictilisib,LUAD.HCC827,1.365342,LUAD,1.080641,Pictilisib,1.220241,1.263352,0.114854
104,RO-3306,LUAD.HCC827,4.735157,LUAD,6.559052,RO-3306,3.507804,1.618155,0.758489
105,RVX-208,LUAD.HCC827,5.337145,LUAD,6.349175,RVX-208,4.738824,1.076382,0.555863
106,Refametinib,LUAD.HCC827,1.647788,LUAD,2.633088,Refametinib,2.272295,1.917609,-0.325670
107,Ribociclib,LUAD.HCC827,4.260665,LUAD,5.297790,Ribociclib,3.658547,1.223182,0.492255
108,Rucaparib,LUAD.HCC827,4.737974,LUAD,3.376308,Rucaparib,3.987035,1.062433,0.706811
109,Ruxolitinib,LUAD.HCC827,5.759459,LUAD,3.707325,Ruxolitinib,4.797735,1.162398,0.827362
110,SB216763,LUAD.HCC827,5.499390,LUAD,5.519993,SB216763,5.180650,1.038908,0.306803
111,SB590885,LUAD.HCC827,4.617467,LUAD,5.632307,SB590885,4.342276,1.355433,0.203028
112,SGC0946,LUAD.HCC827,2.599342,LUAD,2.557969,SGC0946,2.104319,0.798566,0.619890
113,SN-38,LUAD.HCC827,3.437464,LUAD,-0.430806,SN-38,-2.169489,3.597159,1.558717
114,Sabutoclax,LUAD.HCC827,0.810162,LUAD,-1.225513,Sabutoclax,-0.348779,1.269565,0.912865
115,Savolitinib,LUAD.HCC827,3.184423,LUAD,4.425659,Savolitinib,2.740489,1.190454,0.372912
116,Selumetinib,LUAD.HCC827,3.979364,LUAD,3.196617,Selumetinib,3.574889,1.855068,0.218038
117,Sepantronium bromide,LUAD.HCC827,-5.029774,LUAD,-4.616246,Sepantronium bromide,-4.169654,1.627967,-0.528340
118,Serdemetan,LUAD.HCC827,4.497422,LUAD,3.948380,Serdemetan,3.750761,1.276441,0.584955
119,Sorafenib,LUAD.HCC827,3.293330,LUAD,3.868251,Sorafenib,2.545221,1.215386,0.615532
120,Staurosporine,LUAD.HCC827,-2.532873,LUAD,-1.467606,Staurosporine,-2.794054,1.384635,0.188628
121,Talazoparib,LUAD.HCC827,4.578629,LUAD,5.426588,Talazoparib,2.767285,2.214847,0.817819
122,Tamoxifen,LUAD.HCC827,4.185057,LUAD,4.133604,Tamoxifen,3.976104,1.224334,0.170667
123,Tanespimycin,LUAD.HCC827,-0.081535,LUAD,1.484273,Tanespimycin,-0.081091,1.587668,-0.000280
124,Taselisib,LUAD.HCC827,1.983337,LUAD,1.636005,Taselisib,1.767096,1.694162,0.127639
125,Telomerase Inhibitor IX,LUAD.HCC827,1.452784,LUAD,2.288275,Telomerase Inhibitor IX,0.654709,1.233162,0.647178
126,Temozolomide,LUAD.HCC827,7.377537,LUAD,7.065678,Temozolomide,6.264369,1.303074,0.854263
127,Trametinib,LUAD.HCC827,-0.291217,LUAD,2.250742,Trametinib,0.217486,2.257873,-0.225302
128,Ulixertinib,LUAD.HCC827,2.831732,LUAD,4.952170,Ulixertinib,2.547238,1.503594,0.189209
129,Uprosertib,LUAD.HCC827,4.230968,LUAD,4.478582,Uprosertib,2.863995,1.707317,0.800656
130,VE-822,LUAD.HCC827,3.638345,LUAD,5.554657,VE-822,3.131455,1.791876,0.282882
131,Veliparib,LUAD.HCC827,5.734381,LUAD,6.252406,Veliparib,5.263978,0.912873,0.515299
132,Venetoclax,LUAD.HCC827,3.497821,LUAD,4.727563,Venetoclax,2.374326,2.075205,0.541390
133,Vismodegib,LUAD.HCC827,5.575633,LUAD,6.367726,Vismodegib,4.949888,0.982005,0.637212
134,Vorinostat,LUAD.HCC827,2.627830,LUAD,2.554634,Vorinostat,1.487515,1.090544,1.045639
135,WEHI-539,LUAD.HCC827,4.328659,LUAD,4.807175,WEHI-539,3.678485,1.717039,0.378660
136,WIKI4,LUAD.HCC827,3.745811,LUAD,4.142310,WIKI4,3.734385,0.961632,0.011882
137,WZ4003,LUAD.HCC827,3.928654,LUAD,3.106007,WZ4003,4.157618,1.375173,-0.166498
138,Wnt-C59,LUAD.HCC827,4.948004,LUAD,3.909002,Wnt-C59,4.338048,1.095405,0.556831
139,XAV939,LUAD.HCC827,4.510709,LUAD,3.172621,XAV939,4.288410,0.991368,0.224235
140,YK-4-279,LUAD.HCC827,3.726754,LUAD,4.201303,YK-4-279,2.247231,1.651518,0.895856
141,ZM447439,LUAD.HCC827,3.105904,LUAD,3.100615,ZM447439,2.576872,1.706010,0.310099
142,5-Fluorouracil,LUAD.PC14,5.870763,LUAD,4.138791,5-Fluorouracil,4.392229,1.719760,0.859733
143,ABT737,LUAD.PC14,2.635267,LUAD,2.341568,ABT737,1.875342,2.053694,0.370028
144,AGI-5198,LUAD.PC14,4.940324,LUAD,5.232588,AGI-5198,4.704103,0.907583,0.260275
145,AGI-6780,LUAD.PC14,4.966678,LUAD,5.228069,AGI-6780,4.344912,1.086023,0.572516
146,AGK2,LUAD.PC14,3.288974,LUAD,3.164392,AGK2,3.264510,0.926755,0.026397
147,AZ960,LUAD.PC14,2.711848,LUAD,0.918031,AZ960,1.895669,1.724101,0.473394
148,AZD3759,LUAD.PC14,2.689164,LUAD,-2.405717,AZD3759,2.512182,1.084536,0.163187
149,AZD4547,LUAD.PC14,3.476127,LUAD,3.271007,AZD4547,3.088286,1.600252,0.242362
150,AZD5363,LUAD.PC14,3.110197,LUAD,2.547060,AZD5363,2.847820,1.441898,0.181966
151,AZD5582,LUAD.PC14,2.843658,LUAD,1.962066,AZD5582,2.157595,2.342092,0.292927
152,AZD6738,LUAD.PC14,2.439330,LUAD,0.899934,AZD6738,2.057259,1.461663,0.261395
153,AZD7762,LUAD.PC14,0.452404,LUAD,-1.078449,AZD7762,0.164435,1.542725,0.186663
154,AZD8186,LUAD.PC14,3.082723,LUAD,3.333335,AZD8186,3.134757,1.404232,-0.037055
155,Afatinib,LUAD.PC14,1.417494,LUAD,-3.530785,Afatinib,1.594663,1.481016,-0.119627
156,Afuresertib,LUAD.PC14,2.627022,LUAD,2.237580,Afuresertib,2.402550,1.471751,0.152520
157,Alpelisib,LUAD.PC14,3.331055,LUAD,3.652979,Alpelisib,3.451086,1.407226,-0.085296
158,Avagacestat,LUAD.PC14,5.560428,LUAD,5.539423,Avagacestat,4.759122,1.072116,0.747406
159,Axitinib,LUAD.PC14,3.567181,LUAD,3.249825,Axitinib,2.903591,1.677112,0.395674
160,BMS-345541,LUAD.PC14,4.405455,LUAD,2.735978,BMS-345541,3.277956,1.320431,0.853887
161,BMS-536924,LUAD.PC14,2.353715,LUAD,1.121395,BMS-536924,2.108959,1.381132,0.177214
162,BMS-754807,LUAD.PC14,2.074306,LUAD,3.205969,BMS-754807,2.163231,1.997750,-0.044513
163,Bortezomib,LUAD.PC14,-4.995444,LUAD,-4.628624,Bortezomib,-4.739097,1.068388,-0.239938
164,Bosutinib,LUAD.PC14,3.049813,LUAD,-0.704709,Bosutinib,2.618644,1.532012,0.281440
165,Buparlisib,LUAD.PC14,1.555242,LUAD,0.876990,Buparlisib,1.132283,0.942456,0.448784
166,CCT007093,LUAD.PC14,5.527898,LUAD,5.420619,CCT007093,5.191327,0.862412,0.390267
167,CZC24832,LUAD.PC14,5.482068,LUAD,5.927456,CZC24832,5.137594,0.949818,0.362674
168,Camptothecin,LUAD.PC14,-0.938768,LUAD,-2.260841,Camptothecin,-2.257481,1.838996,0.717083
169,Cediranib,LUAD.PC14,2.492771,LUAD,0.280926,Cediranib,2.271131,1.192376,0.185881
170,Crizotinib,LUAD.PC14,3.678370,LUAD,1.965356,Crizotinib,2.560661,1.510603,0.739909
171,Cyclophosphamide,LUAD.PC14,5.604364,LUAD,6.285854,Cyclophosphamide,5.259220,0.888712,0.388364
172,Dactinomycin,LUAD.PC14,-3.281835,LUAD,-3.292126,Dactinomycin,-3.772788,1.882940,0.260737
173,Dactolisib,LUAD.PC14,-1.493840,LUAD,-2.311859,Dactolisib,-1.510724,1.429786,0.011809
174,Dasatinib,LUAD.PC14,0.738413,LUAD,-1.950497,Dasatinib,1.287237,2.324073,-0.236147
175,Dinaciclib,LUAD.PC14,-2.443263,LUAD,-3.640036,Dinaciclib,-2.654463,1.473357,0.143346
176,Docetaxel,LUAD.PC14,-4.400187,LUAD,-5.037010,Docetaxel,-3.417161,2.548602,-0.385712
177,Doramapimod,LUAD.PC14,5.717210,LUAD,4.747444,Doramapimod,4.939070,1.188278,0.654847
178,EHT-1864,LUAD.PC14,3.845522,LUAD,3.722729,EHT-1864,3.678237,0.983429,0.170104
179,EPZ004777,LUAD.PC14,5.806535,LUAD,5.557169,EPZ004777,5.153416,0.977035,0.668470
180,EPZ5676,LUAD.PC14,6.033854,LUAD,6.716941,EPZ5676,5.542946,1.028703,0.477211
181,Entinostat,LUAD.PC14,2.993201,LUAD,1.382918,Entinostat,2.030317,1.637052,0.588182
182,Entospletinib,LUAD.PC14,4.049235,LUAD,2.503902,Entospletinib,3.672838,1.222475,0.307898
183,Epirubicin,LUAD.PC14,0.222619,LUAD,-0.498431,Epirubicin,-0.852455,1.690941,0.635784
184,Erlotinib,LUAD.PC14,2.967352,LUAD,-2.165833,Erlotinib,2.979885,1.448855,-0.008650
185,Fulvestrant,LUAD.PC14,3.901155,LUAD,4.693725,Fulvestrant,3.730929,1.263247,0.134753
186,GDC0810,LUAD.PC14,5.478191,LUAD,5.259641,GDC0810,5.087362,0.945530,0.413344
187,GSK1904529A,LUAD.PC14,4.417759,LUAD,4.594172,GSK1904529A,4.348623,1.104047,0.062621
188,GSK2578215A,LUAD.PC14,5.522239,LUAD,5.412372,GSK2578215A,4.933854,0.966128,0.609014
189,GSK2606414,LUAD.PC14,4.276649,LUAD,3.455609,GSK2606414,3.785602,1.215971,0.403831
190,GSK343,LUAD.PC14,3.835005,LUAD,3.482147,GSK343,3.602119,1.367117,0.170348
191,GW441756,LUAD.PC14,3.314250,LUAD,4.247110,GW441756,3.441226,0.928540,-0.136748
192,Gefitinib,LUAD.PC14,3.490118,LUAD,-1.397133,Gefitinib,3.147493,1.212598,0.282554
193,Gemcitabine,LUAD.PC14,2.719152,LUAD,-1.300914,Gemcitabine,-0.766782,3.010521,1.157917
194,I-BET-762,LUAD.PC14,4.769421,LUAD,4.243052,I-BET-762,3.178213,1.581827,1.005930
195,I-BRD9,LUAD.PC14,5.294026,LUAD,5.212693,I-BRD9,4.358221,1.274025,0.734526
196,IWP-2,LUAD.PC14,3.220931,LUAD,3.701118,IWP-2,2.870543,0.896950,0.390644
197,Ibrutinib,LUAD.PC14,4.672109,LUAD,-0.027766,Ibrutinib,4.055961,1.812726,0.339901
198,Ipatasertib,LUAD.PC14,3.682705,LUAD,2.986795,Ipatasertib,3.403906,1.455375,0.191565
199,Irinotecan,LUAD.PC14,3.930272,LUAD,2.992119,Irinotecan,2.490490,1.934295,0.744345
200,JNK Inhibitor VIII,LUAD.PC14,5.633539,LUAD,5.603030,JNK Inhibitor VIII,5.096918,0.961142,0.558316
201,JQ1,LUAD.PC14,3.353451,LUAD,3.260705,JQ1,2.025591,1.952515,0.680077
202,KRAS (G12C) Inhibitor-12,LUAD.PC14,5.206184,LUAD,3.515464,KRAS (G12C) Inhibitor-12,4.449045,1.534301,0.493475
203,KU-55933,LUAD.PC14,5.249690,LUAD,6.780180,KU-55933,5.041030,1.126742,0.185189
204,LCL161,LUAD.PC14,5.378283,LUAD,4.973770,LCL161,4.766877,1.238491,0.493670
205,LGK974,LUAD.PC14,4.400013,LUAD,4.078761,LGK974,4.238238,1.107629,0.146055
206,LY2109761,LUAD.PC14,5.761133,LUAD,4.690283,LY2109761,5.006740,1.042965,0.723316
207,Lapatinib,LUAD.PC14,2.493288,LUAD,0.498939,Lapatinib,3.219614,1.583425,-0.458706
208,Leflunomide,LUAD.PC14,5.282102,LUAD,5.554370,Leflunomide,5.037278,0.913415,0.268032
209,Lenalidomide,LUAD.PC14,5.625075,LUAD,6.977512,Lenalidomide,5.236581,1.071350,0.362621
210,Lestaurtinib,LUAD.PC14,1.303786,LUAD,-1.406138,Lestaurtinib,-0.014942,1.617099,0.815490
211,Linsitinib,LUAD.PC14,4.209083,LUAD,4.590801,Linsitinib,3.964537,1.322202,0.184954
212,Luminespib,LUAD.PC14,-1.097180,LUAD,-3.585377,Luminespib,-2.123910,1.817546,0.564899
213,MG-132,LUAD.PC14,-1.388982,LUAD,-1.146146,MG-132,-1.284300,0.722510,-0.144887
214,MIRA-1,LUAD.PC14,6.033752,LUAD,6.455351,MIRA-1,5.237632,1.234442,0.644923
215,MK-1775,LUAD.PC14,0.563972,LUAD,-1.029369,MK-1775,0.636509,1.419839,-0.051088
216,MK-2206,LUAD.PC14,3.337335,LUAD,2.558908,MK-2206,2.725214,1.487720,0.411449
217,ML323,LUAD.PC14,4.847605,LUAD,4.244610,ML323,4.536112,1.055599,0.295086
218,MN-64,LUAD.PC14,4.926050,LUAD,6.129964,MN-64,4.673443,1.036058,0.243816
219,Mirin,LUAD.PC14,5.651090,LUAD,4.978771,Mirin,4.782781,1.183568,0.733637
220,Motesanib,LUAD.PC14,6.154028,LUAD,7.156553,Motesanib,5.481288,1.133491,0.593512
221,NU7441,LUAD.PC14,3.773527,LUAD,3.187732,NU7441,3.132711,1.343787,0.476873
222,NVP-ADW742,LUAD.PC14,3.075143,LUAD,2.746289,NVP-ADW742,2.882258,1.472598,0.130983
223,Navitoclax,LUAD.PC14,2.617806,LUAD,4.962459,Navitoclax,1.776309,2.029373,0.414659
224,Nilotinib,LUAD.PC14,4.582771,LUAD,3.915461,Nilotinib,3.364192,1.706385,0.714129
225,Niraparib,LUAD.PC14,5.072393,LUAD,4.427267,Niraparib,4.113814,1.516015,0.632302
226,Nutlin-3a (-),LUAD.PC14,6.243490,LUAD,5.514282,Nutlin-3a (-),4.421065,1.791250,1.017404
227,OF-1,LUAD.PC14,4.678375,LUAD,3.795572,OF-1,4.121389,1.170053,0.476035
228,OSI-027,LUAD.PC14,2.966609,LUAD,3.290964,OSI-027,2.584887,1.493868,0.255526
229,OTX015,LUAD.PC14,3.784065,LUAD,3.147328,OTX015,2.300635,1.867904,0.794168
230,Olaparib,LUAD.PC14,4.988499,LUAD,4.303406,Olaparib,4.229661,1.301754,0.582935
231,Osimertinib,LUAD.PC14,1.406334,LUAD,-3.304462,Osimertinib,1.653115,1.279752,-0.192835
232,Oxaliplatin,LUAD.PC14,5.827568,LUAD,5.500469,Oxaliplatin,4.289635,1.783409,0.862356
233,P22077,LUAD.PC14,4.910491,LUAD,6.254025,P22077,4.407320,1.512212,0.332738
234,PCI-34051,LUAD.PC14,5.132931,LUAD,5.159949,PCI-34051,4.396021,1.286151,0.572958
235,PD173074,LUAD.PC14,4.574629,LUAD,3.861776,PD173074,3.763295,1.405445,0.577279
236,PFI-1,LUAD.PC14,4.633108,LUAD,5.549546,PFI-1,4.054494,1.126123,0.513811
237,PFI3,LUAD.PC14,5.575818,LUAD,6.910740,PFI3,5.397184,0.841197,0.212357
238,PLX-4720,LUAD.PC14,4.809005,LUAD,4.082857,PLX-4720,4.213301,1.475022,0.403861
239,PRIMA-1MET,LUAD.PC14,6.092162,LUAD,6.120827,PRIMA-1MET,4.419290,1.802017,0.928333
240,PRT062607,LUAD.PC14,4.041547,LUAD,2.003212,PRT062607,3.172207,1.396623,0.622459
241,Paclitaxel,LUAD.PC14,-3.582581,LUAD,-4.324666,Paclitaxel,-2.855697,2.016710,-0.360431
242,Palbociclib,LUAD.PC14,4.559023,LUAD,3.797205,Palbociclib,3.471142,1.587659,0.685211
243,Pevonedistat,LUAD.PC14,1.374823,LUAD,1.391274,Pevonedistat,0.871473,2.147707,0.234366
244,Picolinici-acid,LUAD.PC14,5.462047,LUAD,6.493716,Picolinici-acid,5.268822,0.806529,0.239576
245,Pictilisib,LUAD.PC14,0.907731,LUAD,1.123065,Pictilisib,1.220241,1.263352,-0.247366
246,RO-3306,LUAD.PC14,4.567010,LUAD,3.365589,RO-3306,3.507804,1.618155,0.654576
247,RVX-208,LUAD.PC14,5.524518,LUAD,6.546117,RVX-208,4.738824,1.076382,0.729940
248,Refametinib,LUAD.PC14,2.779993,LUAD,1.632968,Refametinib,2.272295,1.917609,0.264756
