,drug,cell_line,IC50,OncotreeCode,prediction
78,GSK2578215A,OPM2,4.601786,PCM,4.088787
79,GSK2606414,OPM2,4.599823,PCM,3.306319
80,GSK2801,OPM2,3.583448,PCM,4.044184
81,GSK2830371,OPM2,4.546542,PCM,4.310343
82,GSK343,OPM2,2.963512,PCM,2.848737
83,GSK591,OPM2,4.435578,PCM,3.586999
84,GW441756,OPM2,2.991534,PCM,2.371712
85,Gallibiscoquinazole,OPM2,2.087107,PCM,2.041761
86,Gefitinib,OPM2,2.807801,PCM,2.879713
87,Gemcitabine,OPM2,-1.162171,PCM,-1.597773
88,I-BET-762,OPM2,-0.038568,PCM,1.838176
89,I-BRD9,OPM2,2.07693,PCM,3.012829
90,ICL-SIRT078,OPM2,3.999134,PCM,3.239378
91,IWP-2,OPM2,2.090962,PCM,2.326411
92,Ibrutinib,OPM2,3.098331,PCM,4.149957
93,Ipatasertib,OPM2,1.469871,PCM,1.376062
94,Irinotecan,OPM2,1.929213,PCM,1.64432
95,JNK Inhibitor VIII,OPM2,3.329371,PCM,4.28053
96,JQ1,OPM2,-2.393186,PCM,-0.439005
97,KRAS (G12C) Inhibitor-12,OPM2,3.361321,PCM,3.348105
98,KU-55933,OPM2,3.36957,PCM,3.93556
99,L-Oxonoreleagnine,OPM2,3.273004,PCM,3.196041
100,LCL161,OPM2,4.342094,PCM,4.033932
101,LGK974,OPM2,3.134648,PCM,2.94215
102,LJI308,OPM2,4.342645,PCM,4.19289
103,LMP744,OPM2,-2.414768,PCM,-0.905865
104,LY2109761,OPM2,4.601164,PCM,4.324164
105,Lapatinib,OPM2,2.440101,PCM,2.754866
106,Leflunomide,OPM2,4.636829,PCM,3.965712
107,Lenalidomide,OPM2,3.055947,PCM,4.205783
108,Lestaurtinib,OPM2,-1.777917,PCM,-1.530022
109,Linsitinib,OPM2,1.384684,PCM,2.446121
110,Luminespib,OPM2,-3.424315,PCM,-3.622115
111,MG-132,OPM2,-2.654886,PCM,-2.317608
112,MIM1,OPM2,3.426423,PCM,3.201211
113,MIRA-1,OPM2,3.80327,PCM,3.494924
114,MK-1775,OPM2,-0.35971,PCM,-0.52487
115,MK-2206,OPM2,1.058436,PCM,0.496852
116,MK-8776,OPM2,1.184768,PCM,1.624694
117,ML323,OPM2,4.231613,PCM,3.438665
118,MN-64,OPM2,4.580965,PCM,3.777143
119,Mirin,OPM2,4.382149,PCM,3.893838
120,Mitoxantrone,OPM2,-0.126108,PCM,-0.39764
121,Motesanib,OPM2,4.601831,PCM,4.478621
122,Mycophenolic acid,OPM2,1.806168,PCM,0.515558
123,N-acetyl cysteine,OPM2,9.881997,PCM,9.984392
124,NU7441,OPM2,1.709382,PCM,1.840539
125,NVP-ADW742,OPM2,0.977479,PCM,1.503641
126,Navitoclax,OPM2,1.650328,PCM,-0.734498
127,Nelarabine,OPM2,4.974995,PCM,4.464948
128,Nilotinib,OPM2,2.757373,PCM,2.394905
129,Niraparib,OPM2,3.385088,PCM,3.181623
130,Nutlin-3a (-),OPM2,3.801022,PCM,2.87445
131,OF-1,OPM2,3.718573,PCM,2.866882
132,OSI-027,OPM2,0.996375,PCM,1.530441
133,OTX015,OPM2,-1.358451,PCM,0.039783
134,Obatoclax Mesylate,OPM2,0.932046,PCM,0.662595
135,Olaparib,OPM2,3.99044,PCM,3.459636
136,Osimertinib,OPM2,1.159999,PCM,1.316951
137,Oxaliplatin,OPM2,3.705004,PCM,2.526041
138,P22077,OPM2,4.315297,PCM,2.768391
139,PCI-34051,OPM2,3.788532,PCM,3.593563
140,PD0325901,OPM2,1.179499,PCM,2.425901
141,PD173074,OPM2,-0.60233,PCM,2.427284
142,PFI-1,OPM2,1.493273,PCM,3.079017
143,PFI3,OPM2,4.600668,PCM,4.649216
144,PLX-4720,OPM2,4.555765,PCM,3.636971
145,POMHEX,OPM2,0.400344,PCM,0.328835
146,PRIMA-1MET,OPM2,2.151597,PCM,2.106645
147,PRT062607,OPM2,1.685211,PCM,2.493147
148,Paclitaxel,OPM2,-4.238882,PCM,-4.333546
149,Palbociclib,OPM2,1.760344,PCM,2.638
150,Pevonedistat,OPM2,-0.353291,PCM,0.027146
151,Picolinici-acid,OPM2,4.327724,PCM,4.391105
152,Pictilisib,OPM2,1.065235,PCM,-0.338223
153,Podophyllotoxin bromide,OPM2,-1.486711,PCM,-1.815299
154,Pyridostatin,OPM2,1.962379,PCM,2.172261
155,RO-3306,OPM2,2.663869,PCM,2.085555
156,RVX-208,OPM2,2.713638,PCM,3.798567
157,Rapamycin,OPM2,-4.947115,PCM,-4.312169
158,Refametinib,OPM2,1.848437,PCM,3.503905
159,Ribociclib,OPM2,3.133063,PCM,3.073772
160,Romidepsin,OPM2,-5.90299,PCM,-6.554382
161,Rucaparib,OPM2,3.300771,PCM,3.431085
162,Ruxolitinib,OPM2,3.032794,PCM,4.196382
163,SB216763,OPM2,4.599763,PCM,4.451869
164,SB590885,OPM2,3.789204,PCM,3.883561
165,SCH772984,OPM2,1.978942,PCM,3.363325
166,SGC-CBP30,OPM2,2.758361,PCM,3.807358
167,SGC0946,OPM2,1.595666,PCM,1.334478
168,SN-38,OPM2,2.453838,PCM,-2.067954
169,Sabutoclax,OPM2,-0.830508,PCM,-0.789958
170,Sapitinib,OPM2,4.545822,PCM,4.628385
171,Savolitinib,OPM2,1.731903,PCM,1.843123
172,Schweinfurthin A,OPM2,-0.648658,PCM,-2.318318
173,Selumetinib,OPM2,3.518138,PCM,4.211113
174,Sepantronium bromide,OPM2,-3.475013,PCM,-4.156116
175,Serdemetan,OPM2,3.016015,PCM,2.698073
176,Sinularin,OPM2,2.90568,PCM,2.708133
177,Sorafenib,OPM2,2.507915,PCM,2.038017
178,Staurosporine,OPM2,-4.715125,PCM,-4.741485
179,TW 37,OPM2,1.300051,PCM,0.887022
180,Talazoparib,OPM2,2.951993,PCM,2.546171
181,Tamoxifen,OPM2,3.369951,PCM,3.194753
182,Tanespimycin,OPM2,-0.422144,PCM,-0.242849
183,Taselisib,OPM2,0.315791,PCM,-0.364425
184,Telomerase Inhibitor IX,OPM2,0.537292,PCM,0.400866
185,Temozolomide,OPM2,5.030193,PCM,4.990914
186,Temsirolimus,OPM2,-2.84577,PCM,-0.772034
187,Teniposide,OPM2,-0.347068,PCM,-0.043658
188,Topotecan,OPM2,0.461759,PCM,0.159899
189,Trametinib,OPM2,-0.463874,PCM,0.860157
190,UMI-77,OPM2,3.435521,PCM,2.425803
191,UNC0379,OPM2,2.013255,PCM,2.135839
192,UNC0638,OPM2,1.899636,PCM,2.828087
193,Ulixertinib,OPM2,1.423177,PCM,2.666148
194,Uprosertib,OPM2,0.526618,PCM,0.361223
195,VE-822,OPM2,0.985515,PCM,1.923769
196,VE821,OPM2,1.566762,PCM,2.718231
197,VX-11e,OPM2,1.746456,PCM,2.551125
198,Veliparib,OPM2,4.47892,PCM,4.077125
199,Venetoclax,OPM2,0.421978,PCM,0.483755
200,Vinblastine,OPM2,-5.777279,PCM,-5.722325
201,Vincristine,OPM2,-4.299529,PCM,-4.876873
202,Vinorelbine,OPM2,-5.123606,PCM,-4.946614
203,Vismodegib,OPM2,4.129259,PCM,3.797132
204,Vorinostat,OPM2,0.487461,PCM,0.285191
205,WEHI-539,OPM2,3.950257,PCM,2.734669
206,WIKI4,OPM2,3.762552,PCM,3.465695
207,WZ4003,OPM2,3.386336,PCM,3.378782
208,Wee1 Inhibitor,OPM2,0.790823,PCM,1.051733
209,Wnt-C59,OPM2,3.713501,PCM,3.097309
210,XAV939,OPM2,3.496732,PCM,3.527784
211,YK-4-279,OPM2,1.225383,PCM,0.824472
212,ZM447439,OPM2,1.580273,PCM,1.186715
213,Zoledronate,OPM2,2.538618,PCM,3.071753
214,alpha-lipoic acid,OPM2,7.095037,PCM,6.526401
215,glutathione,OPM2,8.751398,PCM,8.613392
216,5-Fluorouracil,ACHN,3.137239,PRCC,4.353724
217,5-azacytidine,ACHN,2.651527,PRCC,3.04236
218,A-366,ACHN,4.941848,PRCC,5.188195
219,ABT737,ACHN,3.731654,PRCC,2.616765
220,AGI-5198,ACHN,4.564203,PRCC,5.020038
221,AGI-6780,ACHN,4.353513,PRCC,4.797884
222,AGK2,ACHN,2.984555,PRCC,3.760719
223,AMG-319,ACHN,4.136138,PRCC,5.214021
224,AT13148,ACHN,4.606597,PRCC,3.483111
225,AZ6102,ACHN,1.936535,PRCC,2.809623
226,AZ960,ACHN,2.177005,PRCC,2.546396
227,AZD1208,ACHN,6.034962,PRCC,6.075229
228,AZD1332,ACHN,2.465991,PRCC,3.80299
229,AZD2014,ACHN,1.438525,PRCC,2.511289
230,AZD3759,ACHN,0.787864,PRCC,3.392384
231,AZD4547,ACHN,4.231295,PRCC,3.34446
232,AZD5153,ACHN,1.393565,PRCC,2.255929
233,AZD5363,ACHN,3.040252,PRCC,2.784036
234,AZD5438,ACHN,2.001125,PRCC,2.982647
235,AZD5582,ACHN,5.961097,PRCC,5.075252
236,AZD5991,ACHN,6.146774,PRCC,5.73225
237,AZD6738,ACHN,0.148878,PRCC,2.721661
238,AZD7762,ACHN,-2.386098,PRCC,0.713979
239,AZD8055,ACHN,-0.665403,PRCC,0.557135
240,AZD8186,ACHN,2.015001,PRCC,3.363237
241,Acetalax,ACHN,6.988935,PRCC,5.643085
242,Afatinib,ACHN,-0.087809,PRCC,2.443
243,Afuresertib,ACHN,2.818872,PRCC,2.544477
244,Alisertib,ACHN,1.758649,PRCC,2.817747
245,Alpelisib,ACHN,5.095484,PRCC,4.247226
246,Avagacestat,ACHN,6.440431,PRCC,5.339331
247,Axitinib,ACHN,2.817977,PRCC,4.475337
248,BI-2536,ACHN,0.637328,PRCC,1.474068
249,BIBR-1532,ACHN,4.181844,PRCC,5.275979
250,BMS-345541,ACHN,2.736679,PRCC,4.289672
251,BMS-536924,ACHN,2.065988,PRCC,2.775782
252,BMS-754807,ACHN,3.381142,PRCC,3.400207
253,Bleomycin,ACHN,0.50806,PRCC,2.784007
254,Bleomycin (50 uM),ACHN,-1.368801,PRCC,3.135568
255,Bortezomib,ACHN,-5.123045,PRCC,-4.746724
256,Bosutinib,ACHN,1.138802,PRCC,3.29109
257,Bromosporine,ACHN,4.009544,PRCC,2.867404
258,Buparlisib,ACHN,1.055649,PRCC,1.647507
259,CCT007093,ACHN,5.267594,PRCC,5.474774
260,CPI-637,ACHN,4.196958,PRCC,4.828655
261,CZC24832,ACHN,5.787535,PRCC,5.872901
262,Camptothecin,ACHN,-3.733803,PRCC,-1.990689
263,Carmustine,ACHN,6.793602,PRCC,6.359183
264,Cediranib,ACHN,0.89372,PRCC,2.868959
265,Cisplatin,ACHN,2.173181,PRCC,3.14286
266,Crizotinib,ACHN,2.579405,PRCC,3.406546
267,Cyclophosphamide,ACHN,5.346404,PRCC,5.586984
268,Cytarabine,ACHN,-1.321181,PRCC,1.531912
269,Dabrafenib,ACHN,2.946234,PRCC,5.136771
270,Dacarbazine,ACHN,6.603606,PRCC,6.26039
271,Dactinomycin,ACHN,-4.567274,PRCC,-2.909521
272,Dactolisib,ACHN,-2.579651,PRCC,-1.136503
273,Daporinad,ACHN,-4.133047,PRCC,-4.040243
274,Dasatinib,ACHN,-1.743811,PRCC,0.068977
275,Dihydrorotenone,ACHN,1.491268,PRCC,1.333639
276,Dinaciclib,ACHN,-2.715142,PRCC,-1.863707
277,Docetaxel,ACHN,-1.989169,PRCC,-0.988158
278,Doramapimod,ACHN,4.87215,PRCC,5.459399
279,EHT-1864,ACHN,3.865703,PRCC,3.811581
280,EPZ004777,ACHN,5.644249,PRCC,5.100402
281,EPZ5676,ACHN,6.413656,PRCC,5.898997
282,Elephantin,ACHN,2.853188,PRCC,4.212308
283,Entinostat,ACHN,3.222685,PRCC,2.788223
284,Entospletinib,ACHN,2.506185,PRCC,4.073738
285,Epirubicin,ACHN,-2.549555,PRCC,-0.462436
286,Erlotinib,ACHN,0.122962,PRCC,3.7012
287,Fludarabine,ACHN,5.440869,PRCC,4.584958
288,Foretinib,ACHN,0.389592,PRCC,1.542642
289,Fulvestrant,ACHN,4.202956,PRCC,4.268139
290,GDC0810,ACHN,5.469231,PRCC,5.41745
291,GNE-317,ACHN,-0.364054,PRCC,1.315153
292,GSK-LSD1,ACHN,2.930821,PRCC,2.718995
293,GSK1904529A,ACHN,4.553465,PRCC,4.938677
294,GSK2110183B,ACHN,4.598876,PRCC,3.21338
295,GSK2578215A,ACHN,5.270802,PRCC,5.166359
296,GSK2606414,ACHN,2.632073,PRCC,4.262944
297,GSK2801,ACHN,5.821865,PRCC,5.375576
298,GSK2830371,ACHN,6.267689,PRCC,6.020278
299,GSK343,ACHN,4.031469,PRCC,4.044476
300,GSK591,ACHN,5.292,PRCC,4.939156
301,GW441756,ACHN,4.179255,PRCC,3.491078
302,Gallibiscoquinazole,ACHN,2.20392,PRCC,3.110869
303,Gefitinib,ACHN,0.738433,PRCC,3.592244
304,Gemcitabine,ACHN,-4.400708,PRCC,-1.564633
305,I-BET-762,ACHN,3.868983,PRCC,4.169817
306,I-BRD9,ACHN,3.729264,PRCC,4.998916
307,ICL-SIRT078,ACHN,5.113383,PRCC,5.078378
308,IWP-2,ACHN,3.710378,PRCC,3.367369
309,Ibrutinib,ACHN,2.477575,PRCC,4.952978
310,Ipatasertib,ACHN,3.637423,PRCC,3.623073
311,Irinotecan,ACHN,1.841953,PRCC,3.015147
312,JNK Inhibitor VIII,ACHN,5.545224,PRCC,5.792587
313,JQ1,ACHN,3.3159,PRCC,3.34065
314,KRAS (G12C) Inhibitor-12,ACHN,4.642945,PRCC,5.30757
315,KU-55933,ACHN,5.407937,PRCC,5.565799
316,L-Oxonoreleagnine,ACHN,4.120006,PRCC,4.006266
317,LCL161,ACHN,6.148308,PRCC,5.369199
318,LGK974,ACHN,4.498434,PRCC,4.776114
319,LJI308,ACHN,3.89839,PRCC,5.535377
320,LMP744,ACHN,-2.406243,PRCC,1.240025
321,LY2109761,ACHN,5.402934,PRCC,5.495677
322,Lapatinib,ACHN,2.020273,PRCC,4.21425
323,Leflunomide,ACHN,4.903928,PRCC,5.339373
324,Lenalidomide,ACHN,5.743595,PRCC,5.557127
325,Lestaurtinib,ACHN,-1.643785,PRCC,0.653144
326,Linsitinib,ACHN,3.761904,PRCC,4.412274
327,Luminespib,ACHN,-2.152135,PRCC,-1.470373
328,MG-132,ACHN,-1.360388,PRCC,-1.092441
329,MIM1,ACHN,4.469925,PRCC,4.312468
330,MIRA-1,ACHN,4.446781,PRCC,5.472274
331,MK-1775,ACHN,-1.98645,PRCC,1.584171
332,MK-2206,ACHN,2.752459,PRCC,3.506216
333,MK-8776,ACHN,0.521469,PRCC,3.977241
334,ML323,ACHN,4.922186,PRCC,5.145855
335,MN-64,ACHN,4.793599,PRCC,4.956868
336,Methotrexate,ACHN,-2.543643,PRCC,0.346833
337,Mirin,ACHN,5.629971,PRCC,5.417542
338,Mitoxantrone,ACHN,-1.067999,PRCC,1.129305
339,Motesanib,ACHN,6.100721,PRCC,6.427038
340,Mycophenolic acid,ACHN,0.703245,PRCC,1.679954
341,N-acetyl cysteine,ACHN,11.462716,PRCC,10.497118
342,NU7441,ACHN,3.533912,PRCC,3.349813
343,NVP-ADW742,ACHN,3.903819,PRCC,3.112551
344,Navitoclax,ACHN,3.749973,PRCC,2.639266
345,Nelarabine,ACHN,6.519076,PRCC,6.13848
346,Nilotinib,ACHN,4.272091,PRCC,4.25893
347,Niraparib,ACHN,5.597306,PRCC,4.5943
348,Nutlin-3a (-),ACHN,1.698458,PRCC,4.348134
349,OF-1,ACHN,4.212001,PRCC,4.622516
350,OSI-027,ACHN,1.758053,PRCC,2.956816
351,OTX015,ACHN,2.06173,PRCC,3.515728
352,Obatoclax Mesylate,ACHN,0.554357,PRCC,0.76853
353,Olaparib,ACHN,4.333047,PRCC,4.579423
354,Osimertinib,ACHN,0.182227,PRCC,2.24604
355,Oxaliplatin,ACHN,3.543992,PRCC,4.252728
356,P22077,ACHN,5.20943,PRCC,5.217845
357,PCI-34051,ACHN,4.867188,PRCC,4.702489
358,PD0325901,ACHN,0.994646,PRCC,2.502063
359,PD173074,ACHN,2.759714,PRCC,3.981245
360,PFI-1,ACHN,4.767081,PRCC,4.611327
361,PFI3,ACHN,6.035143,PRCC,5.559643
362,PLX-4720,ACHN,2.446665,PRCC,4.767167
363,POMHEX,ACHN,1.01141,PRCC,1.521172
364,PRIMA-1MET,ACHN,3.723946,PRCC,4.215769
365,PRT062607,ACHN,2.585657,PRCC,3.986372
366,Paclitaxel,ACHN,-0.263759,PRCC,-0.677206
367,Palbociclib,ACHN,0.850143,PRCC,4.11583
368,Pevonedistat,ACHN,-0.075604,PRCC,0.719375
369,Picolinici-acid,ACHN,5.989337,PRCC,5.399277
370,Pictilisib,ACHN,0.64737,PRCC,1.427148
371,Podophyllotoxin bromide,ACHN,-0.702862,PRCC,0.746186
372,Pyridostatin,ACHN,5.040655,PRCC,3.953276
373,RO-3306,ACHN,4.366984,PRCC,4.915034
374,RVX-208,ACHN,5.335902,PRCC,5.215717
375,Rapamycin,ACHN,-3.016686,PRCC,-0.360436
376,Refametinib,ACHN,2.01324,PRCC,3.11049
377,Ribociclib,ACHN,3.624753,PRCC,4.354771
378,Romidepsin,ACHN,-4.299404,PRCC,-4.875051
379,Rucaparib,ACHN,4.593113,PRCC,4.429811
380,Ruxolitinib,ACHN,5.44509,PRCC,5.130887
381,SB216763,ACHN,5.998274,PRCC,5.569916
382,SB590885,ACHN,5.3637,PRCC,4.918433
383,SCH772984,ACHN,2.72762,PRCC,3.647924
384,SGC-CBP30,ACHN,4.341927,PRCC,4.621503
385,SGC0946,ACHN,2.886905,PRCC,2.197091
386,SN-38,ACHN,-2.199607,PRCC,-3.16558
387,Sabutoclax,ACHN,-0.525364,PRCC,-0.213534
388,Sapitinib,ACHN,1.666861,PRCC,4.980585
389,Savolitinib,ACHN,3.770336,PRCC,2.836563
390,Schweinfurthin A,ACHN,1.253424,PRCC,2.262069
391,Selumetinib,ACHN,3.789278,PRCC,4.773424
392,Sepantronium bromide,ACHN,-4.101284,PRCC,-4.026115
393,Serdemetan,ACHN,2.799217,PRCC,4.49029
394,Sinularin,ACHN,3.568794,PRCC,3.850767
395,Sorafenib,ACHN,2.700304,PRCC,3.106449
396,Staurosporine,ACHN,-1.020452,PRCC,-2.427973
397,TW 37,ACHN,0.73388,PRCC,1.805791
398,Talazoparib,ACHN,2.253804,PRCC,2.979971
399,Tamoxifen,ACHN,3.605091,PRCC,4.611058
400,Tanespimycin,ACHN,-0.214319,PRCC,0.662678
401,Taselisib,ACHN,1.812633,PRCC,2.589965
402,Telomerase Inhibitor IX,ACHN,-0.018769,PRCC,0.76199
403,Temozolomide,ACHN,6.978198,PRCC,7.061882
404,Temsirolimus,ACHN,1.443365,PRCC,2.006793
405,Teniposide,ACHN,-1.171244,PRCC,1.422616
406,Topotecan,ACHN,-1.018222,PRCC,0.81464
407,Trametinib,ACHN,-0.129123,PRCC,1.463762
408,UMI-77,ACHN,4.86308,PRCC,4.197535
409,UNC0379,ACHN,2.220691,PRCC,4.440676
410,UNC0638,ACHN,5.471017,PRCC,5.05649
411,Ulixertinib,ACHN,1.462925,PRCC,3.804009
412,Uprosertib,ACHN,3.569891,PRCC,3.48129
413,VE-822,ACHN,1.770356,PRCC,4.318763
414,VE821,ACHN,3.377714,PRCC,5.33313
415,VX-11e,ACHN,2.623362,PRCC,3.597569
416,Veliparib,ACHN,5.170627,PRCC,5.518609
417,Venetoclax,ACHN,2.748662,PRCC,3.085887
418,Vinblastine,ACHN,-3.021559,PRCC,-1.061962
419,Vincristine,ACHN,-0.587231,PRCC,1.46157
420,Vinorelbine,ACHN,-1.745668,PRCC,-0.441149
421,Vismodegib,ACHN,4.024151,PRCC,5.467737
422,Vorinostat,ACHN,1.630446,PRCC,1.906695
423,WEHI-539,ACHN,5.184013,PRCC,4.070445
424,WIKI4,ACHN,4.520483,PRCC,3.72202
425,WZ4003,ACHN,2.899449,PRCC,4.631083
426,Wee1 Inhibitor,ACHN,-0.428905,PRCC,2.817112
427,Wnt-C59,ACHN,3.864303,PRCC,4.880327
428,XAV939,ACHN,5.057577,PRCC,4.672048
429,YK-4-279,ACHN,2.645586,PRCC,2.99913
430,ZM447439,ACHN,3.347086,PRCC,3.592569
431,Zoledronate,ACHN,4.467281,PRCC,3.867479
432,alpha-lipoic acid,ACHN,7.961647,PRCC,8.164249
433,glutathione,ACHN,9.435667,PRCC,9.509054
434,5-Fluorouracil,HS683,3.704849,ODG,4.882266
435,ABT737,HS683,1.985374,ODG,3.02148
436,AGI-5198,HS683,4.38041,ODG,4.834745
437,AGI-6780,HS683,5.407876,ODG,5.029839
438,AMG-319,HS683,4.649411,ODG,4.918036
439,AT13148,HS683,3.20852,ODG,2.293967
440,AZ6102,HS683,2.236887,ODG,2.699455
441,AZ960,HS683,-0.019058,ODG,1.142834
442,AZD3759,HS683,1.449613,ODG,3.252953
443,AZD4547,HS683,5.060307,ODG,2.823789
444,AZD5363,HS683,3.003516,ODG,1.444418
445,AZD5582,HS683,5.072075,ODG,4.36241
446,AZD6482,HS683,3.071549,ODG,3.728893
447,AZD6738,HS683,1.581039,ODG,2.022718
448,AZD7762,HS683,0.038768,ODG,-0.124568
449,AZD8186,HS683,1.81446,ODG,2.516437
450,Afatinib,HS683,3.304372,ODG,2.358295
451,Afuresertib,HS683,1.835028,ODG,1.092635
452,Alisertib,HS683,-1.067861,ODG,1.499154
453,Alpelisib,HS683,2.778799,ODG,3.325328
454,Avagacestat,HS683,5.277643,ODG,5.310096
455,Axitinib,HS683,2.257925,ODG,3.067533
456,BI-2536,HS683,-2.748914,ODG,-0.647337
457,BIBR-1532,HS683,3.328053,ODG,5.387459
458,BMS-345541,HS683,2.64884,ODG,4.646201
459,BMS-536924,HS683,2.326508,ODG,1.94607
460,BMS-754807,HS683,1.428837,ODG,2.611758
461,BX795,HS683,1.683017,ODG,3.577085
462,Bicalutamide,HS683,5.407876,ODG,5.172271
463,Bortezomib,HS683,-4.779859,ODG,-4.102983
464,Bosutinib,HS683,3.781773,ODG,3.386278
465,Buparlisib,HS683,0.600981,ODG,0.834472
466,CCT-018159,HS683,2.400004,ODG,4.416829
467,CCT007093,HS683,4.710467,ODG,5.290562
468,CHIR-99021,HS683,3.195399,ODG,5.389586
469,CZC24832,HS683,5.115348,ODG,5.738138
470,Camptothecin,HS683,-4.145162,ODG,-2.13306
471,Cediranib,HS683,5.300511,ODG,2.278139
472,Crizotinib,HS683,2.698894,ODG,2.360703
473,Cyclophosphamide,HS683,5.407876,ODG,5.517193
474,Dabrafenib,HS683,4.900629,ODG,5.568083
475,Dactinomycin,HS683,-5.506696,ODG,-3.633596
476,Dactolisib,HS683,-2.04939,ODG,-1.836874
477,Daporinad,HS683,2.703565,ODG,-3.809473
478,Dasatinib,HS683,0.389069,ODG,-0.007321
479,Dinaciclib,HS683,-3.159715,ODG,-2.460509
480,Docetaxel,HS683,-6.521924,ODG,-3.470394
481,Doramapimod,HS683,3.19955,ODG,5.242151
482,EHT-1864,HS683,3.798538,ODG,4.367303
483,EPZ004777,HS683,5.077621,ODG,5.581932
484,EPZ5676,HS683,5.142233,ODG,5.88167
485,Elesclomol,HS683,-1.542027,ODG,-1.829661
