,drug,cell_line,OncotreeCode,IC50,prediction
142,Ipatasertib,769P,CCRCC,4.882299063,3.88315
143,LGK974,769P,CCRCC,4.178542472,4.507533
144,MK-2206,769P,CCRCC,3.854255754,3.091186
145,OSI-027,769P,CCRCC,2.113457645,2.976721
146,POMHEX,769P,CCRCC,0.327572864,1.090749
147,RO-3306,769P,CCRCC,3.229150881,3.63159
148,SB590885,769P,CCRCC,3.66363169,4.615047
149,Sapitinib,769P,CCRCC,1.694619325,1.234761
150,Topotecan,769P,CCRCC,0.850495574,0.575433
151,Wnt-C59,769P,CCRCC,4.178601166,4.776587
152,AZD1208,8305C,THAP,6.064875302,5.845001
153,AZD5991,8305C,THAP,6.55255548,6.111777
154,Alisertib,8305C,THAP,4.145538979,3.172112
155,Avagacestat,8305C,THAP,5.728806332,5.07499
156,BIBR-1532,8305C,THAP,5.855407163,5.349877
157,BMS-754807,8305C,THAP,2.959539777,3.471753
158,Bortezomib,8305C,THAP,-5.407089539,-4.507401
159,Cyclophosphamide,8305C,THAP,4.944025883,5.510545
160,EPZ5676,8305C,THAP,6.949407124,6.575219
161,Elephantin,8305C,THAP,3.158963914,4.186827
162,GDC0810,8305C,THAP,5.404304223,5.820679
163,Motesanib,8305C,THAP,6.505873542,6.542423
164,PD0325901,8305C,THAP,0.894675928,0.26068
165,Ruxolitinib,8305C,THAP,5.702449751,5.824438
166,UMI-77,8305C,THAP,2.892551081,2.526725
167,Uprosertib,8305C,THAP,5.676235682,3.91161
168,Vinorelbine,8305C,THAP,-3.510848821,-1.903117
169,WEHI-539,8305C,THAP,4.726873879,3.899744
170,alpha-lipoic acid,8305C,THAP,8.931909874,8.843132
171,5-Fluorouracil,8505C,THAP,6.413517168,6.078304
172,AGK2,8505C,THAP,3.859648003,3.774526
173,AMG-319,8505C,THAP,5.277653301,5.257453
174,AZD5363,8505C,THAP,4.558547486,4.713625
175,Dasatinib,8505C,THAP,1.130637629,1.689139
176,EHT-1864,8505C,THAP,3.790625864,4.442217
177,Fludarabine,8505C,THAP,6.811960965,5.307383
178,GSK1904529A,8505C,THAP,4.01005792,4.886175
179,I-BRD9,8505C,THAP,4.354906002,4.667342
180,KRAS (G12C) Inhibitor-12,8505C,THAP,5.112625175,6.13701
181,NVP-ADW742,8505C,THAP,2.473992112,2.995226
182,Palbociclib,8505C,THAP,5.415701701,4.434335
183,SCH772984,8505C,THAP,1.489080383,1.280075
184,SGC-CBP30,8505C,THAP,2.816790221,4.118437
185,Selumetinib,8505C,THAP,2.925933194,3.257077
186,Tamoxifen,8505C,THAP,3.413915958,4.325772
187,Teniposide,8505C,THAP,0.160227317,1.051167
188,Vinorelbine,8505C,THAP,-2.352096009,-0.880777
189,WIKI4,8505C,THAP,3.678507858,3.84621
190,AZD5582,8MGBA,GB,1.043293545,-0.281311
191,AZD6738,8MGBA,GB,0.077780171,0.875125
192,AZD8055,8MGBA,GB,-0.64340227,-0.698537
193,Alisertib,8MGBA,GB,1.989729446,1.748744
194,Cediranib,8MGBA,GB,1.891009661,1.651225
195,Irinotecan,8MGBA,GB,0.716541676,1.070129
196,Methotrexate,8MGBA,GB,1.089936065,-1.587351
197,Navitoclax,8MGBA,GB,2.980672165,2.804262
198,Nelarabine,8MGBA,GB,6.207241123,5.783822
199,OSI-027,8MGBA,GB,4.528547331,2.633899
200,POMHEX,8MGBA,GB,0.718857518,1.118258
201,SB590885,8MGBA,GB,4.087906505,3.75925
202,SGC0946,8MGBA,GB,1.566320796,1.873516
203,Sabutoclax,8MGBA,GB,-2.05811646,-0.755697
204,Taselisib,8MGBA,GB,1.370330762,1.890741
205,Temozolomide,8MGBA,GB,4.714795044,5.965124
206,UNC0638,8MGBA,GB,3.124806664,3.888812
207,Vincristine,8MGBA,GB,-3.030746267,-2.366444
208,Vorinostat,8MGBA,GB,1.33348526,1.00951
209,AZD5991,A101D,MEL,4.140861633,5.58159
210,BI-2536,A101D,MEL,-1.946280516,-0.041025
211,BMS-345541,A101D,MEL,4.974566663,2.685081
212,Bromosporine,A101D,MEL,2.01018143,1.99157
213,Fludarabine,A101D,MEL,4.887140726,4.680799
214,GSK1904529A,A101D,MEL,5.3919144,4.417202
215,GW441756,A101D,MEL,2.560478895,3.571383
216,MIRA-1,A101D,MEL,3.594124389,5.730285
217,Methotrexate,A101D,MEL,1.868040845,0.004068
218,Mirin,A101D,MEL,4.675385572,4.414363
219,N-acetyl cysteine,A101D,MEL,10.28838462,10.28005
220,Olaparib,A101D,MEL,4.371187059,4.446677
221,PLX-4720,A101D,MEL,1.355216257,0.597313
222,Picolinici-acid,A101D,MEL,5.388483598,5.591326
223,Trametinib,A101D,MEL,-2.414400815,-3.348063
224,VE-822,A101D,MEL,4.977675755,3.553048
225,Vismodegib,A101D,MEL,5.355739704,5.156229
226,WEHI-539,A101D,MEL,2.960597253,4.134731
227,Wnt-C59,A101D,MEL,5.357343397,4.616803
228,5-azacytidine,A172,GB,2.617425931,2.62847
229,AZD1208,A172,GB,5.010788392,5.407655
230,Alpelisib,A172,GB,5.111691996,4.038037
231,Entospletinib,A172,GB,3.899911881,3.340674
232,Erlotinib,A172,GB,3.242695179,2.553305
233,LJI308,A172,GB,5.810623444,5.071012
234,Lenalidomide,A172,GB,5.14113528,5.513469
235,MIRA-1,A172,GB,4.932832679,5.591955
236,N-acetyl cysteine,A172,GB,10.18354914,9.99576
237,PCI-34051,A172,GB,4.719609362,4.63915
238,PD0325901,A172,GB,1.347392017,1.683937
239,PRT062607,A172,GB,5.16905085,3.549077
240,Pyridostatin,A172,GB,2.315231471,2.774303
241,SCH772984,A172,GB,2.161601023,2.044588
242,SGC0946,A172,GB,1.48832541,1.993032
243,Schweinfurthin A,A172,GB,2.016339621,1.380033
244,Taselisib,A172,GB,2.556109866,1.645926
245,UMI-77,A172,GB,3.812157993,2.469249
246,alpha-lipoic acid,A172,GB,7.715650872,7.850336
247,AGI-6780,A204,ERMS,3.472037414,4.33852
248,AGK2,A204,ERMS,3.564840991,3.392928
249,AZD4547,A204,ERMS,0.339746811,0.107805
250,Afatinib,A204,ERMS,1.794422484,2.094901
251,CPI-637,A204,ERMS,3.859466504,5.364552
252,Foretinib,A204,ERMS,-0.703307026,-0.464192
253,GSK2110183B,A204,ERMS,4.568831316,4.035199
254,LGK974,A204,ERMS,3.888268076,3.550229
255,ML323,A204,ERMS,4.711155162,4.401342
256,OSI-027,A204,ERMS,3.048196438,4.419088
257,PFI3,A204,ERMS,6.188994889,5.405441
258,POMHEX,A204,ERMS,0.936226833,1.389447
259,RVX-208,A204,ERMS,6.238467539,5.525116
260,Ribociclib,A204,ERMS,2.610377021,3.65348
261,Romidepsin,A204,ERMS,-3.138684031,-4.408303
262,Sapitinib,A204,ERMS,4.301402869,5.168369
263,Talazoparib,A204,ERMS,3.184699388,2.856851
264,Ulixertinib,A204,ERMS,2.988521658,2.825849
265,Wnt-C59,A204,ERMS,4.770286101,4.433625
266,AGK2,A2058,MEL,4.130224407,2.885748
267,Avagacestat,A2058,MEL,4.633071449,4.880419
268,BMS-536924,A2058,MEL,2.495848484,3.112494
269,Bosutinib,A2058,MEL,2.915397161,3.252348
270,Buparlisib,A2058,MEL,0.474838473,0.576159
271,Cyclophosphamide,A2058,MEL,4.330896311,5.055878
272,Erlotinib,A2058,MEL,2.200801192,2.857083
273,GSK2606414,A2058,MEL,2.92186083,3.802401
274,GSK2830371,A2058,MEL,5.179109779,5.232829
275,GW441756,A2058,MEL,3.23509674,3.026241
276,Luminespib,A2058,MEL,-4.093845798,-2.547613
277,MK-8776,A2058,MEL,4.439541504,3.07941
278,Motesanib,A2058,MEL,5.178934528,5.404002
279,Oxaliplatin,A2058,MEL,4.99041162,4.439402
280,Remodelin,A2058,MEL,5.180716554,4.866819
281,Sapitinib,A2058,MEL,4.445512534,5.051449
282,Staurosporine,A2058,MEL,-2.019963001,-2.112871
283,Vismodegib,A2058,MEL,4.136871956,4.834622
284,Wnt-C59,A2058,MEL,3.8360391,4.259008
285,5-Fluorouracil,A253,OCSC,5.225379815,5.051574
286,BMS-345541,A253,OCSC,3.842889351,4.328625
287,Bleomycin,A253,OCSC,1.655634527,1.787174
288,Cisplatin,A253,OCSC,1.757981215,2.82577
289,Fludarabine,A253,OCSC,5.180279031,5.483601
290,L-Oxonoreleagnine,A253,OCSC,4.072052811,3.642759
291,LGK974,A253,OCSC,4.118171034,3.278329
292,Leflunomide,A253,OCSC,5.482363723,5.087114
293,Lestaurtinib,A253,OCSC,1.427736538,0.756099
294,Methotrexate,A253,OCSC,0.331955276,-0.523755
295,OF-1,A253,OCSC,3.891981435,2.604152
296,PRIMA-1MET,A253,OCSC,5.986690442,6.014978
297,RVX-208,A253,OCSC,4.494018638,5.180778
298,Ribociclib,A253,OCSC,3.903565244,4.284789
299,Savolitinib,A253,OCSC,2.38666303,2.562682
300,Tanespimycin,A253,OCSC,-0.975443261,-0.949876
301,Telomerase Inhibitor IX,A253,OCSC,0.794832892,0.760044
302,Temozolomide,A253,OCSC,6.333632192,6.329573
303,Topotecan,A253,OCSC,-0.684862989,-1.324035
304,AGI-5198,A2780,EOV,5.207703533,4.512016
305,AZ6102,A2780,EOV,1.45866624,1.864991
306,AZD5153,A2780,EOV,-1.236828845,-1.389446
307,AZD5438,A2780,EOV,1.008355294,1.140702
308,AZD7762,A2780,EOV,-0.03830489,-0.482674
309,AZD8186,A2780,EOV,1.21942569,2.420507
310,Dactinomycin,A2780,EOV,-5.736466952,-5.724461
311,Dihydrorotenone,A2780,EOV,0.099427934,1.039199
312,EPZ5676,A2780,EOV,5.882110337,5.256214
313,GSK2110183B,A2780,EOV,-0.014238076,0.985905
314,JQ1,A2780,EOV,-0.45003378,-0.523596
315,Lapatinib,A2780,EOV,2.311933261,2.623802
316,P22077,A2780,EOV,3.796216828,3.178207
317,SB590885,A2780,EOV,2.837743741,3.908221
318,Telomerase Inhibitor IX,A2780,EOV,-1.137306496,-0.688412
319,UMI-77,A2780,EOV,1.622130976,2.119263
320,Ulixertinib,A2780,EOV,0.19134397,0.694218
321,VE-822,A2780,EOV,1.163974985,2.207769
322,YK-4-279,A2780,EOV,1.062500912,0.550138
323,AGI-6780,A375,MEL,4.560145417,4.316607
324,AZD1208,A375,MEL,6.024222952,5.651382
325,Afatinib,A375,MEL,1.766162878,1.827572
326,Cytarabine,A375,MEL,-0.694056045,0.357482
327,Dacarbazine,A375,MEL,6.440826896,5.670216
328,Dactolisib,A375,MEL,-2.545257981,-2.119368
329,EPZ004777,A375,MEL,5.315495052,5.247203
330,Elephantin,A375,MEL,1.720377524,2.660586
331,Fludarabine,A375,MEL,4.187086696,4.818728
332,GSK1904529A,A375,MEL,4.710503304,4.234471
333,I-BRD9,A375,MEL,4.797079594,4.156894
334,IWP-2,A375,MEL,3.860566327,2.927793
335,JNK Inhibitor VIII,A375,MEL,5.037224078,5.253221
336,Linsitinib,A375,MEL,3.250593726,4.450956
337,NVP-ADW742,A375,MEL,1.985126351,2.181199
338,PCI-34051,A375,MEL,3.55435215,3.824252
339,Palbociclib,A375,MEL,2.905159745,2.820412
340,Pictilisib,A375,MEL,1.18983388,1.279233
341,Teniposide,A375,MEL,-1.663807728,-1.010477
342,Ulixertinib,A375,MEL,0.305226715,0.087407
343,Wnt-C59,A375,MEL,3.930353398,4.443306
344,5-Fluorouracil,A388,CSCC,4.201613831,2.942093
345,Axitinib,A388,CSCC,2.581037823,2.444745
346,BMS-536924,A388,CSCC,2.890956321,2.309334
347,GSK269962A,A388,CSCC,4.306531743,2.368401
348,GW441756,A388,CSCC,4.193932241,3.903152
349,Ibrutinib,A388,CSCC,1.007406811,0.314089
350,Irinotecan,A388,CSCC,1.288291939,1.264658
351,JNK Inhibitor VIII,A388,CSCC,3.681112961,4.477028
352,Osimertinib,A388,CSCC,0.33119953,-0.220441
353,RO-3306,A388,CSCC,1.692141622,1.936372
354,Rucaparib,A388,CSCC,4.426680784,4.262998
355,SB590885,A388,CSCC,5.157286673,5.009986
356,SN-38,A388,CSCC,-4.79491941,-4.495588
357,Savolitinib,A388,CSCC,3.536191566,3.082355
358,Uprosertib,A388,CSCC,1.257072476,2.608562
359,Wnt-C59,A388,CSCC,5.777743031,5.122228
360,A-366,A3KAW,DLBCLNOS,3.287992195,3.816271
361,AT13148,A3KAW,DLBCLNOS,1.768405843,2.967513
362,AZD5991,A3KAW,DLBCLNOS,-3.139454599,-2.348238
363,AZD6738,A3KAW,DLBCLNOS,-0.803435269,0.050322
364,AZD7762,A3KAW,DLBCLNOS,-1.892351888,-2.098063
365,CCT007093,A3KAW,DLBCLNOS,4.33894349,4.121364
366,Docetaxel,A3KAW,DLBCLNOS,-5.566962309,-5.815369
367,GSK2578215A,A3KAW,DLBCLNOS,4.539406898,3.767486
368,IWP-2,A3KAW,DLBCLNOS,2.031123087,1.565922
369,Ibrutinib,A3KAW,DLBCLNOS,4.341659463,3.03159
370,Olaparib,A3KAW,DLBCLNOS,1.972224204,2.126464
371,PCI-34051,A3KAW,DLBCLNOS,2.902526194,2.472051
372,Picolinici-acid,A3KAW,DLBCLNOS,3.739727977,4.110564
373,Ruxolitinib,A3KAW,DLBCLNOS,0.972409372,3.37803
374,SGC-CBP30,A3KAW,DLBCLNOS,2.626226843,3.203329
375,SGC0946,A3KAW,DLBCLNOS,1.346374063,1.370642
376,Talazoparib,A3KAW,DLBCLNOS,-0.265316019,-2.56322
377,Trametinib,A3KAW,DLBCLNOS,-0.224288292,-1.395914
378,WIKI4,A3KAW,DLBCLNOS,2.741531746,3.097876
379,AZD3759,A427,LUAD,2.537215471,2.358953
380,AZD5363,A427,LUAD,3.901029462,3.515801
381,AZD6482,A427,LUAD,3.563347058,3.881721
382,Avagacestat,A427,LUAD,4.272191639,4.336947
383,BMS-754807,A427,LUAD,-0.00654882,0.361751
384,Dabrafenib,A427,LUAD,2.778867858,2.609032
385,GSK-LSD1,A427,LUAD,2.765564152,2.132448
386,GSK1904529A,A427,LUAD,2.668643691,3.414728
387,Gallibiscoquinazole,A427,LUAD,1.076140515,2.241944
388,Irinotecan,A427,LUAD,2.490292299,2.673907
389,Lapatinib,A427,LUAD,2.799709012,2.594194
390,Linsitinib,A427,LUAD,2.814828239,3.179982
391,Obatoclax Mesylate,A427,LUAD,-0.509972839,-0.231813
392,Osimertinib,A427,LUAD,2.734704485,1.442342
393,Pevonedistat,A427,LUAD,-1.448837157,-0.427349
394,SL0101,A427,LUAD,3.829954784,4.929031
395,SN-38,A427,LUAD,-2.278111302,-1.096987
396,Sapitinib,A427,LUAD,3.485309393,4.246172
397,WIKI4,A427,LUAD,4.56721318,3.236119
398,AZD6738,A431,CSCC,1.417749041,2.473908
399,Alpelisib,A431,CSCC,1.042570094,1.638226
400,Camptothecin,A431,CSCC,-2.98936841,-2.999153
401,Crizotinib,A431,CSCC,2.079954857,2.067136
402,Daporinad,A431,CSCC,2.065692798,1.770074
403,Entinostat,A431,CSCC,1.424766908,1.565549
404,GSK2578215A,A431,CSCC,5.092401721,4.574268
405,Gemcitabine,A431,CSCC,-2.570787316,-2.628844
406,JNK Inhibitor VIII,A431,CSCC,4.177164261,4.174655
407,Osimertinib,A431,CSCC,-0.028433528,-0.391806
408,Rapamycin,A431,CSCC,-2.571187577,-2.576889
409,SB590885,A431,CSCC,5.140429114,5.054486
410,SCH772984,A431,CSCC,1.129065334,1.434537
411,Savolitinib,A431,CSCC,3.785902642,3.304969
412,Tamoxifen,A431,CSCC,5.442989103,4.918193
413,Veliparib,A431,CSCC,5.871700805,5.122396
414,ABT737,A498,RCC,0.359419908,1.738508
415,BMS-345541,A498,RCC,2.69894147,4.032791
416,Bosutinib,A498,RCC,2.806736141,2.757318
417,Carmustine,A498,RCC,7.294387858,6.707642
418,Cisplatin,A498,RCC,5.795004875,4.050483
419,Cyclophosphamide,A498,RCC,5.811846542,5.668353
420,Cytarabine,A498,RCC,4.253233189,2.104141
421,Doramapimod,A498,RCC,5.190254535,5.763988
422,GSK2830371,A498,RCC,6.085113313,5.684022
423,Gefitinib,A498,RCC,3.621292729,3.92886
424,KRAS (G12C) Inhibitor-12,A498,RCC,6.003781675,6.179248
425,Lapatinib,A498,RCC,2.414258902,3.870639
426,MK-2206,A498,RCC,0.233908971,2.505435
427,Methotrexate,A498,RCC,3.371618718,0.858011
428,Mycophenolic acid,A498,RCC,2.063685333,1.823501
429,Nilotinib,A498,RCC,5.074186738,3.302132
430,Obatoclax Mesylate,A498,RCC,0.698864972,0.691078
431,Taselisib,A498,RCC,2.185542415,1.750928
432,Trametinib,A498,RCC,0.894945331,0.420798
433,5-azacytidine,A4FUK,DLBCLNOS,2.258558704,1.346018
434,ABT737,A4FUK,DLBCLNOS,2.256677848,2.550166
435,AZD5991,A4FUK,DLBCLNOS,-2.347430259,-2.560685
436,Acetalax,A4FUK,DLBCLNOS,5.688605058,5.404109
437,Doramapimod,A4FUK,DLBCLNOS,4.770716048,4.3223
438,Entinostat,A4FUK,DLBCLNOS,0.853045118,0.14165
439,GSK2830371,A4FUK,DLBCLNOS,4.354057476,4.299913
440,Gefitinib,A4FUK,DLBCLNOS,3.195885246,2.950383
441,Lenalidomide,A4FUK,DLBCLNOS,4.811224306,3.973667
442,MN-64,A4FUK,DLBCLNOS,2.741438733,4.376995
443,NU7441,A4FUK,DLBCLNOS,4.615582293,1.6384
444,Nelarabine,A4FUK,DLBCLNOS,4.746770725,5.102948
445,OTX015,A4FUK,DLBCLNOS,-1.7215053,-1.375133
446,Obatoclax Mesylate,A4FUK,DLBCLNOS,-1.457283713,-0.390172
447,PFI-1,A4FUK,DLBCLNOS,2.344860134,2.241312
448,PRT062607,A4FUK,DLBCLNOS,1.249902051,1.059102
449,Romidepsin,A4FUK,DLBCLNOS,-6.018285585,-5.957318
450,Sorafenib,A4FUK,DLBCLNOS,1.49534548,1.230404
451,Wee1 Inhibitor,A4FUK,DLBCLNOS,0.120119026,0.593472
452,5-azacytidine,A549,LUAD,1.847137308,2.271099
453,AZD5438,A549,LUAD,1.391646044,1.415604
454,BIBR-1532,A549,LUAD,5.775714059,4.881601
455,Bleomycin,A549,LUAD,0.997002725,1.329773
456,Cediranib,A549,LUAD,2.035846415,1.653974
457,Doramapimod,A549,LUAD,4.854872561,5.458377
458,Fulvestrant,A549,LUAD,3.048610969,3.758064
459,GDC0810,A549,LUAD,4.951721324,4.47856
460,GSK2110183B,A549,LUAD,2.604406158,3.338656
461,Gemcitabine,A549,LUAD,-3.595753357,-2.828816
462,Leflunomide,A549,LUAD,5.444887588,5.037925
463,Linsitinib,A549,LUAD,3.200766905,3.28607
464,Niraparib,A549,LUAD,4.1701766,4.263953
465,OTX015,A549,LUAD,1.100079885,0.752748
466,Olaparib,A549,LUAD,4.064176202,4.276287
467,Remodelin,A549,LUAD,3.982875053,4.826864
468,Ruxolitinib,A549,LUAD,4.094526574,4.669352
469,Savolitinib,A549,LUAD,3.83234106,2.738345
470,YK-4-279,A549,LUAD,1.60443125,1.543394
471,ZM447439,A549,LUAD,2.007055886,1.952309
472,AZD1332,A673,ES,2.868642829,3.188053
473,AZD5991,A673,ES,3.958147738,3.989284
474,BMS-754807,A673,ES,0.072311699,0.287354
475,Dabrafenib,A673,ES,3.430919564,4.085122
476,EPZ5676,A673,ES,5.53290724,4.773043
477,Elephantin,A673,ES,1.906869843,2.801724
478,GSK2801,A673,ES,4.927779658,4.695326
479,Ibrutinib,A673,ES,4.627662987,4.777754
480,LJI308,A673,ES,4.8621549,4.891653
481,Luminespib,A673,ES,-3.453784611,-3.586423
482,MK-1775,A673,ES,1.075155594,0.33751
483,Motesanib,A673,ES,5.240599297,5.275828
484,Pictilisib,A673,ES,0.977047355,1.0167
485,Refametinib,A673,ES,3.122181137,2.755971
