,drug,cell_line,IC50,OncotreeCode,prediction
88,I-BET-762,OPM2,-0.038568,PCM,1.079863
89,I-BRD9,OPM2,2.07693,PCM,2.833703
90,ICL-SIRT078,OPM2,3.999134,PCM,2.496067
91,IWP-2,OPM2,2.090962,PCM,2.247157
92,Ibrutinib,OPM2,3.098331,PCM,3.527743
93,Ipatasertib,OPM2,1.469871,PCM,1.822302
94,Irinotecan,OPM2,1.929213,PCM,1.314155
95,JNK Inhibitor VIII,OPM2,3.329371,PCM,4.222425
96,JQ1,OPM2,-2.393186,PCM,-0.723805
97,KRAS (G12C) Inhibitor-12,OPM2,3.361321,PCM,3.548235
98,KU-55933,OPM2,3.36957,PCM,3.736176
99,L-Oxonoreleagnine,OPM2,3.273004,PCM,3.101542
100,LCL161,OPM2,4.342094,PCM,4.091109
101,LGK974,OPM2,3.134648,PCM,2.946974
102,LJI308,OPM2,4.342645,PCM,4.067719
103,LMP744,OPM2,-2.414768,PCM,-1.095386
104,LY2109761,OPM2,4.601164,PCM,4.217665
105,Lapatinib,OPM2,2.440101,PCM,2.820339
106,Leflunomide,OPM2,4.636829,PCM,4.192999
107,Lenalidomide,OPM2,3.055947,PCM,3.844362
108,Lestaurtinib,OPM2,-1.777917,PCM,-1.203776
109,Linsitinib,OPM2,1.384684,PCM,1.657598
110,Luminespib,OPM2,-3.424315,PCM,-3.597536
111,MG-132,OPM2,-2.654886,PCM,-2.124297
112,MIM1,OPM2,3.426423,PCM,3.110745
113,MIRA-1,OPM2,3.80327,PCM,4.015284
114,MK-1775,OPM2,-0.35971,PCM,-0.731534
115,MK-2206,OPM2,1.058436,PCM,0.796063
116,MK-8776,OPM2,1.184768,PCM,1.826763
117,ML323,OPM2,4.231613,PCM,3.25664
118,MN-64,OPM2,4.580965,PCM,3.814693
119,Mirin,OPM2,4.382149,PCM,3.92049
120,Mitoxantrone,OPM2,-0.126108,PCM,-0.57803
121,Motesanib,OPM2,4.601831,PCM,3.865666
122,Mycophenolic acid,OPM2,1.806168,PCM,0.986504
123,N-acetyl cysteine,OPM2,9.881997,PCM,10.092316
124,NU7441,OPM2,1.709382,PCM,1.957857
125,NVP-ADW742,OPM2,0.977479,PCM,1.023889
126,Navitoclax,OPM2,1.650328,PCM,-1.972964
127,Nelarabine,OPM2,4.974995,PCM,5.218525
128,Nilotinib,OPM2,2.757373,PCM,1.431593
129,Niraparib,OPM2,3.385088,PCM,2.942642
130,Nutlin-3a (-),OPM2,3.801022,PCM,4.153661
131,OF-1,OPM2,3.718573,PCM,3.295569
132,OSI-027,OPM2,0.996375,PCM,1.677211
133,OTX015,OPM2,-1.358451,PCM,-0.480119
134,Obatoclax Mesylate,OPM2,0.932046,PCM,-0.089422
135,Olaparib,OPM2,3.99044,PCM,3.451412
136,Osimertinib,OPM2,1.159999,PCM,1.441266
137,Oxaliplatin,OPM2,3.705004,PCM,2.707008
138,P22077,OPM2,4.315297,PCM,2.968881
139,PCI-34051,OPM2,3.788532,PCM,3.171338
140,PD0325901,OPM2,1.179499,PCM,2.074874
141,PD173074,OPM2,-0.60233,PCM,2.690882
142,PFI-1,OPM2,1.493273,PCM,2.969518
143,PFI3,OPM2,4.600668,PCM,4.441742
144,PLX-4720,OPM2,4.555765,PCM,3.619086
145,POMHEX,OPM2,0.400344,PCM,0.302906
146,PRIMA-1MET,OPM2,2.151597,PCM,2.440258
147,PRT062607,OPM2,1.685211,PCM,2.085697
148,Paclitaxel,OPM2,-4.238882,PCM,-5.033156
149,Palbociclib,OPM2,1.760344,PCM,2.590616
150,Pevonedistat,OPM2,-0.353291,PCM,-0.62915
151,Picolinici-acid,OPM2,4.327724,PCM,4.201286
152,Pictilisib,OPM2,1.065235,PCM,0.027122
153,Podophyllotoxin bromide,OPM2,-1.486711,PCM,-1.966095
154,Pyridostatin,OPM2,1.962379,PCM,2.874808
155,RO-3306,OPM2,2.663869,PCM,2.184217
156,RVX-208,OPM2,2.713638,PCM,3.251142
157,Rapamycin,OPM2,-4.947115,PCM,-3.797637
158,Refametinib,OPM2,1.848437,PCM,2.212132
159,Ribociclib,OPM2,3.133063,PCM,2.758638
160,Romidepsin,OPM2,-5.90299,PCM,-6.073382
161,Rucaparib,OPM2,3.300771,PCM,3.306507
162,Ruxolitinib,OPM2,3.032794,PCM,4.025277
163,SB216763,OPM2,4.599763,PCM,3.958611
164,SB590885,OPM2,3.789204,PCM,3.124829
165,SCH772984,OPM2,1.978942,PCM,2.408757
166,SGC-CBP30,OPM2,2.758361,PCM,3.233809
167,SGC0946,OPM2,1.595666,PCM,1.698208
168,SN-38,OPM2,2.453838,PCM,-3.087523
169,Sabutoclax,OPM2,-0.830508,PCM,-1.379064
170,Sapitinib,OPM2,4.545822,PCM,4.35427
171,Savolitinib,OPM2,1.731903,PCM,1.520878
172,Schweinfurthin A,OPM2,-0.648658,PCM,-1.776459
173,Selumetinib,OPM2,3.518138,PCM,3.874667
174,Sepantronium bromide,OPM2,-3.475013,PCM,-4.501658
175,Serdemetan,OPM2,3.016015,PCM,2.683101
176,Sinularin,OPM2,2.90568,PCM,2.622932
177,Sorafenib,OPM2,2.507915,PCM,1.532229
178,Staurosporine,OPM2,-4.715125,PCM,-3.879172
179,TW 37,OPM2,1.300051,PCM,0.207334
180,Talazoparib,OPM2,2.951993,PCM,3.210131
181,Tamoxifen,OPM2,3.369951,PCM,2.726021
182,Tanespimycin,OPM2,-0.422144,PCM,-0.19839
183,Taselisib,OPM2,0.315791,PCM,0.145621
184,Telomerase Inhibitor IX,OPM2,0.537292,PCM,0.051935
185,Temozolomide,OPM2,5.030193,PCM,5.257504
186,Temsirolimus,OPM2,-2.84577,PCM,-0.4984
187,Teniposide,OPM2,-0.347068,PCM,-1.078523
188,Topotecan,OPM2,0.461759,PCM,-0.073833
189,Trametinib,OPM2,-0.463874,PCM,0.165598
190,UMI-77,OPM2,3.435521,PCM,2.206918
191,UNC0379,OPM2,2.013255,PCM,2.13888
192,UNC0638,OPM2,1.899636,PCM,2.374635
193,Ulixertinib,OPM2,1.423177,PCM,1.85686
194,Uprosertib,OPM2,0.526618,PCM,1.573155
195,VE-822,OPM2,0.985515,PCM,1.864927
196,VE821,OPM2,1.566762,PCM,3.060976
197,VX-11e,OPM2,1.746456,PCM,2.235703
198,Veliparib,OPM2,4.47892,PCM,4.463775
199,Venetoclax,OPM2,0.421978,PCM,-0.303256
200,Vinblastine,OPM2,-5.777279,PCM,-5.57856
201,Vincristine,OPM2,-4.299529,PCM,-4.908383
202,Vinorelbine,OPM2,-5.123606,PCM,-5.431741
203,Vismodegib,OPM2,4.129259,PCM,3.853578
204,Vorinostat,OPM2,0.487461,PCM,0.431825
205,WEHI-539,OPM2,3.950257,PCM,2.262854
206,WIKI4,OPM2,3.762552,PCM,3.70784
207,WZ4003,OPM2,3.386336,PCM,2.969657
208,Wee1 Inhibitor,OPM2,0.790823,PCM,0.783093
209,Wnt-C59,OPM2,3.713501,PCM,2.972939
210,XAV939,OPM2,3.496732,PCM,3.666602
211,YK-4-279,OPM2,1.225383,PCM,0.601204
212,ZM447439,OPM2,1.580273,PCM,1.490084
213,Zoledronate,OPM2,2.538618,PCM,3.329255
214,alpha-lipoic acid,OPM2,7.095037,PCM,6.63443
215,glutathione,OPM2,8.751398,PCM,9.285595
216,5-Fluorouracil,ACHN,3.137239,PRCC,4.782414
217,5-azacytidine,ACHN,2.651527,PRCC,3.727799
218,A-366,ACHN,4.941848,PRCC,5.231057
219,ABT737,ACHN,3.731654,PRCC,2.825423
220,AGI-5198,ACHN,4.564203,PRCC,5.074968
221,AGI-6780,ACHN,4.353513,PRCC,4.874649
222,AGK2,ACHN,2.984555,PRCC,3.461915
223,AMG-319,ACHN,4.136138,PRCC,5.13518
224,AT13148,ACHN,4.606597,PRCC,3.672004
225,AZ6102,ACHN,1.936535,PRCC,2.415442
226,AZ960,ACHN,2.177005,PRCC,2.542603
227,AZD1208,ACHN,6.034962,PRCC,5.664167
228,AZD1332,ACHN,2.465991,PRCC,3.669336
229,AZD2014,ACHN,1.438525,PRCC,2.273427
230,AZD3759,ACHN,0.787864,PRCC,2.935089
231,AZD4547,ACHN,4.231295,PRCC,3.775371
232,AZD5153,ACHN,1.393565,PRCC,2.212145
233,AZD5363,ACHN,3.040252,PRCC,3.019336
234,AZD5438,ACHN,2.001125,PRCC,2.65865
235,AZD5582,ACHN,5.961097,PRCC,4.936915
236,AZD5991,ACHN,6.146774,PRCC,5.794161
237,AZD6738,ACHN,0.148878,PRCC,2.439884
238,AZD7762,ACHN,-2.386098,PRCC,0.313376
239,AZD8055,ACHN,-0.665403,PRCC,0.429929
240,AZD8186,ACHN,2.015001,PRCC,2.677316
241,Acetalax,ACHN,6.988935,PRCC,5.692238
242,Afatinib,ACHN,-0.087809,PRCC,1.881738
243,Afuresertib,ACHN,2.818872,PRCC,2.349013
244,Alisertib,ACHN,1.758649,PRCC,3.191484
245,Alpelisib,ACHN,5.095484,PRCC,3.582453
246,Avagacestat,ACHN,6.440431,PRCC,5.291985
247,Axitinib,ACHN,2.817977,PRCC,3.504323
248,BI-2536,ACHN,0.637328,PRCC,0.918485
249,BIBR-1532,ACHN,4.181844,PRCC,5.227172
250,BMS-345541,ACHN,2.736679,PRCC,4.058417
251,BMS-536924,ACHN,2.065988,PRCC,2.230607
252,BMS-754807,ACHN,3.381142,PRCC,2.992925
253,Bleomycin,ACHN,0.50806,PRCC,2.897204
254,Bleomycin (50 uM),ACHN,-1.368801,PRCC,2.819789
255,Bortezomib,ACHN,-5.123045,PRCC,-4.972402
256,Bosutinib,ACHN,1.138802,PRCC,3.06099
257,Bromosporine,ACHN,4.009544,PRCC,2.884018
258,Buparlisib,ACHN,1.055649,PRCC,1.296098
259,CCT007093,ACHN,5.267594,PRCC,5.519403
260,CPI-637,ACHN,4.196958,PRCC,4.834392
261,CZC24832,ACHN,5.787535,PRCC,5.473219
262,Camptothecin,ACHN,-3.733803,PRCC,-2.594058
263,Carmustine,ACHN,6.793602,PRCC,6.679773
264,Cediranib,ACHN,0.89372,PRCC,2.175035
265,Cisplatin,ACHN,2.173181,PRCC,3.177789
266,Crizotinib,ACHN,2.579405,PRCC,3.317368
267,Cyclophosphamide,ACHN,5.346404,PRCC,5.58763
268,Cytarabine,ACHN,-1.321181,PRCC,2.615003
269,Dabrafenib,ACHN,2.946234,PRCC,5.110317
270,Dacarbazine,ACHN,6.603606,PRCC,5.768385
271,Dactinomycin,ACHN,-4.567274,PRCC,-3.08494
272,Dactolisib,ACHN,-2.579651,PRCC,-1.396449
273,Daporinad,ACHN,-4.133047,PRCC,-3.733599
274,Dasatinib,ACHN,-1.743811,PRCC,-0.385724
275,Dihydrorotenone,ACHN,1.491268,PRCC,0.918896
276,Dinaciclib,ACHN,-2.715142,PRCC,-1.893026
277,Docetaxel,ACHN,-1.989169,PRCC,-1.512044
278,Doramapimod,ACHN,4.87215,PRCC,5.570632
279,EHT-1864,ACHN,3.865703,PRCC,3.946526
280,EPZ004777,ACHN,5.644249,PRCC,5.751019
281,EPZ5676,ACHN,6.413656,PRCC,6.180376
282,Elephantin,ACHN,2.853188,PRCC,4.179934
283,Entinostat,ACHN,3.222685,PRCC,2.758952
284,Entospletinib,ACHN,2.506185,PRCC,4.130322
285,Epirubicin,ACHN,-2.549555,PRCC,-0.617632
286,Erlotinib,ACHN,0.122962,PRCC,3.155663
287,Fludarabine,ACHN,5.440869,PRCC,5.399296
288,Foretinib,ACHN,0.389592,PRCC,1.426831
289,Fulvestrant,ACHN,4.202956,PRCC,4.113472
290,GDC0810,ACHN,5.469231,PRCC,5.306743
291,GNE-317,ACHN,-0.364054,PRCC,1.031955
292,GSK-LSD1,ACHN,2.930821,PRCC,2.635162
293,GSK1904529A,ACHN,4.553465,PRCC,5.351342
294,GSK2110183B,ACHN,4.598876,PRCC,3.649599
295,GSK2578215A,ACHN,5.270802,PRCC,5.347581
296,GSK2606414,ACHN,2.632073,PRCC,3.823401
297,GSK2801,ACHN,5.821865,PRCC,5.180007
298,GSK2830371,ACHN,6.267689,PRCC,6.230649
299,GSK343,ACHN,4.031469,PRCC,3.681143
300,GSK591,ACHN,5.292,PRCC,5.085419
301,GW441756,ACHN,4.179255,PRCC,3.220449
302,Gallibiscoquinazole,ACHN,2.20392,PRCC,3.079351
303,Gefitinib,ACHN,0.738433,PRCC,3.564873
304,Gemcitabine,ACHN,-4.400708,PRCC,-1.617655
305,I-BET-762,ACHN,3.868983,PRCC,3.863323
306,I-BRD9,ACHN,3.729264,PRCC,5.023059
307,ICL-SIRT078,ACHN,5.113383,PRCC,4.802946
308,IWP-2,ACHN,3.710378,PRCC,3.340882
309,Ibrutinib,ACHN,2.477575,PRCC,5.003302
310,Ipatasertib,ACHN,3.637423,PRCC,3.369721
311,Irinotecan,ACHN,1.841953,PRCC,2.940366
312,JNK Inhibitor VIII,ACHN,5.545224,PRCC,5.659648
313,JQ1,ACHN,3.3159,PRCC,2.599831
314,KRAS (G12C) Inhibitor-12,ACHN,4.642945,PRCC,5.144485
315,KU-55933,ACHN,5.407937,PRCC,5.411986
316,L-Oxonoreleagnine,ACHN,4.120006,PRCC,4.209761
317,LCL161,ACHN,6.148308,PRCC,5.476831
318,LGK974,ACHN,4.498434,PRCC,4.895911
319,LJI308,ACHN,3.89839,PRCC,5.497953
320,LMP744,ACHN,-2.406243,PRCC,-0.000709
321,LY2109761,ACHN,5.402934,PRCC,5.748565
322,Lapatinib,ACHN,2.020273,PRCC,3.917545
323,Leflunomide,ACHN,4.903928,PRCC,5.197429
324,Lenalidomide,ACHN,5.743595,PRCC,5.862888
325,Lestaurtinib,ACHN,-1.643785,PRCC,0.834956
326,Linsitinib,ACHN,3.761904,PRCC,4.226328
327,Luminespib,ACHN,-2.152135,PRCC,-1.449237
328,MG-132,ACHN,-1.360388,PRCC,-1.616235
329,MIM1,ACHN,4.469925,PRCC,4.537847
330,MIRA-1,ACHN,4.446781,PRCC,5.657212
331,MK-1775,ACHN,-1.98645,PRCC,0.948647
332,MK-2206,ACHN,2.752459,PRCC,2.837823
333,MK-8776,ACHN,0.521469,PRCC,3.468462
334,ML323,ACHN,4.922186,PRCC,5.018367
335,MN-64,ACHN,4.793599,PRCC,4.874391
336,Methotrexate,ACHN,-2.543643,PRCC,-1.412446
337,Mirin,ACHN,5.629971,PRCC,5.185729
338,Mitoxantrone,ACHN,-1.067999,PRCC,1.497515
339,Motesanib,ACHN,6.100721,PRCC,6.191616
340,Mycophenolic acid,ACHN,0.703245,PRCC,1.427872
341,N-acetyl cysteine,ACHN,11.462716,PRCC,10.730734
342,NU7441,ACHN,3.533912,PRCC,3.644877
343,NVP-ADW742,ACHN,3.903819,PRCC,2.739109
344,Navitoclax,ACHN,3.749973,PRCC,2.777308
345,Nelarabine,ACHN,6.519076,PRCC,6.558685
346,Nilotinib,ACHN,4.272091,PRCC,4.207304
347,Niraparib,ACHN,5.597306,PRCC,4.769946
348,Nutlin-3a (-),ACHN,1.698458,PRCC,4.519633
349,OF-1,ACHN,4.212001,PRCC,4.619512
350,OSI-027,ACHN,1.758053,PRCC,2.727455
351,OTX015,ACHN,2.06173,PRCC,2.846202
352,Obatoclax Mesylate,ACHN,0.554357,PRCC,0.568199
353,Olaparib,ACHN,4.333047,PRCC,4.619199
354,Osimertinib,ACHN,0.182227,PRCC,2.050067
355,Oxaliplatin,ACHN,3.543992,PRCC,4.867013
356,P22077,ACHN,5.20943,PRCC,4.955466
357,PCI-34051,ACHN,4.867188,PRCC,4.778861
358,PD0325901,ACHN,0.994646,PRCC,2.07795
359,PD173074,ACHN,2.759714,PRCC,3.957191
360,PFI-1,ACHN,4.767081,PRCC,4.108025
361,PFI3,ACHN,6.035143,PRCC,5.674562
362,PLX-4720,ACHN,2.446665,PRCC,4.63898
363,POMHEX,ACHN,1.01141,PRCC,1.677169
364,PRIMA-1MET,ACHN,3.723946,PRCC,4.847771
365,PRT062607,ACHN,2.585657,PRCC,3.639774
366,Paclitaxel,ACHN,-0.263759,PRCC,-1.03887
367,Palbociclib,ACHN,0.850143,PRCC,3.560433
368,Pevonedistat,ACHN,-0.075604,PRCC,1.270854
369,Picolinici-acid,ACHN,5.989337,PRCC,5.543811
370,Pictilisib,ACHN,0.64737,PRCC,1.246042
371,Podophyllotoxin bromide,ACHN,-0.702862,PRCC,1.08983
372,Pyridostatin,ACHN,5.040655,PRCC,4.467629
373,RO-3306,ACHN,4.366984,PRCC,4.50725
374,RVX-208,ACHN,5.335902,PRCC,5.185671
375,Rapamycin,ACHN,-3.016686,PRCC,-1.147627
376,Refametinib,ACHN,2.01324,PRCC,2.332536
377,Ribociclib,ACHN,3.624753,PRCC,3.902745
378,Romidepsin,ACHN,-4.299404,PRCC,-5.273076
379,Rucaparib,ACHN,4.593113,PRCC,4.407942
380,Ruxolitinib,ACHN,5.44509,PRCC,5.324302
381,SB216763,ACHN,5.998274,PRCC,5.317986
382,SB590885,ACHN,5.3637,PRCC,4.697758
383,SCH772984,ACHN,2.72762,PRCC,2.844083
384,SGC-CBP30,ACHN,4.341927,PRCC,4.863574
385,SGC0946,ACHN,2.886905,PRCC,2.307502
386,SN-38,ACHN,-2.199607,PRCC,-4.28233
387,Sabutoclax,ACHN,-0.525364,PRCC,0.287441
388,Sapitinib,ACHN,1.666861,PRCC,4.560596
389,Savolitinib,ACHN,3.770336,PRCC,2.533135
390,Schweinfurthin A,ACHN,1.253424,PRCC,2.107592
391,Selumetinib,ACHN,3.789278,PRCC,4.335803
392,Sepantronium bromide,ACHN,-4.101284,PRCC,-4.05826
393,Serdemetan,ACHN,2.799217,PRCC,4.064702
394,Sinularin,ACHN,3.568794,PRCC,3.875975
395,Sorafenib,ACHN,2.700304,PRCC,3.1221
396,Staurosporine,ACHN,-1.020452,PRCC,-3.049114
397,TW 37,ACHN,0.73388,PRCC,1.809108
398,Talazoparib,ACHN,2.253804,PRCC,3.199847
399,Tamoxifen,ACHN,3.605091,PRCC,3.918917
400,Tanespimycin,ACHN,-0.214319,PRCC,-0.164649
401,Taselisib,ACHN,1.812633,PRCC,1.697585
402,Telomerase Inhibitor IX,ACHN,-0.018769,PRCC,1.323048
403,Temozolomide,ACHN,6.978198,PRCC,7.109749
404,Temsirolimus,ACHN,1.443365,PRCC,2.00413
405,Teniposide,ACHN,-1.171244,PRCC,1.122218
406,Topotecan,ACHN,-1.018222,PRCC,0.04085
407,Trametinib,ACHN,-0.129123,PRCC,0.020887
408,UMI-77,ACHN,4.86308,PRCC,3.498282
409,UNC0379,ACHN,2.220691,PRCC,4.554781
410,UNC0638,ACHN,5.471017,PRCC,5.076027
411,Ulixertinib,ACHN,1.462925,PRCC,3.233153
412,Uprosertib,ACHN,3.569891,PRCC,3.292138
413,VE-822,ACHN,1.770356,PRCC,3.79129
414,VE821,ACHN,3.377714,PRCC,4.804079
415,VX-11e,ACHN,2.623362,PRCC,3.044119
416,Veliparib,ACHN,5.170627,PRCC,5.70887
417,Venetoclax,ACHN,2.748662,PRCC,3.282511
418,Vinblastine,ACHN,-3.021559,PRCC,-1.150191
419,Vincristine,ACHN,-0.587231,PRCC,1.191904
420,Vinorelbine,ACHN,-1.745668,PRCC,-0.303163
421,Vismodegib,ACHN,4.024151,PRCC,5.364621
422,Vorinostat,ACHN,1.630446,PRCC,2.159799
423,WEHI-539,ACHN,5.184013,PRCC,4.348881
424,WIKI4,ACHN,4.520483,PRCC,3.762445
425,WZ4003,ACHN,2.899449,PRCC,4.600327
426,Wee1 Inhibitor,ACHN,-0.428905,PRCC,2.403313
427,Wnt-C59,ACHN,3.864303,PRCC,4.848358
428,XAV939,ACHN,5.057577,PRCC,4.528798
429,YK-4-279,ACHN,2.645586,PRCC,3.257137
430,ZM447439,ACHN,3.347086,PRCC,3.173502
431,Zoledronate,ACHN,4.467281,PRCC,4.438396
432,alpha-lipoic acid,ACHN,7.961647,PRCC,8.55817
433,glutathione,ACHN,9.435667,PRCC,9.83428
434,5-Fluorouracil,HS683,3.704849,ODG,5.304289
435,ABT737,HS683,1.985374,ODG,2.620008
436,AGI-5198,HS683,4.38041,ODG,4.801496
437,AGI-6780,HS683,5.407876,ODG,4.639218
438,AMG-319,HS683,4.649411,ODG,4.659611
439,AT13148,HS683,3.20852,ODG,2.615477
440,AZ6102,HS683,2.236887,ODG,2.346601
441,AZ960,HS683,-0.019058,ODG,0.988734
442,AZD3759,HS683,1.449613,ODG,2.703244
443,AZD4547,HS683,5.060307,ODG,3.058913
444,AZD5363,HS683,3.003516,ODG,2.520964
445,AZD5582,HS683,5.072075,ODG,2.963123
446,AZD6482,HS683,3.071549,ODG,3.183957
447,AZD6738,HS683,1.581039,ODG,0.99784
448,AZD7762,HS683,0.038768,ODG,-0.18923
449,AZD8186,HS683,1.81446,ODG,2.237954
450,Afatinib,HS683,3.304372,ODG,2.001166
451,Afuresertib,HS683,1.835028,ODG,2.370603
452,Alisertib,HS683,-1.067861,ODG,1.530085
453,Alpelisib,HS683,2.778799,ODG,3.193056
454,Avagacestat,HS683,5.277643,ODG,4.898061
455,Axitinib,HS683,2.257925,ODG,3.09637
456,BI-2536,HS683,-2.748914,ODG,-1.333094
457,BIBR-1532,HS683,3.328053,ODG,4.975165
458,BMS-345541,HS683,2.64884,ODG,3.5131
459,BMS-536924,HS683,2.326508,ODG,1.719645
460,BMS-754807,HS683,1.428837,ODG,0.811296
461,BX795,HS683,1.683017,ODG,2.776344
462,Bicalutamide,HS683,5.407876,ODG,4.89024
463,Bortezomib,HS683,-4.779859,ODG,-5.137517
464,Bosutinib,HS683,3.781773,ODG,3.02074
465,Buparlisib,HS683,0.600981,ODG,0.741643
466,CCT-018159,HS683,2.400004,ODG,3.939898
467,CCT007093,HS683,4.710467,ODG,5.161569
468,CHIR-99021,HS683,3.195399,ODG,5.195627
469,CZC24832,HS683,5.115348,ODG,5.128711
470,Camptothecin,HS683,-4.145162,ODG,-3.142402
471,Cediranib,HS683,5.300511,ODG,1.884677
472,Crizotinib,HS683,2.698894,ODG,2.632876
473,Cyclophosphamide,HS683,5.407876,ODG,5.53319
474,Dabrafenib,HS683,4.900629,ODG,5.014609
475,Dactinomycin,HS683,-5.506696,ODG,-3.800117
476,Dactolisib,HS683,-2.04939,ODG,-2.883182
477,Daporinad,HS683,2.703565,ODG,-4.104991
478,Dasatinib,HS683,0.389069,ODG,-0.313634
479,Dinaciclib,HS683,-3.159715,ODG,-3.058998
480,Docetaxel,HS683,-6.521924,ODG,-4.434854
481,Doramapimod,HS683,3.19955,ODG,5.237381
482,EHT-1864,HS683,3.798538,ODG,4.055418
483,EPZ004777,HS683,5.077621,ODG,5.473781
484,EPZ5676,HS683,5.142233,ODG,6.027683
485,Elesclomol,HS683,-1.542027,ODG,-1.80131
