"",drug,cell_line,OncotreeCode,IC50,prediction,IC50_Z,prediction_Z
39,AZD1332,42MGBA,GB,2.001949,1.960944,-1.146467,-1.173174
40,AZD2014,42MGBA,GB,0.590397,1.612594,-1.066976,-0.361815
41,AZD3759,42MGBA,GB,2.929658,2.818325,0.384935,0.282280
42,AZD5153,42MGBA,GB,0.809973,2.347463,-0.351586,0.426877
43,AZD8055,42MGBA,GB,-1.172429,-0.928616,-0.829464,-0.651706
44,EHT-1864,42MGBA,GB,4.456416,4.117334,0.791292,0.446496
45,GSK2110183B,42MGBA,GB,1.291286,2.450821,-1.290316,-0.545762
46,I-BET-762,42MGBA,GB,3.274633,3.003639,0.060955,-0.110362
47,MIRA-1,42MGBA,GB,5.027174,5.426809,-0.170488,0.153249
48,MK-2206,42MGBA,GB,1.484758,1.910162,-0.833797,-0.547853
49,ML323,42MGBA,GB,4.757732,4.998654,0.209947,0.438180
50,Mirin,42MGBA,GB,3.979042,4.273737,-0.679082,-0.430093
51,Nilotinib,42MGBA,GB,1.981261,1.860524,-0.810445,-0.881201
52,OSI-027,42MGBA,GB,3.473819,1.890839,0.595054,-0.464598
53,Obatoclax Mesylate,42MGBA,GB,-0.244292,0.196170,-0.678908,-0.285047
54,PRIMA-1MET,42MGBA,GB,5.835448,4.084421,0.785874,-0.185830
55,Talazoparib,42MGBA,GB,1.730879,1.402235,-0.467936,-0.616318
56,UMI-77,42MGBA,GB,2.958390,2.679653,0.006631,-0.201753
57,AZD5153,5637,BLCA,2.466127,1.986838,0.486960,0.244286
58,AZD5991,5637,BLCA,5.820345,5.012986,0.737634,0.449738
59,AZD6738,5637,BLCA,2.027117,2.574668,-0.020622,0.353987
60,BMS-754807,5637,BLCA,1.665762,1.451408,-0.249015,-0.356312
61,Bortezomib,5637,BLCA,-5.057753,-4.742018,-0.298258,-0.002734
62,Dacarbazine,5637,BLCA,4.543159,5.481768,-1.118499,-0.125415
63,Doramapimod,5637,BLCA,5.200058,5.464020,0.219635,0.441774
64,Irinotecan,5637,BLCA,2.161042,2.030783,-0.170319,-0.237661
65,L-Oxonoreleagnine,5637,BLCA,3.724792,3.749814,-0.085274,-0.052912
66,LJI308,5637,BLCA,5.417477,5.025697,0.407569,0.044167
67,Motesanib,5637,BLCA,5.823758,5.585556,0.302137,0.091988
68,Nelarabine,5637,BLCA,6.095601,5.687309,0.075598,-0.301185
69,OF-1,5637,BLCA,4.316373,4.046868,0.166646,-0.063690
70,Picolinici-acid,5637,BLCA,4.481905,5.314881,-0.975684,0.057108
71,Pictilisib,5637,BLCA,1.436848,1.151253,0.171454,-0.054607
72,SB216763,5637,BLCA,4.869955,4.710679,-0.299059,-0.452370
73,SN-38,5637,BLCA,-4.537337,-3.405225,-0.658255,-0.343531
74,Topotecan,5637,BLCA,-0.574155,-0.147599,-0.359559,-0.139978
75,Ulixertinib,5637,BLCA,2.780809,2.534420,0.155342,-0.008525
76,AZD5363,639V,UCU,3.137377,3.442612,0.200817,0.412506
77,AZD5438,639V,UCU,2.059120,1.613616,-0.205094,-0.498563
78,Dihydrorotenone,639V,UCU,0.004777,0.323857,-0.494628,-0.292394
79,Dinaciclib,639V,UCU,-3.042293,-3.237413,-0.263229,-0.395661
80,EPZ004777,639V,UCU,4.421653,5.140474,-0.748963,-0.013246
81,IWP-2,639V,UCU,1.436979,2.720238,-1.598266,-0.167573
82,MK-8776,639V,UCU,4.327863,3.407990,0.773827,0.218504
83,MN-64,639V,UCU,5.032525,4.818431,0.346585,0.139942
84,Paclitaxel,639V,UCU,-3.880692,-3.367877,-0.508251,-0.253968
85,Pevonedistat,639V,UCU,-1.137647,-1.139332,-0.935472,-0.936257
86,Rucaparib,639V,UCU,4.741023,4.006345,0.709680,0.018175
87,Sabutoclax,639V,UCU,-1.315522,-1.257644,-0.761476,-0.715887
88,Serdemetan,639V,UCU,4.129406,3.877814,0.296642,0.099537
89,Sinularin,639V,UCU,3.056955,3.065355,-0.603567,-0.595043
90,Taselisib,639V,UCU,2.765864,2.518196,0.589535,0.443346
91,Telomerase Inhibitor IX,639V,UCU,-0.375634,-0.058654,-0.835529,-0.578483
92,UMI-77,639V,UCU,4.713360,2.043488,1.318652,-0.677352
93,UNC0638,639V,UCU,4.701384,4.534403,0.396466,0.279408
94,VX-11e,639V,UCU,3.724253,3.271083,0.718660,0.397816
95,ABT737,647V,BLCA,3.443263,2.330536,0.763464,0.221646
96,AZD5363,647V,BLCA,3.430208,3.597197,0.403904,0.519716
97,Bromosporine,647V,BLCA,2.582657,3.259472,0.140254,0.679493
98,Carmustine,647V,BLCA,5.747663,5.890389,-0.461151,-0.314801
99,Dactolisib,647V,BLCA,-1.134338,-1.480761,0.263246,0.020956
100,Docetaxel,647V,BLCA,-4.232215,-1.437276,-0.319804,0.776851
101,Entinostat,647V,BLCA,2.909232,1.834324,0.536889,-0.119723
102,Epirubicin,647V,BLCA,-1.847760,-1.954702,-0.588610,-0.651854
103,I-BET-762,647V,BLCA,3.935046,3.907537,0.478455,0.461064
104,Luminespib,647V,BLCA,-1.540991,-1.876084,0.320718,0.136352
105,Mycophenolic acid,647V,BLCA,0.693734,1.303748,-0.717668,-0.320401
106,PCI-34051,647V,BLCA,4.550601,4.816986,0.120188,0.327306
107,Palbociclib,647V,BLCA,5.057745,4.690639,0.999335,0.768110
108,RVX-208,647V,BLCA,5.649462,5.116815,0.846017,0.351168
109,Romidepsin,647V,BLCA,-5.124042,-5.232806,0.115861,0.007503
110,Sorafenib,647V,BLCA,2.895656,2.640790,0.288332,0.078633
111,Teniposide,647V,BLCA,-0.260882,-0.507028,-0.369492,-0.493637
112,WZ4003,647V,BLCA,4.658872,4.592632,0.364503,0.316334
113,ZM447439,647V,BLCA,1.838385,3.412785,-0.432874,0.489981
114,5-Fluorouracil,697,BLL,2.253101,2.275522,-1.243853,-1.230815
115,ABT737,697,BLL,-2.458444,-3.536681,-2.110240,-2.635263
116,AZD2014,697,BLL,-0.249461,1.226153,-1.646351,-0.628401
117,Bortezomib,697,BLL,-5.433288,-5.922573,-0.649755,-1.107721
118,Carmustine,697,BLL,4.284964,5.030957,-1.960987,-1.196053
119,Dabrafenib,697,BLL,0.768096,3.294303,-1.881583,-0.519084
120,Fulvestrant,697,BLL,2.365352,2.458559,-1.081005,-1.007222
121,GW441756,697,BLL,2.230069,2.175393,-1.304367,-1.363251
122,L-Oxonoreleagnine,697,BLL,2.979721,2.850211,-1.048926,-1.216430
123,Lenalidomide,697,BLL,3.205714,3.545506,-1.895615,-1.578452
124,Linsitinib,697,BLL,2.338151,3.297910,-1.230059,-0.504179
125,ML323,697,BLL,3.227182,3.683433,-1.239988,-0.807768
126,Olaparib,697,BLL,0.636699,1.683238,-2.760093,-1.956148
127,PFI-1,697,BLL,1.500032,2.246452,-2.268369,-1.605546
128,Pevonedistat,697,BLL,-1.360520,-2.167114,-1.039244,-1.414805
129,Selumetinib,697,BLL,3.473996,3.645012,-0.054388,0.037801
130,Staurosporine,697,BLL,-5.550027,-4.089131,-1.990397,-0.935320
131,Vincristine,697,BLL,-4.715096,-5.886465,-1.182898,-1.630080
132,YK-4-279,697,BLL,-0.571283,0.096817,-1.706621,-1.302083
133,AT13148,769P,CCRCC,2.203389,3.292856,-0.827364,-0.152269
134,AZD5363,769P,CCRCC,4.055360,3.641653,0.837465,0.550547
135,AZD5438,769P,CCRCC,1.612122,1.626940,-0.499547,-0.489786
136,AZD6738,769P,CCRCC,0.765420,0.837358,-0.883815,-0.834598
137,Avagacestat,769P,CCRCC,4.316661,4.718262,-0.412699,-0.038112
138,BIBR-1532,769P,CCRCC,4.713760,5.088254,-0.251623,0.117803
139,EPZ5676,769P,CCRCC,4.514918,5.632568,-0.999343,0.087121
140,Erlotinib,769P,CCRCC,1.718921,1.337541,-0.870318,-1.133546
141,Foretinib,769P,CCRCC,1.896629,1.146526,0.724541,0.173911
142,Ipatasertib,769P,CCRCC,4.882299,3.883150,1.015816,0.329292
143,LGK974,769P,CCRCC,4.178542,4.507533,-0.053895,0.243127
144,MK-2206,769P,CCRCC,3.854256,3.091186,0.758907,0.245995
145,OSI-027,769P,CCRCC,2.113458,2.976721,-0.315576,0.262295
146,POMHEX,769P,CCRCC,0.327573,1.090749,-0.774433,-0.177418
147,RO-3306,769P,CCRCC,3.229151,3.631590,-0.172204,0.076498
148,SB590885,769P,CCRCC,3.663632,4.615047,-0.500685,0.201243
149,Sapitinib,769P,CCRCC,1.694619,1.234761,-1.142464,-1.399716
150,Topotecan,769P,CCRCC,0.850496,0.575433,0.373819,0.232223
151,Wnt-C59,769P,CCRCC,4.178601,4.776587,-0.145560,0.400344
152,AZD1208,8305C,THAP,6.064875,5.845001,0.811261,0.595524
153,AZD5991,8305C,THAP,6.552555,6.111777,0.998732,0.841555
154,Alisertib,8305C,THAP,4.145539,3.172112,1.117153,0.691838
155,Avagacestat,8305C,THAP,5.728806,5.074990,0.904458,0.294621
156,BIBR-1532,8305C,THAP,5.855407,5.349877,0.874571,0.375884
157,BMS-754807,8305C,THAP,2.959540,3.471753,0.398603,0.654998
158,Bortezomib,8305C,THAP,-5.407090,-4.507401,-0.625234,0.216865
159,Cyclophosphamide,8305C,THAP,4.944026,5.510545,-0.354664,0.282797
160,EPZ5676,8305C,THAP,6.949407,6.575219,1.367218,1.003470
161,Elephantin,8305C,THAP,3.158964,4.186827,-0.295661,0.411676
162,GDC0810,8305C,THAP,5.404304,5.820679,0.335201,0.775562
163,Motesanib,8305C,THAP,6.505874,6.542423,0.903920,0.936165
164,PD0325901,8305C,THAP,0.894676,0.260680,-0.209813,-0.505335
165,Ruxolitinib,8305C,THAP,5.702450,5.824438,0.778318,0.883263
166,UMI-77,8305C,THAP,2.892551,2.526725,-0.042590,-0.316083
167,Uprosertib,8305C,THAP,5.676236,3.911610,1.647170,0.613603
168,Vinorelbine,8305C,THAP,-3.510849,-1.903117,-0.241809,0.520673
169,WEHI-539,8305C,THAP,4.726874,3.899744,0.610580,0.128861
170,alpha-lipoic acid,8305C,THAP,8.931910,8.843132,1.312908,1.221438
171,5-Fluorouracil,8505C,THAP,6.413517,6.078304,1.175332,0.980413
172,AGK2,8505C,THAP,3.859648,3.774526,0.642174,0.550325
173,AMG-319,8505C,THAP,5.277653,5.257453,0.406098,0.388963
174,AZD5363,8505C,THAP,4.558547,4.713625,1.186441,1.293992
175,Dasatinib,8505C,THAP,1.130638,1.689139,-0.067381,0.172930
176,EHT-1864,8505C,THAP,3.790626,4.442217,0.114283,0.776853
177,Fludarabine,8505C,THAP,6.811961,5.307383,1.050366,0.275819
178,GSK1904529A,8505C,THAP,4.010058,4.886175,-0.306658,0.486892
179,I-BRD9,8505C,THAP,4.354906,4.667342,-0.002602,0.242633
180,KRAS (G12C) Inhibitor-12,8505C,THAP,5.112625,6.137010,0.432497,1.100152
181,NVP-ADW742,8505C,THAP,2.473992,2.995226,-0.277242,0.076713
182,Palbociclib,8505C,THAP,5.415702,4.434335,1.224797,0.606675
183,SCH772984,8505C,THAP,1.489080,1.280075,-0.549286,-0.663176
184,SGC-CBP30,8505C,THAP,2.816790,4.118437,-1.595818,-0.123109
185,Selumetinib,8505C,THAP,2.925933,3.257077,-0.349829,-0.171321
186,Tamoxifen,8505C,THAP,3.413916,4.325772,-0.459179,0.285599
187,Teniposide,8505C,THAP,0.160227,1.051167,-0.157104,0.292245
188,Vinorelbine,8505C,THAP,-2.352096,-0.880777,0.307740,1.005527
189,WIKI4,8505C,THAP,3.678508,3.846210,-0.058107,0.116287
190,AZD5582,8MGBA,GB,1.043294,-0.281311,-0.475772,-1.041337
191,AZD6738,8MGBA,GB,0.077780,0.875125,-1.354265,-0.808760
192,AZD8055,8MGBA,GB,-0.643402,-0.698537,-0.443764,-0.483961
193,Alisertib,8MGBA,GB,1.989729,1.748744,0.175225,0.069933
194,Cediranib,8MGBA,GB,1.891010,1.651225,-0.318793,-0.519891
195,Irinotecan,8MGBA,GB,0.716542,1.070129,-0.917103,-0.734304
196,Methotrexate,8MGBA,GB,1.089936,-1.587351,0.296092,-0.778450
197,Navitoclax,8MGBA,GB,2.980672,2.804262,0.593466,0.506537
198,Nelarabine,8MGBA,GB,6.207241,5.783822,0.178623,-0.212120
199,OSI-027,8MGBA,GB,4.528547,2.633899,1.301092,0.032809
200,POMHEX,8MGBA,GB,0.718858,1.118258,-0.468340,-0.155898
201,SB590885,8MGBA,GB,4.087907,3.759250,-0.187667,-0.430140
202,SGC0946,8MGBA,GB,1.566321,1.873516,-0.673705,-0.289022
203,Sabutoclax,8MGBA,GB,-2.058116,-0.755697,-1.346396,-0.320518
204,Taselisib,8MGBA,GB,1.370331,1.890741,-0.234196,0.072983
205,Temozolomide,8MGBA,GB,4.714795,5.965124,-1.189168,-0.229645
206,UNC0638,8MGBA,GB,3.124807,3.888812,-0.708752,-0.173166
207,Vincristine,8MGBA,GB,-3.030746,-2.366444,-0.539878,-0.286274
208,Vorinostat,8MGBA,GB,1.333485,1.009510,-0.141241,-0.438318
209,AZD5991,A101D,MEL,4.140862,5.581590,0.138748,0.652496
210,BI-2536,A101D,MEL,-1.946281,-0.041025,-0.362402,0.365396
211,BMS-345541,A101D,MEL,4.974567,2.685081,1.284892,-0.449001
212,Bromosporine,A101D,MEL,2.010181,1.991570,-0.315856,-0.330684
213,Fludarabine,A101D,MEL,4.887141,4.680799,0.059481,-0.046743
214,GSK1904529A,A101D,MEL,5.391914,4.417202,0.944970,0.062116
215,GW441756,A101D,MEL,2.560479,3.571383,-0.948529,0.140174
216,MIRA-1,A101D,MEL,3.594124,5.730285,-1.331377,0.399090
217,Methotrexate,A101D,MEL,1.868041,0.004068,0.608389,-0.139726
218,Mirin,A101D,MEL,4.675386,4.414363,-0.090739,-0.311277
219,N-acetyl cysteine,A101D,MEL,10.288385,10.280050,0.336250,0.326702
220,Olaparib,A101D,MEL,4.371187,4.446677,0.108720,0.166710
221,PLX-4720,A101D,MEL,1.355216,0.597313,-1.937656,-2.451481
222,Picolinici-acid,A101D,MEL,5.388484,5.591326,0.148366,0.399867
223,Trametinib,A101D,MEL,-2.414401,-3.348063,-1.165649,-1.579163
224,VE-822,A101D,MEL,4.977676,3.553048,1.030328,0.235280
225,Vismodegib,A101D,MEL,5.355740,5.156229,0.413289,0.210122
226,WEHI-539,A101D,MEL,2.960597,4.134731,-0.418096,0.265717
227,Wnt-C59,A101D,MEL,5.357343,4.616803,0.930519,0.254477
228,5-azacytidine,A172,GB,2.617426,2.628470,-0.266603,-0.258662
229,AZD1208,A172,GB,5.010788,5.407655,-0.222990,0.166408
230,Alpelisib,A172,GB,5.111692,4.038037,1.180056,0.417098
231,Entospletinib,A172,GB,3.899912,3.340674,0.185749,-0.271714
232,Erlotinib,A172,GB,3.242695,2.553305,0.181392,-0.294426
233,LJI308,A172,GB,5.810623,5.071012,0.772239,0.086200
234,Lenalidomide,A172,GB,5.141135,5.513469,-0.089089,0.258448
235,MIRA-1,A172,GB,4.932833,5.591955,-0.246913,0.287031
236,N-acetyl cysteine,A172,GB,10.183549,9.995760,0.216145,0.001004
237,PCI-34051,A172,GB,4.719609,4.639150,0.251594,0.189036
238,PD0325901,A172,GB,1.347392,1.683937,0.001210,0.158082
239,PRT062607,A172,GB,5.169051,3.549077,1.429766,0.269844
240,Pyridostatin,A172,GB,2.315231,2.774303,-0.966040,-0.612821
241,SCH772984,A172,GB,2.161601,2.044588,-0.182822,-0.246584
242,SGC0946,A172,GB,1.488325,1.993032,-0.771375,-0.139359
243,Schweinfurthin A,A172,GB,2.016340,1.380033,0.392276,0.120420
244,Taselisib,A172,GB,2.556110,1.645926,0.465725,-0.071522
245,UMI-77,A172,GB,3.812158,2.469249,0.644910,-0.359052
246,alpha-lipoic acid,A172,GB,7.715651,7.850336,0.059763,0.198533
247,AGI-6780,A204,ERMS,3.472037,4.338520,-0.803735,-0.005886
248,AGK2,A204,ERMS,3.564841,3.392928,0.324067,0.138567
249,AZD4547,A204,ERMS,0.339747,0.107805,-1.717566,-1.862507
250,Afatinib,A204,ERMS,1.794422,2.094901,0.134880,0.337767
251,CPI-637,A204,ERMS,3.859467,5.364552,-0.203202,0.841237
252,Foretinib,A204,ERMS,-0.703307,-0.464192,-1.184001,-1.008473
253,GSK2110183B,A204,ERMS,4.568831,4.035199,0.814243,0.471590
254,LGK974,A204,ERMS,3.888268,3.550229,-0.315963,-0.621155
255,ML323,A204,ERMS,4.711155,4.401342,0.165824,-0.127672
256,OSI-027,A204,ERMS,3.048196,4.419088,0.310141,1.227820
257,PFI3,A204,ERMS,6.188995,5.405441,0.941291,0.009816
258,POMHEX,A204,ERMS,0.936227,1.389447,-0.298297,0.056246
259,RVX-208,A204,ERMS,6.238468,5.525116,1.393226,0.730495
260,Ribociclib,A204,ERMS,2.610377,3.653480,-0.856921,-0.004142
261,Romidepsin,A204,ERMS,-3.138684,-4.408303,2.093803,0.828926
262,Sapitinib,A204,ERMS,4.301403,5.168369,0.315811,0.800806
263,Talazoparib,A204,ERMS,3.184699,2.856851,0.188462,0.040439
264,Ulixertinib,A204,ERMS,2.988522,2.825849,0.293486,0.185297
265,Wnt-C59,A204,ERMS,4.770286,4.433625,0.394592,0.087253
266,AGK2,A2058,MEL,4.130224,2.885748,0.934135,-0.408697
267,Avagacestat,A2058,MEL,4.633071,4.880419,-0.117572,0.113138
268,BMS-536924,A2058,MEL,2.495848,3.112494,0.280125,0.726603
269,Bosutinib,A2058,MEL,2.915397,3.252348,0.193702,0.413642
270,Buparlisib,A2058,MEL,0.474838,0.576159,-0.697586,-0.590080
271,Cyclophosphamide,A2058,MEL,4.330896,5.055878,-1.044572,-0.228805
272,Erlotinib,A2058,MEL,2.200801,2.857083,-0.537724,-0.084758
273,GSK2606414,A2058,MEL,2.921861,3.802401,-0.710330,0.013815
274,GSK2830371,A2058,MEL,5.179110,5.232829,-0.207024,-0.161350
275,GW441756,A2058,MEL,3.235097,3.026241,-0.221993,-0.446922
276,Luminespib,A2058,MEL,-4.093846,-2.547613,-1.083844,-0.233118
277,MK-8776,A2058,MEL,4.439542,3.079410,0.841247,0.020141
278,Motesanib,A2058,MEL,5.178935,5.404002,-0.266745,-0.068184
279,Oxaliplatin,A2058,MEL,4.990412,4.439402,0.392942,0.083978
280,Remodelin,A2058,MEL,5.180717,4.866819,0.314247,0.043135
281,Sapitinib,A2058,MEL,4.445513,5.051449,0.396428,0.735399
282,Staurosporine,A2058,MEL,-2.019963,-2.112871,0.559058,0.491959
283,Vismodegib,A2058,MEL,4.136872,4.834622,-0.827914,-0.117378
284,Wnt-C59,A2058,MEL,3.836039,4.259008,-0.458286,-0.072156
285,5-Fluorouracil,A253,OCSC,5.225380,5.051574,0.484458,0.383394
286,BMS-345541,A253,OCSC,3.842889,4.328625,0.427840,0.795702
287,Bleomycin,A253,OCSC,1.655635,1.787174,-0.688523,-0.596822
288,Cisplatin,A253,OCSC,1.757981,2.825770,-0.796379,-0.220858
289,Fludarabine,A253,OCSC,5.180279,5.483601,0.210386,0.366535
290,L-Oxonoreleagnine,A253,OCSC,4.072053,3.642759,0.363862,-0.191373
291,LGK974,A253,OCSC,4.118171,3.278329,-0.108400,-0.866634
292,Leflunomide,A253,OCSC,5.482364,5.087114,0.487277,0.054560
293,Lestaurtinib,A253,OCSC,1.427737,0.756099,0.892140,0.476805
294,Methotrexate,A253,OCSC,0.331955,-0.523755,-0.008127,-0.351571
295,OF-1,A253,OCSC,3.891981,2.604152,-0.196066,-1.296725
296,PRIMA-1MET,A253,OCSC,5.986690,6.014978,0.869803,0.885501
297,RVX-208,A253,OCSC,4.494019,5.180778,-0.227434,0.410592
298,Ribociclib,A253,OCSC,3.903565,4.284789,0.200312,0.511978
299,Savolitinib,A253,OCSC,2.386663,2.562682,-0.297219,-0.149361
300,Tanespimycin,A253,OCSC,-0.975443,-0.949876,-0.563312,-0.547208
301,Telomerase Inhibitor IX,A253,OCSC,0.794833,0.760044,0.113630,0.085419
302,Temozolomide,A253,OCSC,6.333632,6.329573,0.053154,0.050039
303,Topotecan,A253,OCSC,-0.684863,-1.324035,-0.416549,-0.745581
304,AGI-5198,A2780,EOV,5.207704,4.512016,0.554881,-0.211647
305,AZ6102,A2780,EOV,1.458666,1.864991,-1.072845,-0.712901
306,AZD5153,A2780,EOV,-1.236829,-1.389446,-1.387924,-1.465197
307,AZD5438,A2780,EOV,1.008355,1.140702,-0.897270,-0.810089
308,AZD7762,A2780,EOV,-0.038305,-0.482674,-0.131417,-0.419458
309,AZD8186,A2780,EOV,1.219426,2.420507,-1.363971,-0.508641
310,Dactinomycin,A2780,EOV,-5.736467,-5.724461,-1.042879,-1.036503
311,Dihydrorotenone,A2780,EOV,0.099428,1.039199,-0.434638,0.160992
312,EPZ5676,A2780,EOV,5.882110,5.256214,0.329701,-0.278732
313,GSK2110183B,A2780,EOV,-0.014238,0.985905,-2.128612,-1.486405
314,JQ1,A2780,EOV,-0.450034,-0.523596,-1.267916,-1.305592
315,Lapatinib,A2780,EOV,2.311933,2.623802,-0.573239,-0.376281
316,P22077,A2780,EOV,3.796217,3.178207,-0.404112,-0.812791
317,SB590885,A2780,EOV,2.837744,3.908221,-1.110001,-0.320233
318,Telomerase Inhibitor IX,A2780,EOV,-1.137306,-0.688412,-1.453187,-1.089168
319,UMI-77,A2780,EOV,1.622131,2.119263,-0.992360,-0.620702
320,Ulixertinib,A2780,EOV,0.191344,0.694218,-1.566842,-1.232394
321,VE-822,A2780,EOV,1.163975,2.207769,-1.098000,-0.515485
322,YK-4-279,A2780,EOV,1.062501,0.550138,-0.717358,-1.027596
323,AGI-6780,A375,MEL,4.560145,4.316607,0.198185,-0.026063
324,AZD1208,A375,MEL,6.024223,5.651382,0.771374,0.405549
325,Afatinib,A375,MEL,1.766163,1.827572,0.115799,0.157263
326,Cytarabine,A375,MEL,-0.694056,0.357482,-0.987205,-0.525768
327,Dacarbazine,A375,MEL,6.440827,5.670216,0.889307,0.073971
328,Dactolisib,A375,MEL,-2.545258,-2.119368,-0.723559,-0.425689
329,EPZ004777,A375,MEL,5.315495,5.247203,0.165889,0.095991
330,Elephantin,A375,MEL,1.720378,2.660586,-1.285642,-0.638626
331,Fludarabine,A375,MEL,4.187087,4.818728,-0.300903,0.024262
332,GSK1904529A,A375,MEL,4.710503,4.234471,0.327776,-0.103394
333,I-BRD9,A375,MEL,4.797080,4.156894,0.344466,-0.158024
334,IWP-2,A375,MEL,3.860566,2.927793,1.103766,0.063827
335,JNK Inhibitor VIII,A375,MEL,5.037224,5.253221,-0.062107,0.162622
336,Linsitinib,A375,MEL,3.250594,4.450956,-0.539965,0.367886
337,NVP-ADW742,A375,MEL,1.985126,2.181199,-0.609217,-0.476070
338,PCI-34051,A375,MEL,3.554352,3.824252,-0.654409,-0.444558
339,Palbociclib,A375,MEL,2.905160,2.820412,-0.356489,-0.409868
340,Pictilisib,A375,MEL,1.189834,1.279233,-0.024069,0.046695
341,Teniposide,A375,MEL,-1.663808,-1.010477,-1.077063,-0.747553
342,Ulixertinib,A375,MEL,0.305227,0.087407,-1.491102,-1.635968
343,Wnt-C59,A375,MEL,3.930353,4.443306,-0.372186,0.096090
344,5-Fluorouracil,A388,CSCC,4.201614,2.942093,-0.110838,-0.843220
345,Axitinib,A388,CSCC,2.581038,2.444745,-0.192327,-0.273593
346,BMS-536924,A388,CSCC,2.890956,2.309334,0.566200,0.145080
347,GSK269962A,A388,CSCC,4.306532,2.368401,1.244065,-0.081267
348,GW441756,A388,CSCC,4.193932,3.903152,0.810634,0.497476
349,Ibrutinib,A388,CSCC,1.007407,0.314089,-1.681751,-2.064224
350,Irinotecan,A388,CSCC,1.288292,1.264658,-0.621517,-0.633736
351,JNK Inhibitor VIII,A388,CSCC,3.681113,4.477028,-1.473045,-0.644952
352,Osimertinib,A388,CSCC,0.331200,-0.220441,-1.032947,-1.463999
353,RO-3306,A388,CSCC,1.692142,1.936372,-1.122057,-0.971126
354,Rucaparib,A388,CSCC,4.426681,4.262998,0.413810,0.259746
355,SB590885,A388,CSCC,5.157287,5.009986,0.601292,0.492617
356,SN-38,A388,CSCC,-4.794919,-4.495588,-0.729862,-0.646649
357,Savolitinib,A388,CSCC,3.536192,3.082355,0.668403,0.287173
358,Uprosertib,A388,CSCC,1.257072,2.608562,-0.941198,-0.149611
359,Wnt-C59,A388,CSCC,5.777743,5.122228,1.314304,0.715881
360,A-366,A3KAW,DLBCLNOS,3.287992,3.816271,-1.542809,-1.029766
361,AT13148,A3KAW,DLBCLNOS,1.768406,2.967513,-1.096904,-0.353870
362,AZD5991,A3KAW,DLBCLNOS,-3.139455,-2.348238,-2.457335,-2.175196
