drug,cell_line,IC50,OncotreeCode
WEHI-539,HL60,3.762251,AML
WIKI4,HL60,2.307919,AML
WZ4003,HL60,3.666695,AML
Wee1 Inhibitor,HL60,0.84796,AML
Wnt-C59,HL60,3.23988,AML
XAV939,HL60,4.349326,AML
YK-4-279,HL60,0.316688,AML
ZM447439,HL60,-0.106262,AML
Zoledronate,HL60,3.148767,AML
alpha-lipoic acid,HL60,5.007582,AML
glutathione,HL60,8.188005,AML
5-Fluorouracil,HEL,2.462663,AML
ABT737,HEL,0.727914,AML
AGI-5198,HEL,4.37324,AML
AGI-6780,HEL,3.053522,AML
AGK2,HEL,3.435404,AML
AMG-319,HEL,4.372633,AML
AT13148,HEL,2.924252,AML
AZ6102,HEL,1.741545,AML
AZ960,HEL,-0.45043,AML
AZD1208,HEL,3.969908,AML
AZD1332,HEL,3.827417,AML
AZD2014,HEL,1.990833,AML
AZD3759,HEL,1.690591,AML
AZD4547,HEL,2.660068,AML
AZD5153,HEL,-1.579341,AML
AZD5363,HEL,4.258594,AML
AZD5438,HEL,1.373512,AML
AZD5582,HEL,4.464754,AML
AZD5991,HEL,4.373228,AML
AZD6482,HEL,3.83721,AML
AZD6738,HEL,-0.401548,AML
AZD7762,HEL,-1.444233,AML
AZD8186,HEL,4.372257,AML
Acetalax,HEL,5.229914,AML
Afatinib,HEL,1.830878,AML
Afuresertib,HEL,2.702003,AML
Alisertib,HEL,2.270216,AML
Alpelisib,HEL,3.426936,AML
Avagacestat,HEL,4.044609,AML
Axitinib,HEL,2.380458,AML
BI-2536,HEL,-2.490341,AML
BIBR-1532,HEL,4.341508,AML
BMS-345541,HEL,1.703818,AML
BMS-536924,HEL,1.081879,AML
BMS-754807,HEL,2.841303,AML
BX795,HEL,2.011093,AML
Bicalutamide,HEL,4.373083,AML
Bleomycin,HEL,2.162377,AML
Bortezomib,HEL,-5.526198,AML
Bosutinib,HEL,1.223188,AML
Bromosporine,HEL,1.232807,AML
Buparlisib,HEL,1.076224,AML
CCT-018159,HEL,2.639738,AML
CCT007093,HEL,3.671145,AML
CHIR-99021,HEL,1.043535,AML
CZC24832,HEL,4.457007,AML
Camptothecin,HEL,-3.978419,AML
Carmustine,HEL,4.675045,AML
Cediranib,HEL,1.947726,AML
Crizotinib,HEL,1.63062,AML
Cyclophosphamide,HEL,4.371572,AML
Dabrafenib,HEL,3.765882,AML
Dacarbazine,HEL,4.485565,AML
Dactinomycin,HEL,-4.093321,AML
Dactolisib,HEL,-2.54546,AML
Daporinad,HEL,-5.692192,AML
Dasatinib,HEL,2.165652,AML
Dihydrorotenone,HEL,2.003986,AML
Dinaciclib,HEL,-3.721416,AML
Docetaxel,HEL,-2.894219,AML
Doramapimod,HEL,2.989417,AML
EHT-1864,HEL,2.898275,AML
EPZ004777,HEL,3.648165,AML
EPZ5676,HEL,4.556531,AML
Elephantin,HEL,2.249668,AML
Elesclomol,HEL,-3.873658,AML
Entinostat,HEL,0.481834,AML
Entospletinib,HEL,2.510442,AML
Epirubicin,HEL,-1.974206,AML
Erlotinib,HEL,2.832938,AML
Fludarabine,HEL,1.096348,AML
Foretinib,HEL,2.901355,AML
Fulvestrant,HEL,2.61263,AML
GDC0810,HEL,4.373016,AML
GNE-317,HEL,1.206981,AML
GSK-LSD1,HEL,-1.014576,AML
GSK1904529A,HEL,4.18719,AML
GSK2110183B,HEL,3.164307,AML
GSK2578215A,HEL,3.7717,AML
GSK2606414,HEL,2.635478,AML
GSK269962A,HEL,2.759768,AML
GSK2801,HEL,4.201838,AML
GSK343,HEL,1.867207,AML
GSK591,HEL,2.624115,AML
GW441756,HEL,2.751303,AML
Gallibiscoquinazole,HEL,2.008598,AML
Gefitinib,HEL,2.442367,AML
Gemcitabine,HEL,-4.820891,AML
I-BET-762,HEL,1.439985,AML
I-BRD9,HEL,2.473141,AML
IOX2,HEL,1.277448,AML
IWP-2,HEL,2.290308,AML
Ibrutinib,HEL,3.803914,AML
Ipatasertib,HEL,3.972406,AML
Irinotecan,HEL,1.118997,AML
JNK Inhibitor VIII,HEL,3.199606,AML
JQ1,HEL,-0.718532,AML
KRAS (G12C) Inhibitor-12,HEL,3.869663,AML
KU-55933,HEL,4.139366,AML
L-Oxonoreleagnine,HEL,1.962914,AML
LCL161,HEL,4.511036,AML
LGK974,HEL,3.820743,AML
LJI308,HEL,4.167601,AML
LMP744,HEL,-2.995625,AML
LY2109761,HEL,3.744833,AML
Lapatinib,HEL,2.532252,AML
Leflunomide,HEL,3.650549,AML
Lenalidomide,HEL,4.367074,AML
Lestaurtinib,HEL,-0.851305,AML
Linsitinib,HEL,3.230307,AML
Luminespib,HEL,-3.507849,AML
MG-132,HEL,-1.846089,AML
MIRA-1,HEL,3.277142,AML
MK-1775,HEL,-1.025868,AML
MK-2206,HEL,3.271386,AML
MK-8776,HEL,0.553272,AML
ML323,HEL,3.72267,AML
MN-64,HEL,2.697512,AML
Methotrexate,HEL,-2.372109,AML
Mirin,HEL,3.667897,AML
Mitoxantrone,HEL,-1.480227,AML
Motesanib,HEL,4.093971,AML
NU7441,HEL,1.688381,AML
NVP-ADW742,HEL,3.816078,AML
Navitoclax,HEL,-0.098989,AML
Nelarabine,HEL,3.647548,AML
Nilotinib,HEL,3.046639,AML
Niraparib,HEL,1.954565,AML
Nutlin-3a (-),HEL,4.287108,AML
OF-1,HEL,4.031677,AML
OSI-027,HEL,1.843611,AML
OTX015,HEL,-0.090018,AML
Obatoclax Mesylate,HEL,1.18841,AML
Olaparib,HEL,3.503609,AML
Osimertinib,HEL,1.743062,AML
Oxaliplatin,HEL,2.097369,AML
P22077,HEL,1.974511,AML
PCI-34051,HEL,2.604943,AML
PD0325901,HEL,2.94561,AML
PD173074,HEL,2.836276,AML
PF-4708671,HEL,2.541509,AML
PFI-1,HEL,2.288104,AML
PFI3,HEL,4.011434,AML
PLX-4720,HEL,3.103018,AML
PRIMA-1MET,HEL,2.840747,AML
PRT062607,HEL,2.055156,AML
Paclitaxel,HEL,-2.214539,AML
Palbociclib,HEL,1.188299,AML
Pevonedistat,HEL,-2.09157,AML
Picolinici-acid,HEL,4.305891,AML
Pictilisib,HEL,1.988692,AML
Piperlongumine,HEL,1.168082,AML
Podophyllotoxin bromide,HEL,-1.467516,AML
Pyridostatin,HEL,4.373158,AML
RO-3306,HEL,1.500782,AML
RVX-208,HEL,4.288528,AML
Rapamycin,HEL,-1.231258,AML
Refametinib,HEL,4.266376,AML
Ribociclib,HEL,2.030058,AML
Romidepsin,HEL,-5.02797,AML
Rucaparib,HEL,3.221512,AML
Ruxolitinib,HEL,1.434941,AML
SB216763,HEL,2.228604,AML
SB505124,HEL,3.876046,AML
SB590885,HEL,3.544834,AML
SCH772984,HEL,3.395692,AML
SGC-CBP30,HEL,3.113634,AML
SGC0946,HEL,1.168598,AML
SL0101,HEL,3.070563,AML
SN-38,HEL,-4.767978,AML
Sabutoclax,HEL,-1.540775,AML
Sapitinib,HEL,3.910589,AML
Savolitinib,HEL,1.108371,AML
Schweinfurthin A,HEL,-1.57222,AML
Selumetinib,HEL,4.37794,AML
Sepantronium bromide,HEL,-1.83873,AML
Serdemetan,HEL,2.50108,AML
Sinularin,HEL,2.954225,AML
Sorafenib,HEL,1.859532,AML
Staurosporine,HEL,-3.532707,AML
Talazoparib,HEL,0.547618,AML
Tamoxifen,HEL,4.306699,AML
Tanespimycin,HEL,0.217353,AML
Taselisib,HEL,4.241866,AML
Telomerase Inhibitor IX,HEL,0.007884,AML
Temozolomide,HEL,4.056126,AML
Temsirolimus,HEL,0.472727,AML
Teniposide,HEL,-1.205994,AML
Topotecan,HEL,-1.103777,AML
Tozasertib,HEL,1.441849,AML
Trametinib,HEL,1.549934,AML
Tretinoin,HEL,3.764337,AML
Ulixertinib,HEL,3.630857,AML
Uprosertib,HEL,3.792156,AML
VE-822,HEL,-0.014849,AML
VE821,HEL,0.905257,AML
VX-11e,HEL,2.47524,AML
Veliparib,HEL,4.214052,AML
Venetoclax,HEL,2.791771,AML
Vincristine,HEL,-1.987847,AML
Vinorelbine,HEL,-2.338475,AML
Vismodegib,HEL,3.815731,AML
Vorinostat,HEL,-0.043489,AML
WEHI-539,HEL,0.162486,AML
WIKI4,HEL,3.705608,AML
WZ4003,HEL,3.187116,AML
Wee1 Inhibitor,HEL,0.035601,AML
Wnt-C59,HEL,3.354435,AML
XAV939,HEL,3.142521,AML
YK-4-279,HEL,2.033787,AML
ZM447439,HEL,2.134254,AML
Zoledronate,HEL,2.616975,AML
5-Fluorouracil,MONOMAC6,0.072576,AMOL
5-azacytidine,MONOMAC6,-0.026691,AMOL
A-366,MONOMAC6,2.943793,AMOL
ABT737,MONOMAC6,-0.383812,AMOL
AGI-5198,MONOMAC6,3.6054,AMOL
AGK2,MONOMAC6,1.891061,AMOL
AMG-319,MONOMAC6,3.168427,AMOL
AT13148,MONOMAC6,2.515083,AMOL
AZ6102,MONOMAC6,1.096492,AMOL
AZD3759,MONOMAC6,2.26116,AMOL
AZD4547,MONOMAC6,0.93736,AMOL
AZD5363,MONOMAC6,0.668029,AMOL
AZD6738,MONOMAC6,0.37761,AMOL
AZD7762,MONOMAC6,-5.224524,AMOL
AZD8055,MONOMAC6,-0.519294,AMOL
AZD8186,MONOMAC6,0.329936,AMOL
Afatinib,MONOMAC6,0.410422,AMOL
Afuresertib,MONOMAC6,-0.969202,AMOL
Alisertib,MONOMAC6,1.402632,AMOL
Alpelisib,MONOMAC6,3.08351,AMOL
Avagacestat,MONOMAC6,3.139284,AMOL
Axitinib,MONOMAC6,1.635504,AMOL
BI-2536,MONOMAC6,-4.694406,AMOL
BIBR-1532,MONOMAC6,3.771469,AMOL
BMS-536924,MONOMAC6,-1.039763,AMOL
BMS-754807,MONOMAC6,1.114902,AMOL
Bleomycin (50 uM),MONOMAC6,4.258549,AMOL
Bortezomib,MONOMAC6,-5.692622,AMOL
Bosutinib,MONOMAC6,-0.189497,AMOL
Buparlisib,MONOMAC6,-0.259172,AMOL
CCT007093,MONOMAC6,4.779869,AMOL
CPI-637,MONOMAC6,1.387387,AMOL
Camptothecin,MONOMAC6,-3.878581,AMOL
Cediranib,MONOMAC6,0.724321,AMOL
Cisplatin,MONOMAC6,1.057342,AMOL
Crizotinib,MONOMAC6,0.863304,AMOL
Cyclophosphamide,MONOMAC6,4.761188,AMOL
Cytarabine,MONOMAC6,1.6038,AMOL
Dabrafenib,MONOMAC6,1.593584,AMOL
Dactinomycin,MONOMAC6,-5.551418,AMOL
Dactolisib,MONOMAC6,-3.14532,AMOL
Daporinad,MONOMAC6,-6.360406,AMOL
Dasatinib,MONOMAC6,0.601436,AMOL
Docetaxel,MONOMAC6,-5.362865,AMOL
Doramapimod,MONOMAC6,3.319389,AMOL
EHT-1864,MONOMAC6,2.119919,AMOL
EPZ004777,MONOMAC6,3.643607,AMOL
EPZ5676,MONOMAC6,3.383985,AMOL
Epirubicin,MONOMAC6,-1.279449,AMOL
Erlotinib,MONOMAC6,1.927682,AMOL
Foretinib,MONOMAC6,-5.432385,AMOL
Fulvestrant,MONOMAC6,1.171788,AMOL
GDC0810,MONOMAC6,4.653824,AMOL
GNE-317,MONOMAC6,-0.384044,AMOL
GSK1904529A,MONOMAC6,3.361578,AMOL
GSK2578215A,MONOMAC6,3.959929,AMOL
GSK2830371,MONOMAC6,3.840053,AMOL
GSK343,MONOMAC6,3.167461,AMOL
GSK591,MONOMAC6,3.8941,AMOL
GW441756,MONOMAC6,1.51788,AMOL
Gefitinib,MONOMAC6,1.772904,AMOL
Gemcitabine,MONOMAC6,-4.843396,AMOL
I-BRD9,MONOMAC6,1.345108,AMOL
ICL-SIRT078,MONOMAC6,2.162168,AMOL
Ipatasertib,MONOMAC6,0.422304,AMOL
Irinotecan,MONOMAC6,0.09869,AMOL
JNK Inhibitor VIII,MONOMAC6,4.696689,AMOL
JQ1,MONOMAC6,-1.728477,AMOL
KU-55933,MONOMAC6,3.387302,AMOL
LGK974,MONOMAC6,2.712634,AMOL
LJI308,MONOMAC6,3.392309,AMOL
Lapatinib,MONOMAC6,2.895672,AMOL
Lenalidomide,MONOMAC6,3.754978,AMOL
Lestaurtinib,MONOMAC6,-4.419524,AMOL
Linsitinib,MONOMAC6,3.131902,AMOL
Luminespib,MONOMAC6,-4.936914,AMOL
MG-132,MONOMAC6,-2.050918,AMOL
MIM1,MONOMAC6,3.957696,AMOL
MIRA-1,MONOMAC6,3.90638,AMOL
MK-1775,MONOMAC6,-1.030491,AMOL
MK-2206,MONOMAC6,0.212378,AMOL
MK-8776,MONOMAC6,-0.148302,AMOL
Methotrexate,MONOMAC6,-4.703608,AMOL
Motesanib,MONOMAC6,4.225031,AMOL
Mycophenolic acid,MONOMAC6,1.003588,AMOL
N-acetyl cysteine,MONOMAC6,9.400527,AMOL
NU7441,MONOMAC6,1.289203,AMOL
NVP-ADW742,MONOMAC6,0.556723,AMOL
Navitoclax,MONOMAC6,1.415579,AMOL
Nilotinib,MONOMAC6,1.801977,AMOL
Nutlin-3a (-),MONOMAC6,4.336738,AMOL
OSI-027,MONOMAC6,1.119575,AMOL
Obatoclax Mesylate,MONOMAC6,-0.9275,AMOL
Olaparib,MONOMAC6,3.170312,AMOL
Osimertinib,MONOMAC6,0.550132,AMOL
Oxaliplatin,MONOMAC6,1.637134,AMOL
P22077,MONOMAC6,0.986203,AMOL
PD0325901,MONOMAC6,0.066447,AMOL
PD173074,MONOMAC6,2.519559,AMOL
PFI-1,MONOMAC6,1.465349,AMOL
PLX-4720,MONOMAC6,0.4971,AMOL
POMHEX,MONOMAC6,-0.161213,AMOL
Paclitaxel,MONOMAC6,-5.82445,AMOL
Palbociclib,MONOMAC6,1.859921,AMOL
Pevonedistat,MONOMAC6,-4.033075,AMOL
Pictilisib,MONOMAC6,-0.349823,AMOL
Pyridostatin,MONOMAC6,2.796411,AMOL
RO-3306,MONOMAC6,2.053315,AMOL
Rapamycin,MONOMAC6,-3.108759,AMOL
Refametinib,MONOMAC6,-0.360598,AMOL
Ribociclib,MONOMAC6,3.069551,AMOL
Rucaparib,MONOMAC6,2.372484,AMOL
SB216763,MONOMAC6,4.602899,AMOL
SB590885,MONOMAC6,4.086722,AMOL
SCH772984,MONOMAC6,1.356441,AMOL
SGC0946,MONOMAC6,1.478139,AMOL
SN-38,MONOMAC6,-5.062373,AMOL
Sapitinib,MONOMAC6,3.48152,AMOL
Savolitinib,MONOMAC6,0.797373,AMOL
Selumetinib,MONOMAC6,1.823184,AMOL
Sepantronium bromide,MONOMAC6,-4.214986,AMOL
Serdemetan,MONOMAC6,1.89959,AMOL
Sorafenib,MONOMAC6,-4.572455,AMOL
Staurosporine,MONOMAC6,-5.909916,AMOL
TW 37,MONOMAC6,0.312281,AMOL
Talazoparib,MONOMAC6,0.707492,AMOL
Tamoxifen,MONOMAC6,1.862034,AMOL
Tanespimycin,MONOMAC6,-1.510369,AMOL
Taselisib,MONOMAC6,-0.266481,AMOL
Telomerase Inhibitor IX,MONOMAC6,-0.722456,AMOL
Temozolomide,MONOMAC6,3.176285,AMOL
Temsirolimus,MONOMAC6,-0.181792,AMOL
Trametinib,MONOMAC6,-1.376072,AMOL
UMI-77,MONOMAC6,1.620338,AMOL
UNC0379,MONOMAC6,1.334856,AMOL
UNC0638,MONOMAC6,1.883743,AMOL
Ulixertinib,MONOMAC6,1.703154,AMOL
Uprosertib,MONOMAC6,1.111944,AMOL
VE821,MONOMAC6,2.003538,AMOL
VX-11e,MONOMAC6,1.284252,AMOL
Veliparib,MONOMAC6,3.977152,AMOL
Venetoclax,MONOMAC6,0.578429,AMOL
Vinblastine,MONOMAC6,-6.359207,AMOL
Vinorelbine,MONOMAC6,-4.617505,AMOL
Vismodegib,MONOMAC6,4.084193,AMOL
Vorinostat,MONOMAC6,0.087911,AMOL
WEHI-539,MONOMAC6,2.517096,AMOL
WIKI4,MONOMAC6,4.778531,AMOL
Wee1 Inhibitor,MONOMAC6,-0.52499,AMOL
YK-4-279,MONOMAC6,0.335603,AMOL
ZM447439,MONOMAC6,0.962118,AMOL
alpha-lipoic acid,MONOMAC6,6.211133,AMOL
glutathione,MONOMAC6,8.923178,AMOL
5-Fluorouracil,LS513,1.742438,COAD
5-azacytidine,LS513,3.380988,COAD
A-366,LS513,3.638545,COAD
AGI-6780,LS513,4.47839,COAD
AGK2,LS513,2.611247,COAD
AT13148,LS513,4.4434,COAD
AZ6102,LS513,0.798365,COAD
AZ960,LS513,2.629074,COAD
AZD1208,LS513,3.668332,COAD
AZD1332,LS513,4.486385,COAD
AZD2014,LS513,1.281718,COAD
AZD3759,LS513,1.446812,COAD
AZD4547,LS513,3.99813,COAD
AZD5153,LS513,2.064885,COAD
AZD5438,LS513,0.993794,COAD
AZD5582,LS513,4.829677,COAD
AZD5991,LS513,6.149584,COAD
AZD7762,LS513,0.715533,COAD
AZD8055,LS513,-0.138152,COAD
Acetalax,LS513,5.590222,COAD
Afatinib,LS513,-0.259734,COAD
Alisertib,LS513,0.25052,COAD
Alpelisib,LS513,3.180765,COAD
Avagacestat,LS513,4.887107,COAD
Axitinib,LS513,2.513083,COAD
BI-2536,LS513,-0.877715,COAD
BMS-345541,LS513,2.135081,COAD
BMS-754807,LS513,-1.114806,COAD
Bleomycin,LS513,2.038504,COAD
Bleomycin (50 uM),LS513,1.510962,COAD
Bosutinib,LS513,3.329184,COAD
Bromosporine,LS513,1.947817,COAD
CCT007093,LS513,5.698212,COAD
CPI-637,LS513,5.611521,COAD
CZC24832,LS513,4.956259,COAD
Camptothecin,LS513,-3.160246,COAD
Carmustine,LS513,6.951097,COAD
Cisplatin,LS513,2.919147,COAD
Crizotinib,LS513,1.277685,COAD
Dabrafenib,LS513,4.404782,COAD
Dacarbazine,LS513,6.567301,COAD
Dactinomycin,LS513,-3.760591,COAD
Daporinad,LS513,-3.855835,COAD
Dasatinib,LS513,2.264065,COAD
Dihydrorotenone,LS513,2.075017,COAD
Dinaciclib,LS513,-2.886744,COAD
Docetaxel,LS513,-3.711243,COAD
Doramapimod,LS513,5.35352,COAD
EHT-1864,LS513,3.170517,COAD
EPZ004777,LS513,5.859496,COAD
EPZ5676,LS513,5.133465,COAD
Elephantin,LS513,1.96435,COAD
Entinostat,LS513,1.350856,COAD
Entospletinib,LS513,4.500123,COAD
Fludarabine,LS513,3.534461,COAD
Fulvestrant,LS513,6.0177,COAD
GSK-LSD1,LS513,1.683692,COAD
GSK1904529A,LS513,4.405936,COAD
GSK2110183B,LS513,1.405565,COAD
GSK2606414,LS513,3.552131,COAD
GSK2801,LS513,5.172107,COAD
GSK2830371,LS513,5.658243,COAD
GSK343,LS513,3.158856,COAD
GSK591,LS513,4.441317,COAD
GW441756,LS513,3.981601,COAD
Gallibiscoquinazole,LS513,3.494294,COAD
Gemcitabine,LS513,-3.243612,COAD
I-BET-762,LS513,3.169127,COAD
IWP-2,LS513,3.441628,COAD
Ibrutinib,LS513,4.813731,COAD
Irinotecan,LS513,1.813011,COAD
JNK Inhibitor VIII,LS513,5.540519,COAD
JQ1,LS513,1.464482,COAD
KRAS (G12C) Inhibitor-12,LS513,4.124174,COAD
KU-55933,LS513,5.775309,COAD
L-Oxonoreleagnine,LS513,4.146112,COAD
LCL161,LS513,5.528602,COAD
LGK974,LS513,4.447995,COAD
LJI308,LS513,4.729262,COAD
LMP744,LS513,-0.66299,COAD
LY2109761,LS513,4.92314,COAD
Lapatinib,LS513,1.37076,COAD
Leflunomide,LS513,5.065966,COAD
Lenalidomide,LS513,5.504545,COAD
Lestaurtinib,LS513,0.024441,COAD
Linsitinib,LS513,1.593206,COAD
Luminespib,LS513,-3.726129,COAD
MG-132,LS513,-1.429434,COAD
MIRA-1,LS513,4.312625,COAD
MK-1775,LS513,-0.595952,COAD
MK-2206,LS513,0.824578,COAD
ML323,LS513,4.24133,COAD
MN-64,LS513,5.071992,COAD
