drug,cell_line,IC50
Bleomycin,2313287,1.457645
Bleomycin (50 uM),2313287,2.323286
Bortezomib,2313287,-5.380804
Bosutinib,2313287,3.661781
Bromosporine,2313287,2.611873
Buparlisib,2313287,-0.051021
CCT007093,2313287,5.482005
CPI-637,2313287,5.462926
CZC24832,2313287,4.370623
Carmustine,2313287,6.075636
Cediranib,2313287,1.636159
Cisplatin,2313287,3.955512
Crizotinib,2313287,4.191522
Cyclophosphamide,2313287,4.4969
Cytarabine,2313287,0.064147
Dabrafenib,2313287,5.447447
Dacarbazine,2313287,4.982337
Dactinomycin,2313287,-4.584971
Dactolisib,2313287,-2.652253
Dasatinib,2313287,1.797167
Dihydrorotenone,2313287,0.68211
Dinaciclib,2313287,-3.018051
Docetaxel,2313287,-4.809455
EHT-1864,2313287,3.728607
EPZ004777,2313287,5.516564
EPZ5676,2313287,5.67488
Elephantin,2313287,3.92072
Entinostat,2313287,2.205643
Entospletinib,2313287,3.930231
Epirubicin,2313287,-1.983839
Erlotinib,2313287,1.939712
Fludarabine,2313287,3.431512
Foretinib,2313287,1.257734
Fulvestrant,2313287,3.554671
GDC0810,2313287,4.527326
GNE-317,2313287,-0.836541
GSK-LSD1,2313287,2.965709
GSK1904529A,2313287,3.312799
GSK2578215A,2313287,5.077134
GSK2606414,2313287,3.058416
GSK2801,2313287,5.289963
GSK2830371,2313287,5.059934
GSK343,2313287,2.946924
GSK591,2313287,3.417379
GW441756,2313287,3.216714
Gefitinib,2313287,1.812306
Gemcitabine,2313287,-2.099618
I-BET-762,2313287,3.634758
I-BRD9,2313287,3.415534
IWP-2,2313287,3.052355
Ibrutinib,2313287,5.160096
Ipatasertib,2313287,1.733251
Irinotecan,2313287,1.902587
JNK Inhibitor VIII,2313287,3.922216
JQ1,2313287,4.865214
KRAS (G12C) Inhibitor-12,2313287,4.164429
KU-55933,2313287,5.581813
L-Oxonoreleagnine,2313287,4.001974
LCL161,2313287,5.404232
LGK974,2313287,4.003138
LJI308,2313287,4.93024
LMP744,2313287,-1.361712
LY2109761,2313287,5.450591
Lapatinib,2313287,4.26973
Leflunomide,2313287,4.743808
Lenalidomide,2313287,5.582124
Lestaurtinib,2313287,1.372905
Linsitinib,2313287,4.284938
Luminespib,2313287,-1.859361
MG-132,2313287,-1.292265
MIM1,2313287,4.327698
MK-1775,2313287,-0.256284
MK-8776,2313287,1.554945
ML323,2313287,3.916913
MN-64,2313287,5.023536
Mirin,2313287,3.197273
Mitoxantrone,2313287,0.125025
Mycophenolic acid,2313287,0.077616
N-acetyl cysteine,2313287,10.82495
NVP-ADW742,2313287,2.289179
Navitoclax,2313287,1.58544
Nelarabine,2313287,5.887139
Nilotinib,2313287,3.733159
Niraparib,2313287,3.725851
Nutlin-3a (-),2313287,2.295281
OF-1,2313287,4.324027
OSI-027,2313287,3.464966
OTX015,2313287,2.180041
Obatoclax Mesylate,2313287,0.369399
Olaparib,2313287,4.566102
Osimertinib,2313287,1.630155
Oxaliplatin,2313287,4.634089
P22077,2313287,4.907228
PCI-34051,2313287,4.640009
PD173074,2313287,4.429554
PFI-1,2313287,4.768688
PLX-4720,2313287,4.398104
POMHEX,2313287,0.971656
PRIMA-1MET,2313287,4.652616
PRT062607,2313287,3.089265
Paclitaxel,2313287,-3.802334
Palbociclib,2313287,3.650016
Pevonedistat,2313287,1.087398
Picolinici-acid,2313287,5.230739
Pictilisib,2313287,-0.396882
Podophyllotoxin bromide,2313287,-1.36968
Pyridostatin,2313287,2.543121
RO-3306,2313287,4.230573
RVX-208,2313287,4.242455
Rapamycin,2313287,-3.486065
Refametinib,2313287,3.538659
Remodelin,2313287,3.825581
Ribociclib,2313287,4.16252
Romidepsin,2313287,-6.017003
Rucaparib,2313287,4.886243
Ruxolitinib,2313287,5.336832
SB216763,2313287,4.449548
SB590885,2313287,2.894281
SCH772984,2313287,1.492693
SGC-CBP30,2313287,3.396226
SGC0946,2313287,1.206339
SN-38,2313287,-4.132899
Sapitinib,2313287,3.479025
Savolitinib,2313287,3.04877
Schweinfurthin A,2313287,3.26609
Sepantronium bromide,2313287,-2.742315
Serdemetan,2313287,4.431206
Sinularin,2313287,4.323651
Sorafenib,2313287,2.381499
Staurosporine,2313287,-2.691654
Talazoparib,2313287,2.400849
Tamoxifen,2313287,2.981867
Tanespimycin,2313287,-0.110948
Taselisib,2313287,0.374033
Telomerase Inhibitor IX,2313287,0.646066
Temozolomide,2313287,6.038605
Temsirolimus,2313287,3.279539
Teniposide,2313287,-0.766155
Topotecan,2313287,-0.277198
Trametinib,2313287,-0.04015
UMI-77,2313287,5.191789
UNC0379,2313287,3.844909
UNC0638,2313287,3.929582
Ulixertinib,2313287,2.42168
Uprosertib,2313287,0.206492
VE-822,2313287,3.920743
VE821,2313287,2.323267
VX-11e,2313287,1.709132
Veliparib,2313287,5.242125
Venetoclax,2313287,2.43075
Vinblastine,2313287,-4.849422
Vincristine,2313287,-3.352305
Vinorelbine,2313287,-5.303091
Vismodegib,2313287,4.599548
Vorinostat,2313287,0.841386
WEHI-539,2313287,4.742718
WIKI4,2313287,3.742506
WZ4003,2313287,3.335395
Wee1 Inhibitor,2313287,1.73779
Wnt-C59,2313287,5.18045
YK-4-279,2313287,1.858958
ZM447439,2313287,4.268715
Zoledronate,2313287,3.495034
alpha-lipoic acid,2313287,8.049302
glutathione,2313287,9.724013
5-Fluorouracil,42MGBA,3.463535
5-azacytidine,42MGBA,4.006919
ABT737,42MGBA,3.019768
AGI-5198,42MGBA,4.67581
AGI-6780,42MGBA,4.800848
AMG-319,42MGBA,5.249305
AT13148,42MGBA,2.996339
AZ6102,42MGBA,2.46583
AZ960,42MGBA,1.068616
AZD1332,42MGBA,2.001949
AZD2014,42MGBA,0.590397
AZD3759,42MGBA,2.929658
AZD4547,42MGBA,0.940075
AZD5153,42MGBA,0.809973
AZD5363,42MGBA,1.402678
AZD5438,42MGBA,1.92523
AZD5582,42MGBA,1.597808
AZD5991,42MGBA,5.380108
AZD6738,42MGBA,1.563113
AZD8055,42MGBA,-1.172429
AZD8186,42MGBA,1.911277
Acetalax,42MGBA,6.005236
Afatinib,42MGBA,1.51765
Alisertib,42MGBA,1.831971
Alpelisib,42MGBA,2.978787
Avagacestat,42MGBA,5.04635
Axitinib,42MGBA,1.550759
BI-2536,42MGBA,-0.33469
BMS-345541,42MGBA,2.199552
BMS-536924,42MGBA,1.657473
Bleomycin,42MGBA,1.163228
Bleomycin (50 uM),42MGBA,0.317024
Bortezomib,42MGBA,-4.659351
Bosutinib,42MGBA,2.475355
Bromosporine,42MGBA,1.248978
Buparlisib,42MGBA,0.506238
CCT007093,42MGBA,5.494452
CPI-637,42MGBA,4.696925
CZC24832,42MGBA,4.793608
Carmustine,42MGBA,6.318086
Cediranib,42MGBA,0.297605
Cisplatin,42MGBA,1.947185
Crizotinib,42MGBA,2.514039
Cyclophosphamide,42MGBA,5.146743
Cytarabine,42MGBA,1.02911
Dabrafenib,42MGBA,4.551239
Dacarbazine,42MGBA,5.704826
Dactinomycin,42MGBA,-4.240733
Dactolisib,42MGBA,-3.284562
Dasatinib,42MGBA,-2.233603
Dihydrorotenone,42MGBA,1.692589
Dinaciclib,42MGBA,-3.425905
Docetaxel,42MGBA,-4.197747
EHT-1864,42MGBA,4.456416
EPZ004777,42MGBA,5.348384
EPZ5676,42MGBA,5.12209
Elephantin,42MGBA,3.502209
Entinostat,42MGBA,2.25313
Entospletinib,42MGBA,2.530688
Epirubicin,42MGBA,-2.502029
Erlotinib,42MGBA,3.757966
Fludarabine,42MGBA,5.019483
Foretinib,42MGBA,-0.983323
Fulvestrant,42MGBA,4.044374
GDC0810,42MGBA,4.769617
GNE-317,42MGBA,-0.717033
GSK-LSD1,42MGBA,1.795945
GSK1904529A,42MGBA,4.35379
GSK2578215A,42MGBA,5.223372
GSK2606414,42MGBA,2.505355
GSK2801,42MGBA,3.688976
GSK2830371,42MGBA,5.418216
GSK343,42MGBA,2.898053
GSK591,42MGBA,4.289157
GW441756,42MGBA,2.309665
Gefitinib,42MGBA,3.859928
Gemcitabine,42MGBA,-3.505899
I-BET-762,42MGBA,3.274633
I-BRD9,42MGBA,3.995978
IWP-2,42MGBA,2.466811
Ibrutinib,42MGBA,4.086713
Ipatasertib,42MGBA,1.910873
Irinotecan,42MGBA,1.758628
JNK Inhibitor VIII,42MGBA,5.332763
JQ1,42MGBA,2.225217
KRAS (G12C) Inhibitor-12,42MGBA,3.837258
KU-55933,42MGBA,4.752155
L-Oxonoreleagnine,42MGBA,3.857442
LCL161,42MGBA,5.182218
LGK974,42MGBA,3.552349
LJI308,42MGBA,5.366567
LMP744,42MGBA,-2.088609
LY2109761,42MGBA,4.269563
Lapatinib,42MGBA,2.862019
Leflunomide,42MGBA,5.820363
Lenalidomide,42MGBA,4.587284
Lestaurtinib,42MGBA,-1.121262
Linsitinib,42MGBA,4.797675
Luminespib,42MGBA,-2.763309
MG-132,42MGBA,-1.203532
MIM1,42MGBA,1.841237
MK-1775,42MGBA,2.263411
MK-8776,42MGBA,2.363113
ML323,42MGBA,4.757732
MN-64,42MGBA,5.274987
Mirin,42MGBA,3.979042
Mitoxantrone,42MGBA,1.648676
Mycophenolic acid,42MGBA,1.645319
N-acetyl cysteine,42MGBA,10.562669
NVP-ADW742,42MGBA,1.882459
Navitoclax,42MGBA,3.039967
Nelarabine,42MGBA,6.008658
Nilotinib,42MGBA,1.981261
Niraparib,42MGBA,2.141029
Nutlin-3a (-),42MGBA,5.526467
OF-1,42MGBA,5.277071
OSI-027,42MGBA,3.473819
OTX015,42MGBA,2.326419
Obatoclax Mesylate,42MGBA,-0.244292
Olaparib,42MGBA,3.854428
Osimertinib,42MGBA,1.476367
Oxaliplatin,42MGBA,4.042886
P22077,42MGBA,3.965393
PCI-34051,42MGBA,4.859893
PD173074,42MGBA,2.618633
PFI-1,42MGBA,3.184244
PLX-4720,42MGBA,4.576039
POMHEX,42MGBA,2.411405
PRIMA-1MET,42MGBA,5.835448
PRT062607,42MGBA,2.29599
Paclitaxel,42MGBA,-3.4191
Palbociclib,42MGBA,4.653438
Pevonedistat,42MGBA,-0.107953
Picolinici-acid,42MGBA,4.344206
Pictilisib,42MGBA,0.274934
Podophyllotoxin bromide,42MGBA,-0.760715
Pyridostatin,42MGBA,3.324895
RO-3306,42MGBA,2.963352
RVX-208,42MGBA,4.161641
Rapamycin,42MGBA,-3.671158
Refametinib,42MGBA,3.592946
Remodelin,42MGBA,5.373179
Ribociclib,42MGBA,3.326225
Romidepsin,42MGBA,-6.415517
Rucaparib,42MGBA,4.402465
Ruxolitinib,42MGBA,3.988743
SB216763,42MGBA,3.473748
SB590885,42MGBA,2.917534
SCH772984,42MGBA,2.977984
SGC-CBP30,42MGBA,3.362517
SGC0946,42MGBA,0.559561
SN-38,42MGBA,-4.737156
Sapitinib,42MGBA,4.217907
Savolitinib,42MGBA,1.897844
Schweinfurthin A,42MGBA,1.587523
Sepantronium bromide,42MGBA,-5.091972
Serdemetan,42MGBA,3.436663
Sinularin,42MGBA,2.356127
Sorafenib,42MGBA,1.815
Staurosporine,42MGBA,-6.169164
Talazoparib,42MGBA,1.730879
Tamoxifen,42MGBA,3.777206
Tanespimycin,42MGBA,-1.562517
Taselisib,42MGBA,0.862667
Telomerase Inhibitor IX,42MGBA,0.078527
Temozolomide,42MGBA,5.558648
Temsirolimus,42MGBA,-0.074308
Teniposide,42MGBA,0.463593
Topotecan,42MGBA,-0.594814
Trametinib,42MGBA,1.621553
UMI-77,42MGBA,2.95839
UNC0379,42MGBA,2.159285
UNC0638,42MGBA,1.498297
Ulixertinib,42MGBA,3.144438
Uprosertib,42MGBA,1.682161
VE-822,42MGBA,4.368484
VE821,42MGBA,4.139067
VX-11e,42MGBA,2.888991
Veliparib,42MGBA,5.494452
Venetoclax,42MGBA,3.420714
Vinblastine,42MGBA,-4.784344
Vincristine,42MGBA,-2.142335
Vinorelbine,42MGBA,-3.92769
Vismodegib,42MGBA,4.630255
Vorinostat,42MGBA,1.798856
WEHI-539,42MGBA,4.416343
WIKI4,42MGBA,3.680767
WZ4003,42MGBA,3.841572
Wee1 Inhibitor,42MGBA,2.954539
Wnt-C59,42MGBA,4.566166
YK-4-279,42MGBA,1.718554
ZM447439,42MGBA,1.733829
Zoledronate,42MGBA,3.555198
alpha-lipoic acid,42MGBA,7.968063
glutathione,42MGBA,9.650432
5-Fluorouracil,5637,3.119772
5-azacytidine,5637,3.782612
ABT737,5637,2.575344
AGI-5198,5637,4.444254
AGI-6780,5637,4.580505
AMG-319,5637,4.83608
AT13148,5637,5.322276
AZ6102,5637,2.26455
AZ960,5637,2.096996
AZD1332,5637,2.730895
AZD2014,5637,1.708351
AZD3759,5637,1.011487
AZD4547,5637,2.584857
AZD5153,5637,2.466127
AZD5363,5637,3.490349
AZD5438,5637,3.177289
AZD5582,5637,2.294117
AZD5991,5637,5.820345
AZD6738,5637,2.027117
AZD8055,5637,0.406151
AZD8186,5637,3.703313
Acetalax,5637,6.566649
Afatinib,5637,-0.074435
Alisertib,5637,0.00492
Alpelisib,5637,3.466124
Avagacestat,5637,5.709539
Axitinib,5637,2.41971
BI-2536,5637,-2.853553
BMS-345541,5637,4.431866
BMS-536924,5637,1.760168
Bleomycin,5637,0.764463
Bleomycin (50 uM),5637,0.851102
Bortezomib,5637,-5.057753
Bosutinib,5637,1.613296
Bromosporine,5637,3.277524
Buparlisib,5637,0.399348
CCT007093,5637,5.362502
CPI-637,5637,4.836286
CZC24832,5637,5.144301
Carmustine,5637,5.650336
Cediranib,5637,2.673825
Cisplatin,5637,1.967072
Crizotinib,5637,2.786628
Cyclophosphamide,5637,5.260269
Cytarabine,5637,2.336405
Dabrafenib,5637,4.675027
Dacarbazine,5637,4.543159
Dactinomycin,5637,-4.321517
Dactolisib,5637,-1.311019
Dasatinib,5637,-1.829021
Dihydrorotenone,5637,0.10147
Dinaciclib,5637,-1.895834
Docetaxel,5637,-5.552507
EHT-1864,5637,3.915698
EPZ004777,5637,5.607262
EPZ5676,5637,6.087377
Elephantin,5637,4.090364
Entinostat,5637,0.983006
Entospletinib,5637,3.914994
Epirubicin,5637,-1.439446
Erlotinib,5637,0.727383
Fludarabine,5637,4.459346
Foretinib,5637,0.405319
Fulvestrant,5637,3.408911
GDC0810,5637,4.292892
GNE-317,5637,0.668317
GSK-LSD1,5637,2.842746
GSK1904529A,5637,5.506965
GSK2578215A,5637,5.274009
GSK2606414,5637,3.110327
GSK2801,5637,5.395494
GSK2830371,5637,5.823758
GSK343,5637,4.049857
GSK591,5637,2.974086
GW441756,5637,2.811992
Gefitinib,5637,1.75332
Gemcitabine,5637,-1.727881
I-BET-762,5637,4.122461
I-BRD9,5637,5.616224
IWP-2,5637,3.322088
Ibrutinib,5637,3.888823
Ipatasertib,5637,4.903796
Irinotecan,5637,2.161042
JNK Inhibitor VIII,5637,5.739344
JQ1,5637,1.754692
KRAS (G12C) Inhibitor-12,5637,3.604831
KU-55933,5637,4.69976
L-Oxonoreleagnine,5637,3.724792
LCL161,5637,5.148428
LGK974,5637,3.966326
LJI308,5637,5.417477
LMP744,5637,0.059423
LY2109761,5637,5.814686
Lapatinib,5637,1.960664
Leflunomide,5637,4.441121
Lenalidomide,5637,5.154858
Lestaurtinib,5637,-0.716298
Linsitinib,5637,4.1813
Luminespib,5637,-2.199417
MG-132,5637,-1.414558
MIM1,5637,3.825302
MK-1775,5637,-0.402769
MK-8776,5637,3.670074
ML323,5637,5.438441
MN-64,5637,5.705697
Mirin,5637,5.00453
Mitoxantrone,5637,1.126619
Mycophenolic acid,5637,0.924286
N-acetyl cysteine,5637,9.302236
NVP-ADW742,5637,3.115142
Navitoclax,5637,2.542011
Nelarabine,5637,6.095601
Nilotinib,5637,4.35631
Niraparib,5637,4.323888
Nutlin-3a (-),5637,5.086789
OF-1,5637,4.316373
OSI-027,5637,4.392862
OTX015,5637,2.799707
Obatoclax Mesylate,5637,0.090634
Olaparib,5637,3.837026
Osimertinib,5637,0.456103
Oxaliplatin,5637,4.574511
P22077,5637,4.096179
PCI-34051,5637,5.811113
PD173074,5637,4.349249
PFI-1,5637,3.698494
PLX-4720,5637,4.083145
POMHEX,5637,2.329785
PRIMA-1MET,5637,3.935467
PRT062607,5637,3.38283
Paclitaxel,5637,-4.413742
Palbociclib,5637,4.24777
Pevonedistat,5637,0.215762
Picolinici-acid,5637,4.481905
Pictilisib,5637,1.436848
Podophyllotoxin bromide,5637,-1.047518
Pyridostatin,5637,2.593502
RO-3306,5637,2.896605
RVX-208,5637,5.461083
Rapamycin,5637,-0.116397
Refametinib,5637,2.078167
Remodelin,5637,4.403773
Ribociclib,5637,4.347599
Romidepsin,5637,-5.559258
Rucaparib,5637,3.438974
Ruxolitinib,5637,5.718623
SB216763,5637,4.869955
SB590885,5637,3.350051
SCH772984,5637,2.180232
SGC-CBP30,5637,4.338736
SGC0946,5637,2.060922
Sabutoclax,5637,0.287935
Sapitinib,5637,1.497376
Savolitinib,5637,1.86583
Schweinfurthin A,5637,3.521172
Selumetinib,5637,3.890699
Sepantronium bromide,5637,-3.776555
Serdemetan,5637,4.012974
Sinularin,5637,3.78182
Sorafenib,5637,2.871749
Staurosporine,5637,-2.863106
Talazoparib,5637,2.190209
Tamoxifen,5637,3.996928
Tanespimycin,5637,-0.72209
Taselisib,5637,1.752948
Telomerase Inhibitor IX,5637,0.000966
Temozolomide,5637,5.803221
Temsirolimus,5637,1.818908
Teniposide,5637,0.071189
Topotecan,5637,-0.574155
Trametinib,5637,-0.275098
UMI-77,5637,3.853876
UNC0379,5637,3.482313
UNC0638,5637,5.13061
Ulixertinib,5637,2.780809
Uprosertib,5637,4.351562
VE-822,5637,4.62002
VE821,5637,3.833946
VX-11e,5637,2.737102
Veliparib,5637,5.366005
Venetoclax,5637,2.468903
Vinorelbine,5637,-5.252216
Vismodegib,5637,5.663732
Vorinostat,5637,1.402849
WEHI-539,5637,3.247579
WIKI4,5637,3.462311
WZ4003,5637,4.365862
Wee1 Inhibitor,5637,1.865172
Wnt-C59,5637,4.251821
YK-4-279,5637,0.064226
ZM447439,5637,0.973189
Zoledronate,5637,4.025886
glutathione,5637,9.215303
5-Fluorouracil,639V,4.576423
5-azacytidine,639V,1.772178
ABT737,639V,4.428017
AGI-5198,639V,3.950307
AGI-6780,639V,3.66037
AMG-319,639V,4.607891
AT13148,639V,5.440979
AZ6102,639V,2.632185
AZ960,639V,1.976809
AZD1332,639V,1.716269
AZD2014,639V,2.00615
AZD3759,639V,3.346244
AZD4547,639V,1.61002
AZD5153,639V,1.855209
AZD5363,639V,3.137377
AZD5438,639V,2.05912
AZD5582,639V,3.650519
AZD5991,639V,4.967389
AZD6738,639V,2.920853
AZD8055,639V,1.622552
AZD8186,639V,2.697791
Acetalax,639V,5.587867
Afatinib,639V,1.555421
Alisertib,639V,1.43505
Alpelisib,639V,4.29494
Avagacestat,639V,5.470553
Axitinib,639V,2.532798
BI-2536,639V,-2.321403
BMS-345541,639V,2.202127
BMS-536924,639V,1.833926
Bleomycin,639V,2.024172
Bleomycin (50 uM),639V,0.756407
Bortezomib,639V,-5.208505
Bosutinib,639V,3.005275
Bromosporine,639V,1.80838
Buparlisib,639V,0.851848
CCT007093,639V,5.250043
CPI-637,639V,3.745984
CZC24832,639V,5.167173
Carmustine,639V,5.06554
Cediranib,639V,1.706099
Cisplatin,639V,0.856091
Crizotinib,639V,3.535273
Cyclophosphamide,639V,4.897454
Cytarabine,639V,2.729686
Dabrafenib,639V,5.378866
Dacarbazine,639V,5.102638
Dactinomycin,639V,-4.725271
Dactolisib,639V,-0.71837
Dasatinib,639V,1.391965
Dihydrorotenone,639V,0.004777
Dinaciclib,639V,-3.042293
Docetaxel,639V,-4.66561
EHT-1864,639V,2.943229
EPZ004777,639V,4.421653
EPZ5676,639V,4.430285
Elephantin,639V,2.82952
Entinostat,639V,4.310271
Entospletinib,639V,3.880573
Epirubicin,639V,-2.372181
Erlotinib,639V,2.552416
Fludarabine,639V,5.82099
Foretinib,639V,0.399388
Fulvestrant,639V,3.650181
GDC0810,639V,5.011047
GNE-317,639V,0.782784
