,drug,cell_line,OncotreeCode,IC50,Drug_Name,IC50_mean,IC50_std,Z-Score
101,Palbociclib,NCIH1693,LUAD,4.266099,Palbociclib,3.471142,1.587659,0.761724
102,Pevonedistat,NCIH1693,LUAD,2.556074,Pevonedistat,0.871473,2.147707,-0.041496
103,Picolinici-acid,NCIH1693,LUAD,7.088135,Picolinici-acid,5.268822,0.806529,-0.190183
104,Pictilisib,NCIH1693,LUAD,2.072652,Pictilisib,1.220241,1.263352,0.384365
105,RO-3306,NCIH1693,LUAD,7.401014,RO-3306,3.507804,1.618155,0.088897
106,RVX-208,NCIH1693,LUAD,7.052664,RVX-208,4.738824,1.076382,-0.09318
107,Ribociclib,NCIH1693,LUAD,6.045611,Ribociclib,3.658547,1.223182,0.480381
108,Rucaparib,NCIH1693,LUAD,4.906762,Rucaparib,3.987035,1.062433,0.317388
109,Ruxolitinib,NCIH1693,LUAD,6.159668,Ruxolitinib,4.797735,1.162398,0.341499
110,SB216763,NCIH1693,LUAD,4.763955,SB216763,5.18065,1.038908,-0.078562
111,SB590885,NCIH1693,LUAD,5.630407,SB590885,4.342276,1.355433,0.27972
112,SGC0946,NCIH1693,LUAD,3.880318,SGC0946,2.104319,0.798566,0.336858
113,SN-38,NCIH1693,LUAD,-1.016327,SN-38,-2.169489,3.597159,0.190473
114,Sabutoclax,NCIH1693,LUAD,0.91643,Sabutoclax,-0.348779,1.269565,0.075949
115,Sapitinib,NCIH1693,LUAD,2.768859,Sapitinib,3.736865,1.78758,0.248633
116,Savolitinib,NCIH1693,LUAD,2.926237,Savolitinib,2.740489,1.190454,-0.047671
117,Sepantronium bromide,NCIH1693,LUAD,-6.301236,Sepantronium bromide,-4.169654,1.627967,-0.653352
118,Serdemetan,NCIH1693,LUAD,3.798069,Serdemetan,3.750761,1.276441,0.378462
119,Sorafenib,NCIH1693,LUAD,3.958801,Sorafenib,2.545221,1.215386,0.030919
120,Staurosporine,NCIH1693,LUAD,-3.516148,Staurosporine,-2.794054,1.384635,-0.339532
121,Talazoparib,NCIH1693,LUAD,3.463113,Talazoparib,2.767285,2.214847,0.229947
122,Tamoxifen,NCIH1693,LUAD,3.566877,Tamoxifen,3.976104,1.224334,0.179412
123,Tanespimycin,NCIH1693,LUAD,3.242712,Tanespimycin,-0.081091,1.587668,0.503918
124,Taselisib,NCIH1693,LUAD,4.782896,Taselisib,1.767096,1.694162,0.792283
125,Telomerase Inhibitor IX,NCIH1693,LUAD,0.815398,Telomerase Inhibitor IX,0.654709,1.233162,0.03331
126,Temozolomide,NCIH1693,LUAD,8.509701,Temozolomide,6.264369,1.303074,0.358385
127,Temsirolimus,NCIH1693,LUAD,1.05038,Temsirolimus,1.039094,1.694959,0.466097
128,Ulixertinib,NCIH1693,LUAD,3.733352,Ulixertinib,2.547238,1.503594,0.204316
129,Uprosertib,NCIH1693,LUAD,4.005835,Uprosertib,2.863995,1.707317,0.849843
130,VE-822,NCIH1693,LUAD,6.313197,VE-822,3.131455,1.791876,0.333491
131,Veliparib,NCIH1693,LUAD,6.152682,Veliparib,5.263978,0.912873,0.218769
132,Venetoclax,NCIH1693,LUAD,1.878673,Venetoclax,2.374326,2.075205,0.250684
133,Vismodegib,NCIH1693,LUAD,5.873872,Vismodegib,4.949888,0.982005,-0.011811
134,Vorinostat,NCIH1693,LUAD,2.075798,Vorinostat,1.487515,1.090544,0.464782
135,WEHI-539,NCIH1693,LUAD,4.832563,WEHI-539,3.678485,1.717039,0.079959
136,WIKI4,NCIH1693,LUAD,2.828166,WIKI4,3.734385,0.961632,-0.201424
137,WZ4003,NCIH1693,LUAD,7.219908,WZ4003,4.157618,1.375173,0.588573
138,Wnt-C59,NCIH1693,LUAD,7.121742,Wnt-C59,4.338048,1.095405,-0.313097
139,XAV939,NCIH1693,LUAD,4.290264,XAV939,4.28841,0.991368,0.011566
140,YK-4-279,NCIH1693,LUAD,5.100747,YK-4-279,2.247231,1.651518,-0.159433
141,ZM447439,NCIH1693,LUAD,2.697865,ZM447439,2.576872,1.70601,0.166139
142,5-Fluorouracil,NCIH2405,LUAD,9.433396,5-Fluorouracil,4.392229,1.71976,0.594146
143,ABT737,NCIH2405,LUAD,3.126509,ABT737,1.875342,2.053694,0.703894
144,AGI-5198,NCIH2405,LUAD,4.901515,AGI-5198,4.704103,0.907583,0.788242
145,AGI-6780,NCIH2405,LUAD,7.276499,AGI-6780,4.344912,1.086023,0.978246
146,AGK2,NCIH2405,LUAD,6.327839,AGK2,3.26451,0.926755,0.683762
147,AZ960,NCIH2405,LUAD,6.812832,AZ960,1.895669,1.724101,0.187719
148,AZD3759,NCIH2405,LUAD,5.244619,AZD3759,2.512182,1.084536,0.367556
149,AZD4547,NCIH2405,LUAD,4.142774,AZD4547,3.088286,1.600252,0.601095
150,AZD5363,NCIH2405,LUAD,4.622601,AZD5363,2.84782,1.441898,0.235982
151,AZD5582,NCIH2405,LUAD,7.43393,AZD5582,2.157595,2.342092,1.569632
152,AZD6738,NCIH2405,LUAD,3.292003,AZD6738,2.057259,1.461663,0.442673
153,AZD7762,NCIH2405,LUAD,2.135547,AZD7762,0.164435,1.542725,0.375399
154,AZD8186,NCIH2405,LUAD,4.455987,AZD8186,3.134757,1.404232,-0.607108
155,Afatinib,NCIH2405,LUAD,6.329593,Afatinib,1.594663,1.481016,0.282688
156,Afuresertib,NCIH2405,LUAD,6.439291,Afuresertib,2.40255,1.471751,0.355434
157,Alpelisib,NCIH2405,LUAD,7.51356,Alpelisib,3.451086,1.407226,-0.134942
158,Avagacestat,NCIH2405,LUAD,7.589798,Avagacestat,4.759122,1.072116,0.889462
159,Axitinib,NCIH2405,LUAD,5.047895,Axitinib,2.903591,1.677112,1.098753
160,BMS-345541,NCIH2405,LUAD,6.730199,BMS-345541,3.277956,1.320431,0.987759
161,BMS-536924,NCIH2405,LUAD,3.007125,BMS-536924,2.108959,1.381132,-0.080252
162,BMS-754807,NCIH2405,LUAD,3.821245,BMS-754807,2.163231,1.99775,0.194413
163,Bortezomib,NCIH2405,LUAD,-2.560779,Bortezomib,-4.739097,1.068388,1.073646
164,Bosutinib,NCIH2405,LUAD,5.332077,Bosutinib,2.618644,1.532012,0.443918
165,Buparlisib,NCIH2405,LUAD,2.341959,Buparlisib,1.132283,0.942456,0.436781
166,CCT007093,NCIH2405,LUAD,7.396053,CCT007093,5.191327,0.862412,0.91789
167,CZC24832,NCIH2405,LUAD,6.326722,CZC24832,5.137594,0.949818,0.740598
168,Camptothecin,NCIH2405,LUAD,-0.54292,Camptothecin,-2.257481,1.838996,0.500833
169,Cediranib,NCIH2405,LUAD,4.72199,Cediranib,2.271131,1.192376,-0.024919
170,Crizotinib,NCIH2405,LUAD,6.43646,Crizotinib,2.560661,1.510603,0.434236
171,Cyclophosphamide,NCIH2405,LUAD,5.740938,Cyclophosphamide,5.25922,0.888712,0.974716
172,Dactinomycin,NCIH2405,LUAD,0.051145,Dactinomycin,-3.772788,1.88294,0.677724
173,Dactolisib,NCIH2405,LUAD,0.916726,Dactolisib,-1.510724,1.429786,0.144267
174,Dasatinib,NCIH2405,LUAD,3.118085,Dasatinib,1.287237,2.324073,-0.877991
175,Dinaciclib,NCIH2405,LUAD,1.329994,Dinaciclib,-2.654463,1.473357,1.057366
176,Docetaxel,NCIH2405,LUAD,2.786647,Docetaxel,-3.417161,2.548602,1.096939
177,Doramapimod,NCIH2405,LUAD,5.546708,Doramapimod,4.93907,1.188278,0.99474
178,EHT-1864,NCIH2405,LUAD,5.678847,EHT-1864,3.678237,0.983429,0.787617
179,EPZ004777,NCIH2405,LUAD,6.056351,EPZ004777,5.153416,0.977035,1.205253
180,EPZ5676,NCIH2405,LUAD,8.252377,EPZ5676,5.542946,1.028703,1.246747
181,Entinostat,NCIH2405,LUAD,4.471812,Entinostat,2.030317,1.637052,1.435261
182,Entospletinib,NCIH2405,LUAD,6.547133,Entospletinib,3.672838,1.222475,0.476761
183,Epirubicin,NCIH2405,LUAD,1.343594,Epirubicin,-0.852455,1.690941,0.417476
184,Erlotinib,NCIH2405,LUAD,3.45943,Erlotinib,2.979885,1.448855,-0.222158
185,Fulvestrant,NCIH2405,LUAD,6.10854,Fulvestrant,3.730929,1.263247,0.773219
186,GDC0810,NCIH2405,LUAD,5.758061,GDC0810,5.087362,0.94553,0.810882
187,GNE-317,NCIH2405,LUAD,1.682544,GNE-317,0.681846,1.302066,0.349185
188,GSK1904529A,NCIH2405,LUAD,5.888038,GSK1904529A,4.348623,1.104047,0.710338
189,GSK2578215A,NCIH2405,LUAD,5.502202,GSK2578215A,4.933854,0.966128,1.11825
190,GSK2606414,NCIH2405,LUAD,7.951224,GSK2606414,3.785602,1.215971,0.415105
191,GSK343,NCIH2405,LUAD,6.088163,GSK343,3.602119,1.367117,0.861956
192,GW441756,NCIH2405,LUAD,4.401575,GW441756,3.441226,0.92854,0.50956
193,Gefitinib,NCIH2405,LUAD,4.788545,Gefitinib,3.147493,1.212598,-0.140939
194,Gemcitabine,NCIH2405,LUAD,1.618854,Gemcitabine,-0.766782,3.010521,0.422091
195,I-BET-762,NCIH2405,LUAD,4.961254,I-BET-762,3.178213,1.581827,0.47986
196,I-BRD9,NCIH2405,LUAD,4.858011,I-BRD9,4.358221,1.274025,0.823235
197,IWP-2,NCIH2405,LUAD,5.459213,IWP-2,2.870543,0.89695,0.710986
198,Ibrutinib,NCIH2405,LUAD,7.864301,Ibrutinib,4.055961,1.812726,0.825669
199,Ipatasertib,NCIH2405,LUAD,4.523919,Ipatasertib,3.403906,1.455375,0.111217
200,Irinotecan,NCIH2405,LUAD,5.13436,Irinotecan,2.49049,1.934295,0.66253
201,JNK Inhibitor VIII,NCIH2405,LUAD,7.803634,JNK Inhibitor VIII,5.096918,0.961142,0.897658
202,JQ1,NCIH2405,LUAD,6.82846,JQ1,2.025591,1.952515,0.590951
203,KRAS (G12C) Inhibitor-12,NCIH2405,LUAD,7.250753,KRAS (G12C) Inhibitor-12,4.449045,1.534301,0.977025
204,KU-55933,NCIH2405,LUAD,7.980877,KU-55933,5.04103,1.126742,0.830393
205,LCL161,NCIH2405,LUAD,7.404336,LCL161,4.766877,1.238491,0.837446
206,LGK974,NCIH2405,LUAD,6.08847,LGK974,4.238238,1.107629,1.010755
207,LY2109761,NCIH2405,LUAD,6.702612,LY2109761,5.00674,1.042965,1.086539
208,Lapatinib,NCIH2405,LUAD,7.868141,Lapatinib,3.219614,1.583425,0.711421
209,Leflunomide,NCIH2405,LUAD,6.625522,Leflunomide,5.037278,0.913415,0.472891
210,Lenalidomide,NCIH2405,LUAD,7.996927,Lenalidomide,5.236581,1.07135,1.157501
211,Lestaurtinib,NCIH2405,LUAD,3.951006,Lestaurtinib,-0.014942,1.617099,0.869066
212,Linsitinib,NCIH2405,LUAD,6.646444,Linsitinib,3.964537,1.322202,0.4997
213,Luminespib,NCIH2405,LUAD,-0.048783,Luminespib,-2.12391,1.817546,0.292516
214,MG-132,NCIH2405,LUAD,0.271207,MG-132,-1.2843,0.72251,0.292317
215,MIRA-1,NCIH2405,LUAD,8.27995,MIRA-1,5.237632,1.234442,0.650616
216,MK-1775,NCIH2405,LUAD,4.021182,MK-1775,0.636509,1.419839,0.894325
217,MK-2206,NCIH2405,LUAD,6.372287,MK-2206,2.725214,1.48772,0.440077
218,ML323,NCIH2405,LUAD,7.459093,ML323,4.536112,1.055599,1.187014
219,MN-64,NCIH2405,LUAD,6.352016,MN-64,4.673443,1.036058,0.795773
220,Mirin,NCIH2405,LUAD,9.803988,Mirin,4.782781,1.183568,0.937797
221,Motesanib,NCIH2405,LUAD,8.037884,Motesanib,5.481288,1.133491,0.896968
222,NU7441,NCIH2405,LUAD,7.81164,NU7441,3.132711,1.343787,0.858428
223,NVP-ADW742,NCIH2405,LUAD,7.717878,NVP-ADW742,2.882258,1.472598,0.359812
224,Navitoclax,NCIH2405,LUAD,3.614818,Navitoclax,1.776309,2.029373,0.269215
225,Nilotinib,NCIH2405,LUAD,4.754048,Nilotinib,3.364192,1.706385,0.95455
226,Niraparib,NCIH2405,LUAD,7.261143,Niraparib,4.113814,1.516015,0.65765
227,Nutlin-3a (-),NCIH2405,LUAD,8.050381,Nutlin-3a (-),4.421065,1.79125,0.077517
228,OF-1,NCIH2405,LUAD,4.986807,OF-1,4.121389,1.170053,0.646924
229,OSI-027,NCIH2405,LUAD,3.153445,OSI-027,2.584887,1.493868,0.272679
230,OTX015,NCIH2405,LUAD,4.681885,OTX015,2.300635,1.867904,0.280153
231,Olaparib,NCIH2405,LUAD,5.611667,Olaparib,4.229661,1.301754,0.862224
232,Osimertinib,NCIH2405,LUAD,3.332208,Osimertinib,1.653115,1.279752,0.162846
233,Oxaliplatin,NCIH2405,LUAD,8.547128,Oxaliplatin,4.289635,1.783409,0.59402
234,P22077,NCIH2405,LUAD,6.951236,P22077,4.40732,1.512212,0.775588
235,PCI-34051,NCIH2405,LUAD,7.399952,PCI-34051,4.396021,1.286151,1.081962
236,PD173074,NCIH2405,LUAD,6.630476,PD173074,3.763295,1.405445,0.590326
237,PFI-1,NCIH2405,LUAD,6.768528,PFI-1,4.054494,1.126123,0.537286
238,PFI3,NCIH2405,LUAD,8.049802,PFI3,5.397184,0.841197,1.084136
239,PLX-4720,NCIH2405,LUAD,4.751116,PLX-4720,4.213301,1.475022,0.524634
240,PRIMA-1MET,NCIH2405,LUAD,8.493841,PRIMA-1MET,4.41929,1.802017,0.496855
241,PRT062607,NCIH2405,LUAD,7.217607,PRT062607,3.172207,1.396623,0.648874
242,Paclitaxel,NCIH2405,LUAD,2.298697,Paclitaxel,-2.855697,2.01671,1.180054
243,Palbociclib,NCIH2405,LUAD,5.854554,Palbociclib,3.471142,1.587659,0.879883
244,Pevonedistat,NCIH2405,LUAD,1.35316,Pevonedistat,0.871473,2.147707,0.941092
245,Picolinici-acid,NCIH2405,LUAD,7.572747,Picolinici-acid,5.268822,0.806529,0.784732
246,Pictilisib,NCIH2405,LUAD,5.998257,Pictilisib,1.220241,1.263352,-0.030847
247,RO-3306,NCIH2405,LUAD,7.975343,RO-3306,3.507804,1.618155,0.77873
248,RVX-208,NCIH2405,LUAD,7.443504,RVX-208,4.738824,1.076382,0.91617
249,Ribociclib,NCIH2405,LUAD,6.619516,Ribociclib,3.658547,1.223182,0.83538
250,Rucaparib,NCIH2405,LUAD,5.590324,Rucaparib,3.987035,1.062433,0.738136
251,Ruxolitinib,NCIH2405,LUAD,7.429359,Ruxolitinib,4.797735,1.162398,0.854767
252,SB216763,NCIH2405,LUAD,7.551157,SB216763,5.18065,1.038908,0.700556
253,SB590885,NCIH2405,LUAD,4.173653,SB590885,4.342276,1.355433,0.804004
254,SGC0946,NCIH2405,LUAD,4.869611,SGC0946,2.104319,0.798566,0.544029
255,SN-38,NCIH2405,LUAD,-0.836324,SN-38,-2.169489,3.597159,0.248978
256,Sabutoclax,NCIH2405,LUAD,1.099884,Sabutoclax,-0.348779,1.269565,0.641414
257,Sapitinib,NCIH2405,LUAD,4.771742,Sapitinib,3.736865,1.78758,0.032157
258,Savolitinib,NCIH2405,LUAD,2.75831,Savolitinib,2.740489,1.190454,0.402609
259,Sepantronium bromide,NCIH2405,LUAD,-3.271602,Sepantronium bromide,-4.169654,1.627967,0.455362
260,Serdemetan,NCIH2405,LUAD,6.532666,Serdemetan,3.750761,1.276441,0.96188
261,Sorafenib,NCIH2405,LUAD,3.608637,Sorafenib,2.545221,1.215386,0.918773
262,Staurosporine,NCIH2405,LUAD,-0.831079,Staurosporine,-2.794054,1.384635,0.04143
263,Talazoparib,NCIH2405,LUAD,3.721624,Talazoparib,2.767285,2.214847,0.275592
264,Tamoxifen,NCIH2405,LUAD,4.746084,Tamoxifen,3.976104,1.224334,0.870497
265,Tanespimycin,NCIH2405,LUAD,2.148406,Tanespimycin,-0.081091,1.587668,0.224883
266,Taselisib,NCIH2405,LUAD,5.879573,Taselisib,1.767096,1.694162,0.049087
267,Telomerase Inhibitor IX,NCIH2405,LUAD,1.926262,Telomerase Inhibitor IX,0.654709,1.233162,0.527622
268,Temozolomide,NCIH2405,LUAD,8.534632,Temozolomide,6.264369,1.303074,0.977382
269,Temsirolimus,NCIH2405,LUAD,1.579616,Temsirolimus,1.039094,1.694959,0.288783
270,Ulixertinib,NCIH2405,LUAD,1.273469,Ulixertinib,2.547238,1.503594,-0.072309
271,Uprosertib,NCIH2405,LUAD,6.236644,Uprosertib,2.863995,1.707317,0.396619
272,VE-822,NCIH2405,LUAD,6.266326,VE-822,3.131455,1.791876,1.073172
273,Veliparib,NCIH2405,LUAD,7.712983,Veliparib,5.263978,0.912873,1.212622
274,Venetoclax,NCIH2405,LUAD,3.451503,Venetoclax,2.374326,2.075205,0.957953
275,Vismodegib,NCIH2405,LUAD,6.795248,Vismodegib,4.949888,0.982005,1.112535
276,Vorinostat,NCIH2405,LUAD,3.622238,Vorinostat,1.487515,1.090544,0.959002
277,WEHI-539,NCIH2405,LUAD,4.689164,WEHI-539,3.678485,1.717039,0.500508
278,WIKI4,NCIH2405,LUAD,3.385114,WIKI4,3.734385,0.961632,0.406525
279,WZ4003,NCIH2405,LUAD,7.833445,WZ4003,4.157618,1.375173,0.446668
280,Wnt-C59,NCIH2405,LUAD,6.85893,Wnt-C59,4.338048,1.095405,0.990912
281,XAV939,NCIH2405,LUAD,5.468445,XAV939,4.28841,0.991368,0.415651
282,YK-4-279,NCIH2405,LUAD,6.542606,YK-4-279,2.247231,1.651518,0.978611
283,ZM447439,NCIH2405,LUAD,7.420791,ZM447439,2.576872,1.70601,0.950642
284,5-Fluorouracil,NCIH520,LUSC,3.986304,5-Fluorouracil,4.392229,1.71976,-0.226874
285,ABT737,NCIH520,LUSC,3.671065,ABT737,1.875342,2.053694,0.356616
286,AGI-5198,NCIH520,LUSC,5.937872,AGI-5198,4.704103,0.907583,0.027384
287,AGI-6780,NCIH520,LUSC,4.516538,AGI-6780,4.344912,1.086023,-0.383903
288,AGK2,NCIH520,LUSC,2.852337,AGK2,3.26451,0.926755,-0.276051
