,cell_line,drug,IC50,prediction,OncotreeCode,pca_1,pca_2,pca_1>0.002
142,HCC827,YK-4-279,4.201303,3.726754,LUAD,-0.000465,-0.000527,0
143,HCC827,ZM447439,3.100615,3.105904,LUAD,-0.000089,-0.001012,0
144,PC14,5-Fluorouracil,4.138791,5.870763,LUAD,-0.00057,-0.00005,0
145,PC14,ABT737,2.341568,2.635267,LUAD,0.004073,-0.000136,1
146,PC14,AGI-5198,5.232588,4.940324,LUAD,-0.000341,-0.001019,0
147,PC14,AGI-6780,5.228069,4.966678,LUAD,0.0003,-0.000878,0
148,PC14,AGK2,3.164392,3.288974,LUAD,-0.000045,-0.000961,0
149,PC14,AZ960,0.918031,2.711848,LUAD,-0.000705,-0.000606,0
150,PC14,AZD3759,-2.405717,2.689164,LUAD,0.000028,-0.000846,0
151,PC14,AZD4547,3.271007,3.476127,LUAD,-0.000193,-0.000975,0
152,PC14,AZD5363,2.54706,3.110197,LUAD,-0.000533,-0.000722,0
153,PC14,AZD5582,1.962066,2.843658,LUAD,0.004428,-0.000383,1
154,PC14,AZD6738,0.899934,2.43933,LUAD,-0.000314,-0.000952,0
155,PC14,AZD7762,-1.078449,0.452404,LUAD,-0.000489,-0.000413,0
156,PC14,AZD8186,3.333335,3.082723,LUAD,-0.000294,-0.000979,0
157,PC14,Afatinib,-3.530785,1.417494,LUAD,-0.000069,-0.001039,0
158,PC14,Afuresertib,2.23758,2.627022,LUAD,-0.000626,-0.000714,0
159,PC14,Alpelisib,3.652979,3.331055,LUAD,-0.000205,-0.00085,0
160,PC14,Avagacestat,5.539423,5.560428,LUAD,0.000185,-0.00094,0
161,PC14,Axitinib,3.249825,3.567181,LUAD,-0.000556,-0.000684,0
162,PC14,BMS-345541,2.735978,4.405455,LUAD,-0.000496,-0.000452,0
163,PC14,BMS-536924,1.121395,2.353715,LUAD,-0.000041,-0.000884,0
164,PC14,BMS-754807,3.205969,2.074306,LUAD,-0.000077,-0.001073,0
165,PC14,Bortezomib,-4.628624,-4.995444,LUAD,-0.000517,-0.00052,0
166,PC14,Bosutinib,-0.704709,3.049813,LUAD,-0.000106,-0.000967,0
167,PC14,Buparlisib,0.87699,1.555242,LUAD,-0.000582,-0.000675,0
168,PC14,CCT007093,5.420619,5.527898,LUAD,-0.000604,-0.000207,0
169,PC14,CZC24832,5.927456,5.482068,LUAD,-0.000531,-0.000545,0
170,PC14,Camptothecin,-2.260841,-0.938768,LUAD,-0.000588,-0.00069,0
171,PC14,Cediranib,0.280926,2.492771,LUAD,-0.000436,-0.000899,0
172,PC14,Crizotinib,1.965356,3.67837,LUAD,-0.000591,-0.000916,0
173,PC14,Cyclophosphamide,6.285854,5.604364,LUAD,-0.000598,-0.000249,0
174,PC14,Dactinomycin,-3.292126,-3.281835,LUAD,0.004804,0.00067,1
175,PC14,Dactolisib,-2.311859,-1.49384,LUAD,-0.000012,-0.001041,0
176,PC14,Dasatinib,-1.950497,0.738413,LUAD,-0.000291,-0.001013,0
177,PC14,Dinaciclib,-3.640036,-2.443263,LUAD,-0.000547,-0.000424,0
178,PC14,Docetaxel,-5.03701,-4.400187,LUAD,0.004286,-0.000388,1
179,PC14,Doramapimod,4.747444,5.71721,LUAD,-0.000119,-0.000994,0
180,PC14,EHT-1864,3.722729,3.845522,LUAD,0.000087,-0.000848,0
181,PC14,EPZ004777,5.557169,5.806535,LUAD,0.000013,-0.000974,0
182,PC14,EPZ5676,6.716941,6.033854,LUAD,0.000598,-0.001015,0
183,PC14,Entinostat,1.382918,2.993201,LUAD,-0.000723,-0.000728,0
184,PC14,Entospletinib,2.503902,4.049235,LUAD,-0.000581,-0.000781,0
185,PC14,Epirubicin,-0.498431,0.222619,LUAD,0.000329,-0.000951,0
186,PC14,Erlotinib,-2.165833,2.967352,LUAD,-0.000471,-0.000364,0
187,PC14,Fulvestrant,4.693725,3.901155,LUAD,0.000033,-0.000854,0
188,PC14,GDC0810,5.259641,5.478191,LUAD,-0.000108,-0.001029,0
189,PC14,GSK1904529A,4.594172,4.417759,LUAD,0.004719,-0.000274,1
190,PC14,GSK2578215A,5.412372,5.522239,LUAD,-0.000312,-0.000801,0
191,PC14,GSK2606414,3.455609,4.276649,LUAD,-0.000105,-0.000905,0
192,PC14,GSK343,3.482147,3.835005,LUAD,0.000182,-0.000905,0
193,PC14,GW441756,4.24711,3.31425,LUAD,-0.00051,-0.000601,0
194,PC14,Gefitinib,-1.397133,3.490118,LUAD,-0.00071,-0.000671,0
195,PC14,Gemcitabine,-1.300914,2.719152,LUAD,-0.00052,-0.000447,0
196,PC14,I-BET-762,4.243052,4.769421,LUAD,-0.000607,-0.00085,0
197,PC14,I-BRD9,5.212693,5.294026,LUAD,0.00004,-0.00088,0
198,PC14,IWP-2,3.701118,3.220931,LUAD,-0.00022,-0.000957,0
199,PC14,Ibrutinib,-0.027766,4.672109,LUAD,-0.000075,-0.000944,0
200,PC14,Ipatasertib,2.986795,3.682705,LUAD,-0.000319,-0.000874,0
201,PC14,Irinotecan,2.992119,3.930272,LUAD,0.000475,-0.001016,0
202,PC14,JNK Inhibitor VIII,5.60303,5.633539,LUAD,-0.000501,-0.000407,0
203,PC14,JQ1,3.260705,3.353451,LUAD,-0.000175,-0.001037,0
204,PC14,KRAS (G12C) Inhibitor-12,3.515464,5.206184,LUAD,-0.000395,-0.000698,0
205,PC14,KU-55933,6.78018,5.24969,LUAD,-0.000469,-0.000319,0
206,PC14,LCL161,4.97377,5.378283,LUAD,-0.00017,-0.000981,0
207,PC14,LGK974,4.078761,4.400013,LUAD,-0.00028,-0.000775,0
208,PC14,LY2109761,4.690283,5.761133,LUAD,-0.0005,-0.000609,0
209,PC14,Lapatinib,0.498939,2.493288,LUAD,0.000593,-0.000927,0
210,PC14,Leflunomide,5.55437,5.282102,LUAD,-0.000529,-0.000571,0
211,PC14,Lenalidomide,6.977512,5.625075,LUAD,-0.000452,-0.000567,0
212,PC14,Lestaurtinib,-1.406138,1.303786,LUAD,-0.000084,-0.000913,0
213,PC14,Linsitinib,4.590801,4.209083,LUAD,-0.000102,-0.001021,0
214,PC14,Luminespib,-3.585377,-1.09718,LUAD,-0.000097,-0.000982,0
215,PC14,MG-132,-1.146146,-1.388982,LUAD,-0.000199,-0.000813,0
216,PC14,MIRA-1,6.455351,6.033752,LUAD,-0.000534,-0.00011,0
217,PC14,MK-1775,-1.029369,0.563972,LUAD,0.000043,-0.001059,0
218,PC14,MK-2206,2.558908,3.337335,LUAD,0.00001,-0.000976,0
219,PC14,ML323,4.24461,4.847605,LUAD,-0.000642,-0.000485,0
220,PC14,MN-64,6.129964,4.92605,LUAD,-0.000519,-0.000508,0
221,PC14,Mirin,4.978771,5.65109,LUAD,-0.000555,-0.000426,0
222,PC14,Motesanib,7.156553,6.154028,LUAD,-0.00054,-0.000744,0
223,PC14,NU7441,3.187732,3.773527,LUAD,-0.000519,-0.000702,0
224,PC14,NVP-ADW742,2.746289,3.075143,LUAD,-0.000193,-0.000982,0
225,PC14,Navitoclax,4.962459,2.617806,LUAD,0.004771,-0.000221,1
226,PC14,Nilotinib,3.915461,4.582771,LUAD,0.000631,-0.000909,0
227,PC14,Niraparib,4.427267,5.072393,LUAD,-0.000557,-0.000458,0
228,PC14,Nutlin-3a (-),5.514282,6.24349,LUAD,0.000464,-0.000937,0
229,PC14,OF-1,3.795572,4.678375,LUAD,-0.000694,-0.000675,0
230,PC14,OSI-027,3.290964,2.966609,LUAD,-0.000211,-0.00079,0
231,PC14,OTX015,3.147328,3.784065,LUAD,-0.00008,-0.000967,0
232,PC14,Olaparib,4.303406,4.988499,LUAD,-0.000102,-0.001022,0
233,PC14,Osimertinib,-3.304462,1.406334,LUAD,0.000102,-0.000775,0
234,PC14,Oxaliplatin,5.500469,5.827568,LUAD,-0.000711,-0.00031,0
235,PC14,P22077,6.254025,4.910491,LUAD,-0.000499,-0.000596,0
236,PC14,PCI-34051,5.159949,5.132931,LUAD,-0.000574,-0.000543,0
237,PC14,PD0325901,0.810648,2.556559,LUAD,-0.000516,-0.000701,0
238,PC14,PD173074,3.861776,4.574629,LUAD,0.000128,-0.000796,0
239,PC14,PFI-1,5.549546,4.633108,LUAD,-0.000542,-0.000651,0
240,PC14,PFI3,6.91074,5.575818,LUAD,-0.000545,-0.000496,0
241,PC14,PLX-4720,4.082857,4.809005,LUAD,-0.000549,-0.000707,0
242,PC14,PRIMA-1MET,6.120827,6.092162,LUAD,-0.000516,-0.000168,0
243,PC14,PRT062607,2.003212,4.041547,LUAD,-0.000517,-0.000362,0
244,PC14,Paclitaxel,-4.324666,-3.582581,LUAD,0.004698,-0.000226,1
245,PC14,Palbociclib,3.797205,4.559023,LUAD,-0.000195,-0.000978,0
246,PC14,Pevonedistat,1.391274,1.374823,LUAD,-0.000245,-0.00107,0
247,PC14,Picolinici-acid,6.493716,5.462047,LUAD,-0.000561,-0.000202,0
248,PC14,Pictilisib,1.123065,0.907731,LUAD,0.000014,-0.000839,0
249,PC14,RO-3306,3.365589,4.56701,LUAD,-0.000461,-0.000505,0
250,PC14,RVX-208,6.546117,5.524518,LUAD,-0.000698,-0.000696,0
251,PC14,Refametinib,1.632968,2.779993,LUAD,0.00003,-0.001006,0
252,PC14,Ribociclib,4.220373,4.415998,LUAD,-0.000391,-0.000978,0
253,PC14,Rucaparib,4.241976,4.649011,LUAD,-0.000411,-0.000478,0
254,PC14,Ruxolitinib,3.816596,5.325128,LUAD,-0.000512,-0.000617,0
255,PC14,SB216763,6.354427,5.383728,LUAD,-0.000666,-0.000737,0
256,PC14,SB590885,6.795044,4.812645,LUAD,-0.000098,-0.000994,0
257,PC14,SCH772984,2.200315,3.162823,LUAD,0.00125,-0.00076,0
258,PC14,SGC0946,3.162286,2.222808,LUAD,0.000673,-0.000916,0
259,PC14,SN-38,-2.859507,-0.252739,LUAD,-0.000378,-0.00087,0
260,PC14,Sabutoclax,-0.551162,0.871193,LUAD,0.003927,-0.000244,1
261,PC14,Savolitinib,3.935786,2.849757,LUAD,-0.00051,-0.00069,0
262,PC14,Selumetinib,3.661364,4.804475,LUAD,-0.000585,-0.000698,0
263,PC14,Sepantronium bromide,-4.080156,-4.253401,LUAD,-0.000599,-0.00055,0
264,PC14,Serdemetan,2.7371,4.265546,LUAD,-0.000367,-0.000655,0
265,PC14,Sorafenib,2.915158,3.086861,LUAD,-0.000079,-0.00095,0
266,PC14,Staurosporine,-4.374277,-2.636015,LUAD,0.00017,-0.000804,0
267,PC14,Talazoparib,3.008351,4.611552,LUAD,-0.000548,-0.000727,0
268,PC14,Tamoxifen,4.925683,4.080289,LUAD,-0.000606,-0.0005,0
269,PC14,Tanespimycin,-2.585902,0.356168,LUAD,0.000402,-0.000878,0
270,PC14,Taselisib,1.910559,1.494662,LUAD,-0.000068,-0.00102,0
271,PC14,Telomerase Inhibitor IX,1.384488,1.902768,LUAD,-0.000523,-0.000664,0
272,PC14,Temozolomide,6.866748,7.309202,LUAD,-0.000584,-0.000262,0
273,PC14,Trametinib,-0.29601,0.83087,LUAD,0.000431,-0.00104,0
274,PC14,Ulixertinib,2.609317,3.097648,LUAD,-0.000567,-0.000713,0
275,PC14,Uprosertib,2.151562,3.775377,LUAD,-5.06E-04,-0.00086,0
276,PC14,VE-822,1.234501,3.559473,LUAD,-5.96E-05,-0.000976,0
277,PC14,Veliparib,7.083729,5.67315,LUAD,-3.92E-04,-0.000435,0
278,PC14,Venetoclax,2.101849,3.105272,LUAD,4.64E-03,-0.00014,1
279,PC14,Vismodegib,5.228461,5.484967,LUAD,-5.15E-04,-0.000678,0
280,PC14,Vorinostat,1.42957,2.25903,LUAD,-3.97E-04,-0.000227,0
281,PC14,WEHI-539,4.853437,4.07413,LUAD,2.65E-05,-0.001047,0
282,PC14,WIKI4,3.392275,4.012195,LUAD,2.15E-05,-0.000942,0
283,PC14,WZ4003,3.786859,4.586646,LUAD,-1.39E-04,-0.000985,0
284,PC14,Wnt-C59,4.343303,4.422963,LUAD,-5.33E-04,-0.000754,0
285,PC14,XAV939,4.803742,4.792455,LUAD,-4.86E-04,-0.000613,0
286,PC14,YK-4-279,1.433698,2.862487,LUAD,-5.40E-04,-0.000394,0
287,PC14,ZM447439,1.838791,3.060148,LUAD,6.13E-07,-0.000893,0
288,RERFLCSQ1,5-Fluorouracil,3.52607,4.857307,LUSC,-6.01E-04,-0.000214,0
289,RERFLCSQ1,ABT737,2.578252,2.684094,LUSC,4.44E-03,-0.00015,1
290,RERFLCSQ1,AGI-5198,5.229365,4.826415,LUSC,-2.27E-04,-0.001051,0
291,RERFLCSQ1,AGI-6780,4.054786,4.462158,LUSC,1.90E-04,-0.001031,0
292,RERFLCSQ1,AGK2,3.154074,3.176969,LUSC,-2.83E-04,-0.000905,0
293,RERFLCSQ1,AZ960,3.77714,1.05447,LUSC,-6.30E-04,-0.000784,0
294,RERFLCSQ1,AZD3759,0.682549,2.638169,LUSC,-1.96E-04,-0.000923,0
295,RERFLCSQ1,AZD4547,2.54367,2.874094,LUSC,-2.32E-06,-0.000962,0
296,RERFLCSQ1,AZD5363,1.051042,1.700078,LUSC,-5.04E-04,-0.000814,0
297,RERFLCSQ1,AZD5582,4.830349,1.680095,LUSC,4.66E-03,-0.000123,1
298,RERFLCSQ1,AZD6738,1.387042,1.950278,LUSC,-5.37E-04,-0.00097,0
299,RERFLCSQ1,AZD7762,0.099105,-0.407907,LUSC,-4.50E-04,-0.000517,0
300,RERFLCSQ1,AZD8186,3.674451,2.26586,LUSC,-0.000151,-0.001089,0
301,RERFLCSQ1,Afatinib,-0.950875,1.47528,LUSC,0.000007,-0.001099,0
302,RERFLCSQ1,Afuresertib,0.247026,1.170905,LUSC,-0.000641,-0.000746,0
303,RERFLCSQ1,Alpelisib,1.567497,2.30444,LUSC,-0.000338,-0.000861,0
304,RERFLCSQ1,Avagacestat,5.147388,4.816413,LUSC,0.000156,-0.001035,0
305,RERFLCSQ1,Axitinib,3.42941,2.658857,LUSC,-0.000512,-0.000498,0
306,RERFLCSQ1,BMS-345541,3.699625,2.569526,LUSC,-0.000395,-0.000605,0
307,RERFLCSQ1,BMS-536924,2.683944,1.334821,LUSC,-0.000025,-0.001029,0
308,RERFLCSQ1,BMS-754807,1.748843,1.5966,LUSC,0.000017,-0.00106,0
309,RERFLCSQ1,Bortezomib,-4.565559,-5.545597,LUSC,-0.000548,-0.000609,0
310,RERFLCSQ1,Bosutinib,1.716678,2.316781,LUSC,-0.000063,-0.001024,0
311,RERFLCSQ1,Buparlisib,0.858709,0.614574,LUSC,-0.00059,-0.000863,0
312,RERFLCSQ1,CCT007093,5.255356,4.857994,LUSC,-0.000524,-0.000446,0
313,RERFLCSQ1,CZC24832,5.515069,4.860259,LUSC,-0.000425,-0.000751,0
314,RERFLCSQ1,Camptothecin,-0.99455,-1.185596,LUSC,-0.00061,-0.000733,0
315,RERFLCSQ1,Cediranib,1.821701,1.573967,LUSC,-0.000232,-0.001108,0
316,RERFLCSQ1,Crizotinib,2.517135,2.213271,LUSC,-0.000523,-0.000877,0
317,RERFLCSQ1,Cyclophosphamide,5.878808,5.115,LUSC,-0.000554,-0.000452,0
318,RERFLCSQ1,Dactinomycin,-3.283235,-3.819932,LUSC,0.004853,0.000704,1
319,RERFLCSQ1,Dactolisib,-2.353061,-2.873784,LUSC,0.000134,-0.001087,0
320,RERFLCSQ1,Dasatinib,1.628523,-1.987609,LUSC,-0.000118,-0.001051,0
321,RERFLCSQ1,Dinaciclib,-2.038384,-3.368574,LUSC,-0.000538,-0.000487,0
